"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BL000085364","2012","-21.55","-64.7","1854.0","TARIJA, BL","","","","","         0","S","       309","S","        64","S","","","   38.2","S,1029,+","","","","","","","","","","","     27.54","S","",""
"BL000085364","2014","-21.55","-64.7","1854.0","TARIJA, BL","","","","","         0","S","       307","S","        71","S","","","   39.7","S,1015, ","","","","","","","","","","","     27.84","S","",""
"BL000085364","2019","-21.55","-64.7","1854.0","TARIJA, BL","         0","S","        13","S","","","","","","","   -4.4","S,0803, ","","","-1.5","S,0524","-2.6","S,0726","-1.0","S,0810","-4.4","S,0803","-4.4","S,0803","","","     10.15","S"
