"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000FTEN","1994","25.6097","-80.8503","1.5","TEN MILE CORNER FLORIDA, FL US","   2504.8","","    2504.8","U","         0","U","         0","U","         0","U","       350","U","       105","U","    7.8","U,0106, ","   35.0","U,0624,+","","","      62.5","5","      62.5","U","     25.08","U","     29.38","U","     20.77","U"
"USR0000FTEN","1995","25.6097","-80.8503","1.5","TEN MILE CORNER FLORIDA, FL US","   2567.1","","    2567.1","U","         0","U","         0","U","         0","U","       339","U","        97","U","    5.6","U,1225,+","   36.1","U,0821,+","","","      47.1","1","      47.1","U","     25.14","U","     28.66","U","     21.62","U"
"USR0000FTEN","1998","25.6097","-80.8503","1.5","TEN MILE CORNER FLORIDA, FL US","   2579.0","","    2579.0","U","         0","U","         0","U","         0","U","       352","U","       139","U","    8.9","U,0312,+","   38.3","U,0703, ","","","      72.1","1","      72.1","U","     25.23","U","     29.84","U","     20.61","U"
"USR0000FTEN","1999","25.6097","-80.8503","1.5","TEN MILE CORNER FLORIDA, FL US","   2404.9","","    2404.9","U","         0","U","         0","U","         0","U","       357","U","       110","U","    5.6","U,0106, ","   35.6","U,0727,+","","","      48.3","3","      48.3","U","     24.75","U","     29.31","U","     20.19","U"
"USR0000FTEN","2000","25.6097","-80.8503","1.5","TEN MILE CORNER FLORIDA, FL US","","","","","","","","","","","","","","","","","","","","","      51.4","4","      51.4"," ","","","","","",""
"USR0000FTEN","2002","25.6097","-80.8503","1.5","TEN MILE CORNER FLORIDA, FL US","   2474.6","","    2474.6","U","         0","U","         0","U","         0","U","       354","U","       147","U","    4.4","U,0228,+","   37.2","U,0717, ","","","      62.4","4","      62.4","U","     24.86","U","     30.10","U","     19.63","U"
"USR0000FTEN","2003","25.6097","-80.8503","1.5","TEN MILE CORNER FLORIDA, FL US","   2519.1","","    2519.1","U","         0","U","         0","U","         0","U","       348","U","       155","U","    1.7","U,0124, ","   36.1","U,0513,+","","","     142.4","4","     142.4","U","     24.84","U","     29.85","U","     19.84","U"
"USR0000FTEN","2004","25.6097","-80.8503","1.5","TEN MILE CORNER FLORIDA, FL US","   2222.9","","    2222.9","U","         0","U","         0","U","         0","U","       354","U","       115","U","    5.6","U,1215, ","   37.2","U,0602, ","","","      90.7","7","      90.7","U","     24.20","U","     29.54","U","     18.86","U"
"USR0000FTEN","2005","25.6097","-80.8503","1.5","TEN MILE CORNER FLORIDA, FL US","   2268.7","","    2268.7","U","         0","U","         0","U","         0","U","       355","U","       108","U","    2.8","U,0212,+","   37.2","U,0722, ","","","     110.1","1","     110.1","U","     24.28","U","     29.22","U","     19.33","U"
"USR0000FTEN","2006","25.6097","-80.8503","1.5","TEN MILE CORNER FLORIDA, FL US","","","","","","","","","","","","","","","","","","","","","      74.5","5","      74.5","U","","","","","",""
"USR0000FTEN","2007","25.6097","-80.8503","1.5","TEN MILE CORNER FLORIDA, FL US","   2345.7","","    2345.7","U","         0","U","         0","U","         0","U","       357","U","       143","U","    1.7","U,0219, ","   37.2","U,0904, ","","","","","","","     24.52","U","     30.36","U","     18.68","U"
"USR0000FTEN","2008","25.6097","-80.8503","1.5","TEN MILE CORNER FLORIDA, FL US","   2282.9","","    2282.9","U","         0","U","         1","U","         0","U","       360","U","       117","U","    0.0","U,0103, ","   37.2","U,0807, ","0.0","U,0103","      79.6","6","      79.6","U","     24.33","U","     29.73","U","     18.93","U"
"USR0000FTEN","2010","25.6097","-80.8503","1.5","TEN MILE CORNER FLORIDA, FL US","","","","","","","","","","","","","","","","","","","","","     267.6","6","     267.6","U","","","","","",""
