"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FRM00007591","1973","44.567","6.5","876.0","EMBRUN, FR","","","","","","","","","","","         2","S","       100","S","         0","S","","","","","   32.0","S,0811, ","","","","","","","","","","","","","","","","","","","","","     15.90","S","",""
"FRM00007591","1974","44.567","6.5","876.0","EMBRUN, FR","        99","S","        55","S","         5","S","         0","S","       124","S","         1","S","        88","S","         4","S","   -7.0","S,1215, "," 100.1"," ,S,0928, ","   34.0","S,0816,+","0.0","S,0927","-3.0","S,1014","-5.0","S,1101","-7.0","S,1215","","","0.0","S,0509","-3.0","S,0418","-5.0","S,0306","    664.1"," ,S","      9.82","S","     15.60","S","      4.04","S"
"FRM00007591","1975","44.567","6.5","876.0","EMBRUN, FR","       103","S","        61","S","         1","S","         0","S","        97","S","         0","S","        93","S","         0","S","   -7.0","S,1226, ","  46.0"," ,S,0912, ","   32.0","S,0917,+","-1.0","S,1014","-4.0","S,1122","-7.0","S,1226","-7.0","S,1226","","","0.0","S,0413","-6.0","S,0411","-6.0","S,0411","    634.6"," ,S","     10.28","S","     15.97","S","      4.58","S"
"FRM00007591","1976","44.567","6.5","876.0","EMBRUN, FR","       114","S","        67","S","         5","S","","","","","         3","S","       107","S","         0","S","","","  46.0"," ,S,1202, ","   30.0","S,0807,+","","","","","","","","","","","","","","","","","    724.2"," ,S","","","     15.89","S","",""
"FRM00007591","1978","44.567","6.5","876.0","EMBRUN, FR","       115","S","        69","S","         5","S","","","","","","","","","","","","","  38.1"," ,S,0114, ","","","","","","","","","","","","","","","","","","","    751.7"," ,S","","","","","",""
"FRM00007591","1981","44.567","6.5","876.0","EMBRUN, FR","       121","S","        80","S","         6","S","","","","","","","","","","","","","  41.9"," ,S,1214, ","","","","","","","","","","","","","","","","","","","    917.2"," ,S","","","","","",""
"FRM00007591","1982","44.567","6.5","876.0","EMBRUN, FR","","","","","","","","","","","         0","S","       107","S","         6","S","","","","","   35.0","S,0706, ","","","","","","","","","","","","","","","","","","","","","     16.52","S","",""
"FRM00007591","1983","44.567","6.5","876.0","EMBRUN, FR","","","","","","","","","","","         1","S","       115","S","        10","S","","","","","   36.0","S,0727,+","","","","","","","","","","","","","","","","","","","","","     16.56","S","",""
"FRM00007591","1986","44.567","6.5","876.0","EMBRUN, FR","","","","","","","","","","","        11","S","       118","S","         2","S","","","","","   33.1","S,0629, ","","","","","","","","","","","","","","","","","","","","","     15.46","S","",""
"FRM00007591","1990","44.567","6.5","876.0","EMBRUN, FR","","","","","","","","","","","         0","S","       119","S","         2","S","","","","","   33.7","S,0722, ","","","","","","","","","","","","","","","","","","","","","     17.13","S","",""
