"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"NCW00082608","1946","-22.266667","166.45","71.9","NOUMEA NF, NC","","","","","","","","","","","","","         2"," ","","","","","","","",""
"NCW00082608","1974","-22.266667","166.45","71.9","NOUMEA NF, NC","        13","S","        13","S","         2","S","","","","","","","","","  49.0"," ,S,0119, ","","","    220.9"," ,S","",""
"NCW00082608","1986","-22.266667","166.45","71.9","NOUMEA NF, NC","","","","","","","         0","S","       333","S","        17","S","","","","","   36.8","S,0125, ","","","     26.49","S"
"NCW00082608","1987","-22.266667","166.45","71.9","NOUMEA NF, NC","","","","","","","         0","S","       334","S","         2","S","","","","","   32.6","S,0308, ","","","     26.16","S"
"NCW00082608","1990","-22.266667","166.45","71.9","NOUMEA NF, NC","","","","","","","         0","S","       344","S","         7","S","","","","","   33.5","S,0117, ","","","     26.86","S"
"NCW00082608","1991","-22.266667","166.45","71.9","NOUMEA NF, NC","","","","","","","         0","S","       343","S","         6","S","","","","","   36.4","S,0201, ","","","     26.20","S"
"NCW00082608","1994","-22.266667","166.45","71.9","NOUMEA NF, NC","       114","S","        53","S","         9","S","         0","S","       331","S","         3","S","","","  98.0"," ,S,0227, ","   33.5","S,0220, ","    777.1"," ,S","     25.91","S"
"NCW00082608","1996","-22.266667","166.45","71.9","NOUMEA NF, NC","","","","","","","         0","S","       346","S","        32","S","","","","","   35.8","S,0215, ","","","     27.36","S"
"NCW00082608","1997","-22.266667","166.45","71.9","NOUMEA NF, NC","","","","","","","         0","S","       346","S","        20","S","","","","","   35.7","S,0304, ","","","     26.42","S"
"NCW00082608","1998","-22.266667","166.45","71.9","NOUMEA NF, NC","","","","","","","         0","S","       346","S","        19","S","","","","","   35.3","S,0123, ","","","     27.83","S"
"NCW00082608","2000","-22.266667","166.45","71.9","NOUMEA NF, NC","","","","","","","         0","S","       347","S","         6","S","","","","","   34.8","S,1229, ","","","     26.33","S"
"NCW00082608","2001","-22.266667","166.45","71.9","NOUMEA NF, NC","","","","","","","         0","S","       352","S","        21","S","","","","","   34.9","S,1120, ","","","     26.99","S"
"NCW00082608","2003","-22.266667","166.45","71.9","NOUMEA NF, NC","","","","","","","         0","S","       326","S","        13","S","","","","","   34.2","S,1227, ","","","     26.62","S"
"NCW00082608","2006","-22.266667","166.45","71.9","NOUMEA NF, NC","       123","S","        64","S","         4","S","         0","S","       333","S","         6","S","","","  36.1"," ,S,0301, ","   33.8","S,0320, ","    653.7"," ,S","     26.12","S"
"NCW00082608","2007","-22.266667","166.45","71.9","NOUMEA NF, NC","       135","S","        60","S","         9","S","","","","","","","","","  86.1"," ,S,0629, ","","","    945.9"," ,S","",""
"NCW00082608","2008","-22.266667","166.45","71.9","NOUMEA NF, NC","       150","S","        85","S","        12","S","","","","","","","","","  88.9"," ,S,0303, ","","","   1222.2"," ,S","",""
"NCW00082608","2009","-22.266667","166.45","71.9","NOUMEA NF, NC","       145","S","        77","S","        12","S","","","","","","","",""," 138.9"," ,S,0325, ","","","   1121.2"," ,S","",""
"NCW00082608","2010","-22.266667","166.45","71.9","NOUMEA NF, NC","       119","S","        69","S","         8","S","","","","","","","","","  71.1"," ,S,0109, ","","","    930.1"," ,S","",""
"NCW00082608","2012","-22.266667","166.45","71.9","NOUMEA NF, NC","       134","S","        73","S","        12","S","","","","","","","","","  79.0"," ,S,0320, ","","","   1147.0"," ,S","",""
"NCW00082608","2013","-22.266667","166.45","71.9","NOUMEA NF, NC","       170","S","        78","S","        10","S","","","","","","","","","  83.1"," ,S,0102, ","","","   1110.9"," ,S","",""
"NCW00082608","2014","-22.266667","166.45","71.9","NOUMEA NF, NC","       158","S","        67","S","         4","S","","","","","","","","","  89.9"," ,S,0204, ","","","    807.1"," ,S","",""
