"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES"
"THW00041082","1972","16.63333","102.96667","244.1","NAM PHONG, TH","        18"," ","","","        36"," ","","","",""
"THW00041082","1973","16.63333","102.96667","244.1","NAM PHONG, TH","         6"," ","         1"," ","        51"," ","       0.0","0","       0.0","X"
