"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00205637","1941","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","     33.4","","      33.4","6","        16","6","       183","6","        86","6","        55","6","         0","6","         1"," ","","","  -28.3","6,0317, ","   30.0","6,0626, ","-5.0","6,1025","-5.0","6,1025","-5.0","6,1025","-6.7","6,1027","-10.0","6,1123","-1.7","6,0531","-2.8","6,0530","-5.6","6,0519","-6.7","6,0518","-13.9","6,0329","","","","","      4.32","6","      8.90","6","     -0.27","6"
"USC00205637","1942","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","     14.1","","      14.1","6","        17","6","       174","6","        81","6","        35","6","         0","6","","","","","  -30.6","6,0107, ","   28.9","6,0821,+","-1.7","6,0925","-3.3","6,1025","-6.1","6,1108","-8.3","6,1110","-12.2","6,1113","0.0","6,0522","-2.8","6,0515","-6.1","6,0409","-7.2","6,0405","-11.1","6,0313","    4860.3","3","    4860.3","6","      3.90","6","      8.06","6","     -0.26","6"
"USC00205637","1943","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    5740.3","3","    5740.3","6","","","","","",""
"USC00205637","1948","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","        16"," ","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1949","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","         6"," ","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1950","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","        21"," ","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1951","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","        10"," ","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1952","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","        25"," ","         5"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1953","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","        13"," ","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1954","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","        24"," ","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1955","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","        20"," ","        10"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1956","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","        11"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1957","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","        16"," ","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1958","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","         7"," ","         8"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1959","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","         2"," ","        15"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1960","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","         8"," ","         7"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1961","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","        11"," ","        11"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1962","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1963","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","","","         9"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1964","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","","","        20"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1965","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","","","         8"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1966","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","","","        17"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1967","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","","","         9"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205637","1968","48.1069","-88.5468","185.9","MOTT ISLAND ISLE ROYALE, MI US","","","","","","","","","","","","","","","","","        21"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
