"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SAM00040400","1981","26.199","36.476","20.1","WEJH, SA","","","","","         0","S","       328","S","        86","S","","","   40.0","S,1028,+","","","     29.36","S","",""
"SAM00040400","1984","26.199","36.476","20.1","WEJH, SA","","","","","         0","S","       335","S","        97","S","","","   37.3","S,0523, ","","","     29.58","S","",""
"SAM00040400","1985","26.199","36.476","20.1","WEJH, SA","","","","","         0","S","       342","S","       111","S","","","   41.4","S,0608, ","","","     30.14","S","",""
"SAM00040400","1986","26.199","36.476","20.1","WEJH, SA","","","","","         0","S","       340","S","       111","S","","","   41.0","S,0611,+","","","     29.71","S","",""
"SAM00040400","1988","26.199","36.476","20.1","WEJH, SA","","","","","         0","S","       328","S","       123","S","","","   42.6","S,0620, ","","","     30.44","S","",""
"SAM00040400","1993","26.199","36.476","20.1","WEJH, SA","","","","","         0","S","       332","S","       108","S","","","   41.0","S,1018, ","","","     29.47","S","",""
"SAM00040400","1996","26.199","36.476","20.1","WEJH, SA","","","","","         0","S","       341","S","       103","S","","","   42.0","S,0926, ","","","     29.88","S","",""
"SAM00040400","1999","26.199","36.476","20.1","WEJH, SA","         0","S","         0","S","","","","","","","   11.5","S,0121, ","","","","","","","     20.06","S"
"SAM00040400","2000","26.199","36.476","20.1","WEJH, SA","","","","","         0","S","       337","S","        99","S","","","   42.0","S,0730, ","","","     29.34","S","",""
"SAM00040400","2001","26.199","36.476","20.1","WEJH, SA","         0","S","         0","S","         0","S","       348","S","       123","S","    9.0","S,0222, ","   40.2","S,0713, ","     25.12","S","     30.03","S","     20.20","S"
"SAM00040400","2002","26.199","36.476","20.1","WEJH, SA","","","","","         0","S","       335","S","       133","S","","","   42.8","S,0728, ","","","     30.32","S","",""
"SAM00040400","2003","26.199","36.476","20.1","WEJH, SA","","","","","         0","S","       334","S","       153","S","","","   40.2","S,0526, ","","","     30.68","S","",""
"SAM00040400","2004","26.199","36.476","20.1","WEJH, SA","","","","","         0","S","       343","S","       145","S","","","   44.0","S,0510, ","","","     30.52","S","",""
"SAM00040400","2005","26.199","36.476","20.1","WEJH, SA","","","","","         0","S","       334","S","       123","S","","","   42.0","S,0927, ","","","     30.17","S","",""
"SAM00040400","2007","26.199","36.476","20.1","WEJH, SA","","","","","         0","S","       346","S","       117","S","","","   39.0","S,1031, ","","","     30.02","S","",""
"SAM00040400","2008","26.199","36.476","20.1","WEJH, SA","","","","","         0","S","       341","S","       152","S","","","   40.5","S,0422, ","","","     30.49","S","",""
"SAM00040400","2009","26.199","36.476","20.1","WEJH, SA","","","","","         0","S","       348","S","       141","S","","","   41.8","S,1017, ","","","     30.50","S","",""
"SAM00040400","2010","26.199","36.476","20.1","WEJH, SA","","","","","         0","S","       339","S","       191","S","","","   42.0","S,0621, ","","","     32.22","S","",""
"SAM00040400","2011","26.199","36.476","20.1","WEJH, SA","","","","","         0","S","       344","S","       139","S","","","   40.0","S,0722, ","","","     30.57","S","",""
"SAM00040400","2012","26.199","36.476","20.1","WEJH, SA","         0","S","         0","S","         0","S","       348","S","       171","S","    9.8","S,0121, ","   43.8","S,0528, ","     25.95","S","     31.19","S","     20.71","S"
"SAM00040400","2017","26.199","36.476","20.1","WEJH, SA","","","","","         0","S","       332","S","       148","S","","","   41.6","S,0529, ","","","     31.10","S","",""
"SAM00040400","2018","26.199","36.476","20.1","WEJH, SA","","","","","         0","S","       332","S","       168","S","","","   43.2","S,0520, ","","","     31.68","S","",""
"SAM00040400","2019","26.199","36.476","20.1","WEJH, SA","","","","","         0","S","       328","S","       152","S","","","   40.6","S,0718, ","","","     30.61","S","",""
