"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00349346","2010","34.9822","-97.5211","344.7","WASHINGTON 6 SSW MESONET, OK US","   1150.0","","    1150.0","0","        0","","         0","0","        80","0","         9","0","       220","0","        79","0","  -15.0","0,0110,+","     0"," ,0,1231,+","   40.0","0,0823, ","0.0","0,1029","-3.3","0,1125","-6.1","0,1126","-6.7","0,1201","-9.4","0,1226","-2.2","0,0322","-2.2","0,0322","-6.1","0,0224","-6.7","0,0209","-15.0","0,0110","    2138.1","1","","","    2138.1","0","","","","","","","","","","","","","     16.01","0","     22.26","0","      9.76","0"
"USC00349346","2011","34.9822","-97.5211","344.7","WASHINGTON 6 SSW MESONET, OK US","   1528.5","","    1528.5","K","","","         1","K","        74","K","         8","K","       226","K","       108","K","  -18.9","K,0210, ","","","   43.9","K,0803,+","-2.2","K,1104","-2.2","K,1104","-7.2","K,1206","-7.2","K,1206","-9.4","K,1207","0.0","K,0405","-2.8","K,0315","-4.4","K,0212","-10.6","K,0211","-10.6","K,0211","    1847.7","7","      32.2","K,3,2","    1847.7","K","      41.7","K,3,2","      -3.3","K,3,2","      -1.7","K,3,2","      15.1","K,3,2","      23.3","K,3,2","","","     17.30","K","     24.51","K","     10.09","K"
"USC00349346","2012","34.9822","-97.5211","344.7","WASHINGTON 6 SSW MESONET, OK US","   1294.2","","    1294.2","7","","","         0","7","        55","7","         2","7","       238","7","        98","7","  -10.6","7,1226, ","","","   45.0","7,0801, ","-0.6","7,1008","-2.2","7,1027","-7.8","7,1210","-7.8","7,1210","-9.4","7,1211","0.0","K,0309","-2.2","K,0221","-8.9","K,0212","-8.9","K,0212","-8.9","K,0212","    1553.5","5","      31.7","7,3,2","    1553.5","7","      42.2","7,3,2","      -0.6","7,3,2","       1.7","7,3,2","      15.5","7,3,2","      23.7","7,3,2","","","     17.69","7","     24.43","7","     10.94","7"
"USC00349346","2013","34.9822","-97.5211","344.7","WASHINGTON 6 SSW MESONET, OK US","   1031.7","","    1031.7","7","","","         0","7","        91","7","        10","7","       202","7","        74","7","  -14.4","7,1210, ","","","   39.4","7,0831, ","0.0","7,1019","-4.4","7,1112","-4.4","7,1112","-7.8","7,1113","-10.0","7,1206","-1.1","7,0424","-6.1","7,0326","-6.1","7,0326","-6.7","7,0223","","","    1919.0","0","      28.9","7,3,2","    1919.0","7","      38.3","7,3,2","       0.6","7,3,2","       1.7","7,3,2","      13.4","7,3,2","      21.0","7,3,2","","","     15.26","7","     21.67","7","      8.85","7"
"USC00349346","2014","34.9822","-97.5211","344.7","WASHINGTON 6 SSW MESONET, OK US","   1084.2","","    1084.2","7","","","         0","7","        85","7","        14","7","       214","7","        74","7","  -15.6","7,0106, ","","","   40.0","7,0825, ","-0.6","7,1031","-5.6","7,1112","-5.6","7,1112","-7.8","7,1117","-8.9","7,1118","-1.1","7,0415","-3.9","7,0317","-9.4","7,0304","-9.4","7,0304","-9.4","7,0304","    2229.1","1","      29.4","7,3,2","    2229.1","7","      36.7","7,3,2","      -0.6","7,3,2","       0.0","7,3,2","      14.8","7,3,2","      20.6","7,3,2","","","     15.54","7","     22.11","7","      8.97","7"
"USC00349346","2015","34.9822","-97.5211","344.7","WASHINGTON 6 SSW MESONET, OK US","   1021.5","","    1021.5","7","","","         0","7","        69","7","         5","7","       227","7","        72","7","  -12.8","7,0108, ","","","   38.3","7,0908,+","0.0","7,1113","-3.9","7,1121","-5.6","7,1122","","","","","-1.1","7,0307","-5.6","7,0306","-5.6","7,0306","-10.6","7,0305","-10.6","7,0305","    1919.9","9","      28.9","7,3,2","    1919.9","7","      36.7","7,3,2","       0.0","7,3,2","       0.6","7,3,2","      15.2","7,3,2","      20.8","7,3,2","   1586.3"," ,7","     16.27","7","     22.53","7","     10.02","7"
"USC00349346","2016","34.9822","-97.5211","344.7","WASHINGTON 6 SSW MESONET, OK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1514.7","7","      30.6","7,3,2","    1514.7","7","      37.8","7,3,2","       0.0","7,3,2","       1.1","7,3,2","      16.0","7,3,2","      21.8","7,3,2","    924.6"," ,7","","","","","",""
"USC00349346","2017","34.9822","-97.5211","344.7","WASHINGTON 6 SSW MESONET, OK US","   1010.4","","    1010.4","7","","","         1","7","        58","7","         4","7","       246","7","        59","7","  -19.4","7,0107, ","","","   37.8","7,0722, ","-0.6","7,1027","-2.2","7,1028","-8.9","7,1207","-8.9","7,1207","-8.9","7,1207","-1.7","7,0315","-2.2","7,0314","-5.6","7,0225","-11.1","7,0108","-11.1","7,0108","","","      30.0","7,3,2","","","      37.8","7,3,2","       1.1","7,3,2","       2.2","7,3,2","      15.6","7,3,2","      21.6","7,3,2","    993.1"," ,7","     16.83","7","     23.42","7","     10.23","7"
"USC00349346","2018","34.9822","-97.5211","344.7","WASHINGTON 6 SSW MESONET, OK US","   1176.4","","    1176.4","7","","","         0","7","        82","7","         5","7","       210","7","        75","7","  -16.7","7,0117, ","","","   42.2","7,0720, ","-1.7","7,1109","-6.1","7,1110","-6.1","7,1110","-7.2","7,1113","-8.9","7,1114","0.0","7,0416","-2.2","7,0408","-4.4","7,0225","-11.1","7,0212","-11.1","7,0212","    1854.9","9","","","    1854.9","7","","","","","","","","","","","   1224.9"," ,7","     16.08","7","     22.42","7","      9.73","7"
"USC00349346","2019","34.9822","-97.5211","344.7","WASHINGTON 6 SSW MESONET, OK US","   1134.0","","    1134.0","7","","","         0","7","        82","7","         4","7","       216","7","        75","7","  -12.2","7,0304, ","","","   40.6","7,0812,+","-0.6","7,1012","-2.2","7,1030","-5.6","7,1031","-9.4","7,1112","-9.4","7,1112","0.0","7,0401","-2.2","7,0331","-7.2","7,0306","-7.2","7,0306","-11.1","7,0305","    2009.0","0","","","    2009.0","7","","","","","","","","","","","   1031.6"," ,7","     15.96","7","     22.35","7","      9.57","7"
