"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"ASN00087023","1898","-38.1587","144.3954","4.0","GEELONG SALINES MOOLAP, AS","","","","","        94","a","        43","a","         0","a","  24.6"," ,a,0614, ","    338.6"," ,a"
"ASN00087023","1899","-38.1587","144.3954","4.0","GEELONG SALINES MOOLAP, AS","","","","","        94","a","        69","a","         2","a","  31.0"," ,a,0226, ","    553.3"," ,a"
"ASN00087023","1900","-38.1587","144.3954","4.0","GEELONG SALINES MOOLAP, AS","","","","","        91","a","        55","a","         1","a","  29.2"," ,a,0320, ","    396.7"," ,a"
"ASN00087023","1901","-38.1587","144.3954","4.0","GEELONG SALINES MOOLAP, AS","","","","","        74","a","        47","a","         2","a","  37.8"," ,a,0422, ","    411.9"," ,a"
"ASN00087023","1902","-38.1587","144.3954","4.0","GEELONG SALINES MOOLAP, AS","","","","","        70","a","        31","a","         2","a","  61.5"," ,a,0328, ","    343.5"," ,a"
"ASN00087023","1903","-38.1587","144.3954","4.0","GEELONG SALINES MOOLAP, AS","","","","","        86","a","        49","a","         1","a","  64.8"," ,a,1128, ","    494.8"," ,a"
"ASN00087023","1904","-38.1587","144.3954","4.0","GEELONG SALINES MOOLAP, AS","","","","","        79","a","        50","a","         1","a","  51.6"," ,a,0121, ","    403.8"," ,a"
"ASN00087023","1905","-38.1587","144.3954","4.0","GEELONG SALINES MOOLAP, AS","","","","","        78","a","        48","a","         1","a","  26.7"," ,a,1203, ","    419.0"," ,a"
"ASN00087023","1906","-38.1587","144.3954","4.0","GEELONG SALINES MOOLAP, AS","","","","","        71","a","        49","a","         2","a","  33.0"," ,a,0828, ","    465.0"," ,a"
"ASN00087023","1907","-38.1587","144.3954","4.0","GEELONG SALINES MOOLAP, AS","","","","","        77","a","        44","a","         3","a","  87.9"," ,a,1227, ","    514.6"," ,a"
