"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MYM00096421","1962","2.262","111.985","37.2","SIBU, MY","   2811.6","","    2811.6","S","","","","","","","         0","S","         0","S","         0","S","       365","S","       168","S","   19.4","S,0809,+","","","   36.1","S,0506, ","","","     26.89","S","     31.55","S","     22.24","S"
"MYM00096421","1963","2.262","111.985","37.2","SIBU, MY","","","","","","","","","","","","","","","         0","S","       365","S","       181","S","","","","","   35.6","S,0606, ","","","","","     31.50","S","",""
"MYM00096421","1964","2.262","111.985","37.2","SIBU, MY","","","","","","","","","","","","","","","         0","S","       365","S","       181","S","","","","","   35.6","S,0529,+","","","","","     31.71","S","",""
"MYM00096421","1979","2.262","111.985","37.2","SIBU, MY","","","","","       125","S","        94","S","        25","S","","","","","","","","","","","","","  89.9"," ,S,0917, ","","","   1861.4"," ,S","","","","","",""
"MYM00096421","1981","2.262","111.985","37.2","SIBU, MY","","","","","       200","S","       155","S","        42","S","","","","","","","","","","","",""," 130.0"," ,S,0602, ","","","   3313.7"," ,S","","","","","",""
"MYM00096421","1995","2.262","111.985","37.2","SIBU, MY","","","","","","","","","","","","","","","         0","S","       329","S","       160","S","","","","","   35.5","S,0522,+","","","","","     31.72","S","",""
"MYM00096421","1996","2.262","111.985","37.2","SIBU, MY","","","","","","","","","","","","","","","         0","S","       343","S","       160","S","","","","","   35.5","S,0808,+","","","","","     31.68","S","",""
"MYM00096421","1997","2.262","111.985","37.2","SIBU, MY","","","","","","","","","","","","","","","         0","S","       335","S","       180","S","","","","","   35.8","S,0531, ","","","","","     32.00","S","",""
"MYM00096421","1999","2.262","111.985","37.2","SIBU, MY","","","","","","","","","","","","","","","         0","S","       343","S","       202","S","","","","","   35.8","S,0731, ","","","","","     32.15","S","",""
"MYM00096421","2000","2.262","111.985","37.2","SIBU, MY","","","","","","","","","","","","","","","         0","S","       344","S","       195","S","","","","","   35.7","S,0831, ","","","","","     32.22","S","",""
