"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UYM00086350","2007","-30.975","-55.476","223.0","PRESIDENTE GENERAL DON OSCAR, UY","","","","","","","         0","S","         6","S","   -2.5","S,0712, ","","","-2.2","S,0711","-2.2","S,0711","","","","","     12.59","S"
"UYM00086350","2008","-30.975","-55.476","223.0","PRESIDENTE GENERAL DON OSCAR, UY","","","","","","","         0","S","         3","S","   -0.6","S,0530, ","","","-0.6","S,0530","","","","","","","     12.86","S"
"UYM00086350","2010","-30.975","-55.476","223.0","PRESIDENTE GENERAL DON OSCAR, UY","","","","","","","         0","S","         3","S","   -0.9","S,0804, ","","","-0.7","S,0716","","","-0.9","S,0804","","","     12.51","S"
"UYM00086350","2011","-30.975","-55.476","223.0","PRESIDENTE GENERAL DON OSCAR, UY","","","","","","","         0","S","         7","S","   -1.0","S,0706,+","","","-0.2","S,0605","","","-0.4","S,0823","","","     12.51","S"
"UYM00086350","2012","-30.975","-55.476","223.0","PRESIDENTE GENERAL DON OSCAR, UY","","","","","","","         0","S","         2","S","   -1.8","S,0609, ","","","-0.4","S,0607","","","","","","","     13.56","S"
"UYM00086350","2013","-30.975","-55.476","223.0","PRESIDENTE GENERAL DON OSCAR, UY","","","","","","","         0","S","         0","S","    0.4","S,0723, ","","","","","","","","","","","     12.75","S"
"UYM00086350","2014","-30.975","-55.476","223.0","PRESIDENTE GENERAL DON OSCAR, UY","","","","","","","         0","S","         1","S","    0.0","S,0620, ","","","0.0","S,0620","","","","","","","     13.71","S"
"UYM00086350","2016","-30.975","-55.476","223.0","PRESIDENTE GENERAL DON OSCAR, UY","        97","S","        64","S","        28","S","","","","","","","  92.2"," ,S,0706, ","","","","","","","   1575.3"," ,S","",""
"UYM00086350","2017","-30.975","-55.476","223.0","PRESIDENTE GENERAL DON OSCAR, UY","       111","S","        85","S","        22","S","","","","","",""," 239.0"," ,S,0410, ","","","","","","","   2200.0"," ,S","",""
"UYM00086350","2018","-30.975","-55.476","223.0","PRESIDENTE GENERAL DON OSCAR, UY","       110","S","        78","S","        30","S","","","","","",""," 108.0"," ,S,0930, ","","","","","","","   1860.7"," ,S","",""
"UYM00086350","2019","-30.975","-55.476","223.0","PRESIDENTE GENERAL DON OSCAR, UY","       113","S","        84","S","        27","S","","","","","",""," 157.7"," ,S,0521, ","","","","","","","   2213.8"," ,S","",""
