"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00067949","1933","41.95","-72.2","312.4","STAFFORD SPRINGS NEAR, CT US","       109","6","        81","6","        11","6","         4","6","       146","6","        32","6","       122","6","        10","6","","","","","  -27.2","6,1230, ","  78.7"," ,6,0916, ","   34.4","6,0629, ","0.0","6,1025","-7.8","6,1026","-7.8","6,1026","-7.8","6,1026","-9.4","6,1115","-3.3","6,0428","-3.3","6,0428","-5.6","6,0423","-7.2","6,0324","-9.4","6,0316","   1237.2"," ,6","      8.83","6","     14.04","6","      3.63","6"
"USC00067949","1934","41.95","-72.2","312.4","STAFFORD SPRINGS NEAR, CT US","","","","","","","","","","","","","","","","","         1"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
