"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"GLE00147001","1958","68.7","-52.75","43.0","AASIAAT, GL","        88","E","        32","E","         0","E","","","","","  24.0"," ,E,0524, ","    247.7"," ,E"
"GLE00147001","1959","68.7","-52.75","43.0","AASIAAT, GL","        71","E","        27","E","         1","E","      235","","   250"," ,E,1214,+","  85.0"," ,E,0712, ","    286.8"," ,E"
"GLE00147001","1960","68.7","-52.75","43.0","AASIAAT, GL","        60","E","        25","E","         0","E","      201","","   500"," ,E,0514,+","  13.0"," ,E,1029, ","    185.6"," ,E"
"GLE00147001","1962","68.7","-52.75","43.0","AASIAAT, GL","        87","E","        26","E","         0","E","      224","","   290"," ,E,0403,+","  24.9"," ,E,0202, ","    227.2"," ,E"
"GLE00147001","1963","68.7","-52.75","43.0","AASIAAT, GL","        89","E","        28","E","         0","E","      240","","   250"," ,E,1230,+","  14.8"," ,E,1102, ","    180.4"," ,E"
"GLE00147001","1964","68.7","-52.75","43.0","AASIAAT, GL","        89","E","        22","E","         0","E","","","","","  22.4"," ,E,1204, ","    223.6"," ,E"
"GLE00147001","1965","68.7","-52.75","43.0","AASIAAT, GL","        72","E","        15","E","         0","E","","","","","  12.0"," ,E,0803, ","    141.6"," ,E"
"GLE00147001","1966","68.7","-52.75","43.0","AASIAAT, GL","        98","E","        29","E","         0","E","      221","","   450"," ,E,0309,+","  17.0"," ,E,0922, ","    213.7"," ,E"
"GLE00147001","1967","68.7","-52.75","43.0","AASIAAT, GL","       130","E","        54","E","         1","E","      228","","   820"," ,E,1224, ","  30.2"," ,E,0928, ","    477.5"," ,E"
"GLE00147001","1968","68.7","-52.75","43.0","AASIAAT, GL","       119","E","        52","E","         1","E","      216","","   900"," ,E,0308,+","  27.6"," ,E,0716, ","    402.3"," ,E"
"GLE00147001","1969","68.7","-52.75","43.0","AASIAAT, GL","       141","E","        55","E","         2","E","      248","","   560"," ,E,1231, ","  32.3"," ,E,0215, ","    480.2"," ,E"
"GLE00147001","1970","68.7","-52.75","43.0","AASIAAT, GL","       120","E","        39","E","         4","E","","","","","  36.5"," ,E,0815, ","    460.0"," ,E"
"GLE00147001","1971","68.7","-52.75","43.0","AASIAAT, GL","       130","E","        43","E","         1","E","","","","","  28.9"," ,E,0606, ","    416.4"," ,E"
"GLE00147001","1972","68.7","-52.75","43.0","AASIAAT, GL","       135","E","        56","E","         1","E","","","","","  39.5"," ,E,0704, ","    520.0"," ,E"
"GLE00147001","1973","68.7","-52.75","43.0","AASIAAT, GL","       118","E","        44","E","         0","E","","","","","  24.0"," ,E,0408, ","    348.4"," ,E"
