"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00106152","1894","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","    232.2","","     232.2","0","","","","","","","","","","","         4","0","       157","0","        27","0","        98","0","        12","0","","","  -22.2","0,0220, ","","","","","","","   35.6","0,0823, ","","","0.0","0,0922","-2.2","0,1007","-5.6","0,1113","-6.7","0,1114","-9.4","0,1210","0.0","0,0611","-3.9","0,0407","-6.7","0,0320","-6.7","0,0320","-11.1","0,0305","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","      8.10","0","     14.05","0","      2.15","0","",""
"USC00106152","1895","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","     35.9","","      35.9","0","        48","0","        42","0","         4","0","","","        11","0","         1","0","       193","0","        11","0","       101","0","         4","0","","","  -18.3","0,1217, ","","","   152"," ,0,0102, ","  40.9"," ,0,0527, ","   35.6","0,0627, ","","","0.0","0,0905","-2.2","0,0918","-6.1","0,1023","-6.7","0,1115","-8.9","0,1121","-1.1","0,0530","-2.2","0,0404","-7.2","0,0314","-7.2","0,0314","-11.1","0,0313","    3758.2","2","","","","","    3758.2","0","","","","","","","","","","","","","","","","","","","","","    412.3"," ,0","      606"," ,0","      7.56","0","     14.79","0","      0.32","0","",""
"USC00106152","1896","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","","","","","        57","0","        51","0","         6","0","","","","","","","","","","","","","","","","","","","","","","","  61.0"," ,0,1108, ","","","","","","","","","","","","","","","","","","","","","","","","","    3722.8","8","","","","","    3722.8","0","","","","","","","","","","","","","","","","","","","","","    568.8"," ,0","","","","","","","","","",""
"USC00106152","1897","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","","","","","        75","0","        64","0","         2","0","","","","","","","","","","","","","","","","","","","","","","","  25.9"," ,0,1113, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    489.7"," ,0","","","","","","","","","",""
"USC00106152","1898","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","    150.7","","     150.7","0","        81","0","        63","0","         2","0","","","        25","0","         1","0","       162","0","        51","0","       106","0","        18","0","","","  -20.0","0,0123, ","","","   257"," ,0,1123, ","  26.2"," ,0,0831, ","   37.8","0,0810,+","","","-0.6","0,0927","-5.0","0,1005","-5.0","0,1005","-6.7","0,1110","-9.4","0,1205","0.0","0,0627","-2.2","0,0506","-6.7","0,0328","-6.7","0,0328","-9.4","0,0327","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    499.1"," ,0","     1662"," ,0","      7.12","0","     13.05","0","      1.18","0","",""
"USC00106152","1899","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","","","","","        94","0","        83","0","         2","0","","","","","","","","","","","","","","","","","","","","","","","  25.4"," ,0,1126,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    714.3"," ,0","","","","","","","","","",""
"USC00106152","1900","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","","","","","        95","0","        65","0","         5","0","","","         7","0","","","","","","","","","","","","","","","","","   127"," ,0,0208, ","  35.6"," ,0,1226,+","","","","","","","","","","","","","","","","","","","","","","","","","    3412.2","2","","","","","    3412.2","0","","","","","","","","","","","","","","","","","","","","","    661.0"," ,0","      487"," ,0","","","","","","","",""
"USC00106152","1901","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","    119.8","","     119.8","0","        93","0","        71","0","         2","0","","","","","         0","0","       129","0","        24","0","        98","0","         9","0","","","  -13.9","0,0101, ","","","","","  31.8"," ,0,1122, ","   37.2","0,0815, ","","","-3.3","0,1102","-3.3","0,1102","-12.8","0,1211","-12.8","0,1211","-12.8","0,1211","0.0","0,0605","-2.2","0,0415","-5.6","0,0222","-8.9","0,0210","-8.9","0,0210","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    596.4"," ,0","","","      8.42","0","     13.87","0","      2.97","0","",""
"USC00106152","1902","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","    110.8","","     110.8","0","       115","0","        73","0","         2","0","","","        15","0","         6","0","       130","0","        21","0","       101","0","         6","0","","","  -24.4","0,0126,+","","","   152"," ,0,1231, ","  36.6"," ,0,1108, ","   35.6","0,0821, ","","","-1.1","0,0928","-2.2","0,1103","-4.4","0,1119","-10.0","0,1120","-10.0","0,1120","-1.1","0,0530","-3.3","0,0414","-5.6","0,0413","-9.4","0,0315","-9.4","0,0315","    3712.8","8","","","","","    3712.8","0","","","","","","","","","","","","","","","","","","","","","    700.9"," ,0","     1320"," ,0","      7.93","0","     13.75","0","      2.12","0","",""
"USC00106152","1903","46.728","-116.9557","802.8","MOSCOW U OF I, ID US","     72.5","","      72.5","0","       101","0","        70","0","         2","0","","","        17","0","         0","0","       156","0","        12","0","        86","0","         3","0","","","  -15.6","0,0206, ","","","   102"," ,0,1215,+","  30.5"," ,0,0102, ","   36.7","0,0818, ","","","-0.6","0,0930","-2.8","0,1108","-4.4","0,1112","-8.3","0,1116","-11.1","0,1117","-0.6","0,0521","-2.2","0,0502","-4.4","0,0320","-7.2","0,0315","-11.1","0,0215","    3930.5","5","","","","","    3930.5","0","","","","","","","","","","","","","","","","","","","","","    570.8"," ,0","     1187"," ,0","      7.62","0","     13.06","0","      2.17","0","",""
