"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CFIS","1989","32.9903","-116.0669","231.6","FISH CREEK MOUNTAIN CALIFORNIA, CA US","   3068.6","","    3068.6","U","         0","U","         0","U","         0","U","       310","U","       179","U","    2.2","U,0206, ","   47.2","U,0704, ","     347.5","5","     347.5","U","     25.92","U","     30.89","U","     20.95","U"
"USR0000CFIS","1990","32.9903","-116.0669","231.6","FISH CREEK MOUNTAIN CALIFORNIA, CA US","   2793.2","","    2793.2","U","         0","U","         0","U","         0","U","       301","U","       162","U","    1.1","U,1223, ","   47.2","U,0626, ","     270.7","7","     270.7","U","     24.95","U","     29.88","U","     20.02","U"
"USR0000CFIS","1991","32.9903","-116.0669","231.6","FISH CREEK MOUNTAIN CALIFORNIA, CA US","   2631.5","","    2631.5","U","         0","U","         0","U","         0","U","       294","U","       163","U","    7.2","U,1129,+","   45.6","U,0702, ","     340.5","5","     340.5","U","     24.74","U","     29.56","U","     19.92","U"
"USR0000CFIS","1992","32.9903","-116.0669","231.6","FISH CREEK MOUNTAIN CALIFORNIA, CA US","   2886.7","","    2886.7","U","         0","U","         0","U","         0","U","       292","U","       182","U","    6.7","U,1228,+","   46.1","U,0718,+","     245.0","0","     245.0","U","     25.32","U","     30.01","U","     20.62","U"
"USR0000CFIS","1994","32.9903","-116.0669","231.6","FISH CREEK MOUNTAIN CALIFORNIA, CA US","   2829.4","","    2829.4","U","         0","U","         0","U","         0","U","       287","U","       163","U","    6.7","U,1119, ","   46.7","U,0629,+","     247.1","1","     247.1","U","     25.08","U","     29.90","U","     20.26","U"
"USR0000CFIS","1995","32.9903","-116.0669","231.6","FISH CREEK MOUNTAIN CALIFORNIA, CA US","   2972.8","","    2972.8","U","         0","U","         0","U","         0","U","       310","U","       163","U","    6.7","U,1223, ","   48.9","U,0728, ","     348.1","1","     348.1","U","     25.92","U","     30.64","U","     21.19","U"
"USR0000CFIS","1996","32.9903","-116.0669","231.6","FISH CREEK MOUNTAIN CALIFORNIA, CA US","   3117.6","","    3117.6","U","         0","U","         0","U","         0","U","       315","U","       181","U","    5.6","U,0226, ","   47.2","U,0731, ","     151.2","2","     151.2","U","     26.34","U","     31.28","U","     21.39","U"
"USR0000CFIS","1997","32.9903","-116.0669","231.6","FISH CREEK MOUNTAIN CALIFORNIA, CA US","   2932.4","","    2932.4","U","         0","U","         0","U","         0","U","       308","U","       183","U","    6.7","U,1225, ","   45.0","U,0805, ","     206.1","1","     206.1","U","     25.72","U","     30.42","U","     21.03","U"
"USR0000CFIS","1998","32.9903","-116.0669","231.6","FISH CREEK MOUNTAIN CALIFORNIA, CA US","   2555.2","","    2555.2","U","         0","U","         0","U","         0","U","       290","U","       140","U","    5.6","U,1223, ","   47.2","U,0804, ","     336.3","3","     336.3","U","     24.41","U","     29.33","U","     19.49","U"
"USR0000CFIS","1999","32.9903","-116.0669","231.6","FISH CREEK MOUNTAIN CALIFORNIA, CA US","   2914.9","","    2914.9","U","         0","U","         0","U","         0","U","       320","U","       179","U","    5.0","U,0404, ","   45.6","U,0630, ","     246.8","8","     246.8","U","     25.71","U","     30.63","U","     20.80","U"
