"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00516128","1976","21.3331","-157.8025","152.4","MANOA LYON ARBO 785.2, HI US","   1170.5","","    1170.5","0","       290","0","       197","0","        31","0","        0","","         0","0","         0","0","         0","0","         0","0","       361","0","         0","0","   11.1","0,0312,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 125.0"," ,0,0725, ","   30.6","0,1004,+","       6.6","6","","","       6.6","0","","","","","","","","","","","   3195.9"," ,0","        0"," ,0","     21.50","0","     25.40","0","     17.60","0"
"USC00516128","1977","21.3331","-157.8025","152.4","MANOA LYON ARBO 785.2, HI US","   1587.2","","    1587.2","0","       279","0","       187","0","        30","0","        0","","         0","0","         0","0","         0","0","         0","0","       363","0","         0","0","   15.0","0,1222,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 197.6"," ,0,0420, ","   31.7","0,1012, ","       0.0","0","","","       0.0","0","","","","","","","","","","","   3361.6"," ,0","        0"," ,0","     22.68","0","     26.35","0","     19.01","0"
"USC00516128","1978","21.3331","-157.8025","152.4","MANOA LYON ARBO 785.2, HI US","   1530.3","","    1530.3","0","       290","0","       217","0","        49","0","        0","","         0","0","         0","0","         0","0","         0","0","       362","0","         0","0","   13.9","0,0303,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 184.7"," ,0,1031, ","   31.1","0,1029, ","       0.8","8","","","       0.8","0","","","","","","","","","","","   4167.4"," ,0","        0"," ,0","     22.52","0","     26.18","0","     18.86","0"
"USC00516128","1979","21.3331","-157.8025","152.4","MANOA LYON ARBO 785.2, HI US","   1447.5","","    1447.5","0","       283","0","       201","0","        43","0","        0","","         0","0","         0","0","         0","0","         0","0","       354","0","         0","0","   12.8","0,0325, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 177.8"," ,0,1225, ","   31.1","0,1011, ","       7.3","3","","","       7.3","0","","","","","","","","","","","   3754.7"," ,0","        0"," ,0","     22.28","0","     25.66","0","     18.90","0"
"USC00516128","1980","21.3331","-157.8025","152.4","MANOA LYON ARBO 785.2, HI US","   1611.6","","    1611.6","0","       287","0","       228","0","        63","0","        0","","         0","0","         0","0","         0","0","         0","0","       366","0","         2","0","   12.8","0,0228,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 147.6"," ,0,0319, ","   32.2","0,1005,+","       1.1","1","","","       1.1","0","","","","","","","","","","","   4838.7"," ,0","        0"," ,0","     22.73","0","     26.36","0","     19.10","0"
"USC00516128","1981","21.3331","-157.8025","152.4","MANOA LYON ARBO 785.2, HI US","   1718.6","","    1718.6","0","       278","0","       184","0","        36","0","        0","","         0","0","         0","0","         0","0","         0","0","       364","0","         2","0","   10.0","0,0210,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 178.8"," ,0,0508, ","   32.2","0,1105,+","       2.8","8","","","       2.8","0","","","","","","","","","","","   3581.7"," ,0","        0"," ,0","     23.03","0","     27.30","0","     18.76","0"
"USC00516128","1982","21.3331","-157.8025","152.4","MANOA LYON ARBO 785.2, HI US","   1546.7","","    1546.7","0","       321","0","       240","0","        62","0","        0","","         0","0","         0","0","         0","0","         0","0","       361","0","         0","0","   11.1","0,0207, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 193.8"," ,0,0323, ","   31.1","0,1203,+","       1.1","1","      26.1","0,0,2","       1.1","0","      33.3","0,0,2","      13.3","0,0,2","      19.4","0,0,2","      21.3","0,0,2","      25.5","0,0,2","   5422.5"," ,0","        0"," ,0","     22.60","0","     26.45","0","     18.76","0"
"USC00516128","1983","21.3331","-157.8025","152.4","MANOA LYON ARBO 785.2, HI US","   1280.5","","    1280.5","0","       296","0","       210","0","        33","0","        0","","         0","0","         0","0","         0","0","         0","0","       365","0","         0","0","    9.4","0,1222, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 108.5"," ,0,1110, ","   30.6","0,1206,+","       2.5","5","","","       2.5","0","","","","","","","","","","","   3126.1"," ,0","        0"," ,0","     21.85","0","     26.49","0","     17.20","0"
"USC00516128","1984","21.3331","-157.8025","152.4","MANOA LYON ARBO 785.2, HI US","   1582.3","","    1582.3","0","       301","0","       195","0","        29","0","","","         0","0","         0","0","         0","0","         0","0","       364","0","         5","0","   10.6","0,0203, ","","","     0"," ,0,1231,+"," 157.5"," ,0,0419, ","   32.8","0,1025, ","       1.6","6","","","       1.6","0","","","","","","","","","","","   3040.6"," ,0","        0"," ,0","     22.73","0","     27.19","0","     18.27","0"
"USC00516128","1985","21.3331","-157.8025","152.4","MANOA LYON ARBO 785.2, HI US","","","","","       272","0","       186","0","        42","0","        0","","         0","0","","","","","         0","0","       361","0","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 128.3"," ,0,0924, ","   31.1","0,1020,+","","","      25.6","0,0,2","","","      28.3","0,0,2","      17.8","0,0,2","      18.9","0,0,2","      22.0","0,0,2","      23.5","0,0,2","   3304.5"," ,0","        0"," ,0","","","     26.43","0","",""
