"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TSM00060745","1967","34.422","8.823","323.1","GAFSA, TS","","","","","","","         0","S","        10","S","         0","S","       236","S","        90","S","   -2.8","S,1223, ","","","   42.2","S,0811,+","0.0","S,1220","-2.8","S,1223","-1.1","S,0131","-2.2","S,0118","","","     18.61","S","     25.00","S","     12.23","S"
"TSM00060745","1974","34.422","8.823","323.1","GAFSA, TS","","","","","","","","","","","         0","S","       183","S","        89","S","","","","","   42.0","S,0714,+","","","","","","","","","","","","","     24.76","S","",""
"TSM00060745","1978","34.422","8.823","323.1","GAFSA, TS","","","","","","","","","","","         0","S","       200","S","        77","S","","","","","   45.0","S,0716, ","","","","","","","","","","","","","     24.89","S","",""
"TSM00060745","1980","34.422","8.823","323.1","GAFSA, TS","","","","","","","","","","","         0","S","       188","S","        79","S","","","","","   43.0","S,0709, ","","","","","","","","","","","","","     24.66","S","",""
"TSM00060745","1981","34.422","8.823","323.1","GAFSA, TS","","","","","","","","","","","         0","S","       216","S","        77","S","","","","","   45.0","S,0703, ","","","","","","","","","","","","","     25.70","S","",""
"TSM00060745","1983","34.422","8.823","323.1","GAFSA, TS","        23","S","        10","S","         0","S","","","","","","","","","","","","","  14.0"," ,S,0621, ","","","","","","","","","","","     94.4"," ,S","","","","","",""
"TSM00060745","1987","34.422","8.823","323.1","GAFSA, TS","        23","S","         9","S","         0","S","","","","","","","","","","","","","  19.1"," ,S,0116, ","","","","","","","","","","","     82.2"," ,S","","","","","",""
"TSM00060745","1988","34.422","8.823","323.1","GAFSA, TS","        26","S","        12","S","         0","S","","","","","","","","","","","","","  20.1"," ,S,1208, ","","","","","","","","","","","    102.8"," ,S","","","","","",""
"TSM00060745","1990","34.422","8.823","323.1","GAFSA, TS","        61","S","        24","S","         4","S","         0","S","         2","S","","","","","","","   -0.6","S,1211, "," 109.0"," ,S,0122, ","","","-0.6","S,1211","","","","","","","    431.7"," ,S","","","","","     13.96","S"
"TSM00060745","1991","34.422","8.823","323.1","GAFSA, TS","        40","S","        12","S","         1","S","","","","","","","","","","","","","  27.9"," ,S,0316, ","","","","","","","","","","","    136.4"," ,S","","","","","",""
"TSM00060745","1992","34.422","8.823","323.1","GAFSA, TS","        39","S","        23","S","         3","S","","","","","","","","","","","",""," 202.9"," ,S,0918, ","","","","","","","","","","","    494.7"," ,S","","","","","",""
"TSM00060745","1994","34.422","8.823","323.1","GAFSA, TS","        30","S","        14","S","         3","S","","","","","","","","","","","","","  75.9"," ,S,0412,+","","","","","","","","","","","    345.8"," ,S","","","","","",""
"TSM00060745","1995","34.422","8.823","323.1","GAFSA, TS","        44","S","        22","S","         3","S","","","","","","","","","","","","","  75.9"," ,S,0729, ","","","","","","","","","","","    370.9"," ,S","","","","","",""
"TSM00060745","1996","34.422","8.823","323.1","GAFSA, TS","        50","S","        17","S","         1","S","","","","","","","","","","","",""," 106.9"," ,S,0506, ","","","","","","","","","","","    268.2"," ,S","","","","","",""
"TSM00060745","1997","34.422","8.823","323.1","GAFSA, TS","        49","S","        11","S","         1","S","","","","","         0","S","       228","S","       106","S","","","  33.0"," ,S,0410, ","   46.2","S,0724, ","","","","","","","","","    136.0"," ,S","","","     26.81","S","",""
"TSM00060745","2003","34.422","8.823","323.1","GAFSA, TS","        35","S","        20","S","         1","S","","","","","","","","","","","",""," 130.3"," ,S,0111, ","","","","","","","","","","","    315.0"," ,S","","","","","",""
"TSM00060745","2005","34.422","8.823","323.1","GAFSA, TS","        27","S","        12","S","         0","S","","","","","","","","","","","","","  19.3"," ,S,0925, ","","","","","","","","","","","    112.2"," ,S","","","","","",""
"TSM00060745","2006","34.422","8.823","323.1","GAFSA, TS","        31","S","        14","S","         1","S","","","","","","","","","","","","","  25.9"," ,S,1217, ","","","","","","","","","","","    140.1"," ,S","","","","","",""
"TSM00060745","2007","34.422","8.823","323.1","GAFSA, TS","        31","S","        10","S","         1","S","","","","","","","","","","","","","  68.6"," ,S,0425, ","","","","","","","","","","","    143.3"," ,S","","","","","",""
"TSM00060745","2008","34.422","8.823","323.1","GAFSA, TS","        25","S","         6","S","         0","S","","","","","","","","","","","","","  18.0"," ,S,1002, ","","","","","","","","","","","     69.2"," ,S","","","","","",""
"TSM00060745","2009","34.422","8.823","323.1","GAFSA, TS","        41","S","        20","S","         1","S","","","","","","","","","","","","","  43.9"," ,S,0122, ","","","","","","","","","","","    220.4"," ,S","","","","","",""
"TSM00060745","2010","34.422","8.823","323.1","GAFSA, TS","        34","S","        15","S","         1","S","","","","","","","","","","","","","  33.0"," ,S,1106, ","","","","","","","","","","","    155.3"," ,S","","","","","",""
"TSM00060745","2011","34.422","8.823","323.1","GAFSA, TS","        49","S","        18","S","         2","S","","","","","","","","","","","","","  50.3"," ,S,1022, ","","","","","","","","","","","    191.1"," ,S","","","","","",""
"TSM00060745","2012","34.422","8.823","323.1","GAFSA, TS","        22","S","         6","S","         0","S","","","","","","","","","","","","","  18.8"," ,S,0307, ","","","","","","","","","","","     80.0"," ,S","","","","","",""
"TSM00060745","2013","34.422","8.823","323.1","GAFSA, TS","        36","S","        11","S","         1","S","","","","","","","","","","","","","  30.0"," ,S,0904, ","","","","","","","","","","","    115.6"," ,S","","","","","",""
