"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SPE00119882","1973","39.5556","2.6264","3.0","PALMA DE MALLORCA CMT, SP","","","","","        54","E","        36","E","         2","E","","","","","","","","","","","","","  43.8"," ,E,0604, ","","","","","","","","","","","","","    419.9"," ,E","","","","","",""
"SPE00119882","1974","39.5556","2.6264","3.0","PALMA DE MALLORCA CMT, SP","","","","","        73","E","        45","E","         4","E","","","","","","","","","","","","","  55.6"," ,E,0220, ","","","","","","","","","","","","","    517.6"," ,E","","","","","",""
"SPE00119882","1975","39.5556","2.6264","3.0","PALMA DE MALLORCA CMT, SP","    519.2","","     519.2","E","        67","E","        39","E","         4","E","         0","E","        32","E","         0","E","       171","E","        29","E","   -3.4","E,0227,+","  34.0"," ,E,1212, ","   37.2","E,0803, ","0.0","E,1221","-0.4","E,0412","-3.4","E,0227","    1703.4","4","    1703.4","E","    428.1"," ,E","     15.22","E","     21.52","E","      8.91","E"
"SPE00119882","1976","39.5556","2.6264","3.0","PALMA DE MALLORCA CMT, SP","    537.2","","     537.2","E","        83","E","        46","E","         2","E","         0","E","        35","E","         0","E","       165","E","        22","E","   -3.0","E,0311,+","  38.2"," ,E,0928, ","   35.0","E,0808, ","-1.2","E,1122","-1.4","E,0411","-3.0","E,0311","    1692.3","3","    1692.3","E","    487.7"," ,E","     15.12","E","     21.42","E","      8.82","E"
"SPE00119882","1977","39.5556","2.6264","3.0","PALMA DE MALLORCA CMT, SP","    347.0","","     347.0","E","        64","E","        37","E","         4","E","         0","E","        15","E","         0","E","       192","E","         2","E","   -2.4","E,0331, ","  43.0"," ,E,0918, ","   36.0","E,0816, ","-0.4","E,1120","0.0","E,0411","-2.4","E,0331","    1557.3","3","    1557.3","E","    462.2"," ,E","     15.41","E","     21.27","E","      9.56","E"
"SPE00119882","1978","39.5556","2.6264","3.0","PALMA DE MALLORCA CMT, SP","    585.6","","     585.6","E","","","","","","","         0","E","         0","E","         0","E","       166","E","         3","E","    2.8","E,0113, ","","","   33.4","E,0806, ","","","","","","","    1134.1","1","    1134.1","E","","","     17.15","E","     20.73","E","     13.57","E"
"SPE00119882","1979","39.5556","2.6264","3.0","PALMA DE MALLORCA CMT, SP","    661.4","","     661.4","E","","","","","","","         0","E","         0","E","         0","E","       168","E","         2","E","    3.4","E,0103, ","","","   33.4","E,0711, ","","","","","","","     966.1","1","     966.1","E","","","     17.14","E","     20.85","E","     13.43","E"
"SPE00119882","1980","39.5556","2.6264","3.0","PALMA DE MALLORCA CMT, SP","    602.5","","     602.5","E","","","","","","","         0","E","         0","E","         0","E","       157","E","         0","E","    3.8","E,1201,+","","","   32.0","E,0801, ","","","","","","","    1136.3","3","    1136.3","E","","","     16.83","E","     20.44","E","     13.21","E"
"SPE00119882","1981","39.5556","2.6264","3.0","PALMA DE MALLORCA CMT, SP","    675.6","","     675.6","E","","","","","","","         0","E","         0","E","         0","E","       182","E","         3","E","    0.6","E,0221, ","","","   34.4","E,0804, ","","","","","","","    1145.9","9","    1145.9","E","","","     17.47","E","     21.21","E","     13.72","E"
"SPE00119882","1982","39.5556","2.6264","3.0","PALMA DE MALLORCA CMT, SP","    809.1","","     809.1","E","        81","E","        36","E","         1","E","         0","E","         0","E","         0","E","       175","E","         6","E","    3.4","E,1225, ","  50.5"," ,E,1021, ","   35.0","E,0708, ","","","","","","","     907.8","8","     907.8","E","    302.6"," ,E","     17.80","E","     21.39","E","     14.20","E"
"SPE00119882","1983","39.5556","2.6264","3.0","PALMA DE MALLORCA CMT, SP","    804.3","","     804.3","E","","","","","","","         0","E","         0","E","         0","E","       182","E","         8","E","    0.8","E,0211, ","","","   35.6","E,0730, ","","","","","","","    1068.8","8","    1068.8","E","","","     17.71","E","     21.51","E","     13.92","E"
"SPE00119882","1984","39.5556","2.6264","3.0","PALMA DE MALLORCA CMT, SP","    571.6","","     571.6","E","","","","","","","         0","E","         0","E","         0","E","       162","E","         2","E","    2.4","E,0312, ","","","   33.8","E,0721, ","","","","","","","    1074.4","4","    1074.4","E","","","     16.83","E","     20.59","E","     13.06","E"
