"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00013165","2009","19.95","-98.7","2389.9","LA TRINIDAD, MX","","","","","        34","m","        17","m","         1","m","         0","m","        21","m","","","","","","","   -5.0","m,0207, ","  25.4"," ,m,1026, ","","","0.0","m,1109","0.0","m,0307","-2.2","m,0208","-5.0","m,0207","    185.3"," ,m","","","","","      7.49","m"
"MXN00013165","2010","19.95","-98.7","2389.9","LA TRINIDAD, MX","     22.0","","      22.0","m","       112","m","        56","m","         4","m","         0","m","        36","m","         0","m","       167","m","         0","m","   -2.2","m,0125,+","  80.0"," ,m,0705, ","   27.8","m,0506,+","-1.7","m,1105","0.0","m,0506","-2.2","m,0125","","","    706.4"," ,m","     13.72","m","     20.69","m","      6.75","m"
