"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00516144","1984","19.1618","-155.6695","1521.0","MAUKA RESERVOIR 3.11, HI US","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00516144","1985","19.1618","-155.6695","1521.0","MAUKA RESERVOIR 3.11, HI US","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00516144","1986","19.1618","-155.6695","1521.0","MAUKA RESERVOIR 3.11, HI US","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00516144","1987","19.1618","-155.6695","1521.0","MAUKA RESERVOIR 3.11, HI US","","","         0","0","","","     0"," ,0,1231,+","        0"," ,0"
"USC00516144","1988","19.1618","-155.6695","1521.0","MAUKA RESERVOIR 3.11, HI US","","","         0","0","","","     0"," ,0,1231,+","        0"," ,0"
"USC00516144","1989","19.1618","-155.6695","1521.0","MAUKA RESERVOIR 3.11, HI US","","","         0","0","","","     0"," ,0,1231,+","        0"," ,0"
"USC00516144","1991","19.1618","-155.6695","1521.0","MAUKA RESERVOIR 3.11, HI US","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00516144","1992","19.1618","-155.6695","1521.0","MAUKA RESERVOIR 3.11, HI US","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00516144","1993","19.1618","-155.6695","1521.0","MAUKA RESERVOIR 3.11, HI US","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00516144","1994","19.1618","-155.6695","1521.0","MAUKA RESERVOIR 3.11, HI US","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00516144","1996","19.1618","-155.6695","1521.0","MAUKA RESERVOIR 3.11, HI US","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00516144","1997","19.1618","-155.6695","1521.0","MAUKA RESERVOIR 3.11, HI US","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00516144","1998","19.1618","-155.6695","1521.0","MAUKA RESERVOIR 3.11, HI US","","","         0","0","","","     0"," ,0,1231,+","        0"," ,0"
"USC00516144","1999","19.1618","-155.6695","1521.0","MAUKA RESERVOIR 3.11, HI US","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00516144","2000","19.1618","-155.6695","1521.0","MAUKA RESERVOIR 3.11, HI US","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00516144","2001","19.1618","-155.6695","1521.0","MAUKA RESERVOIR 3.11, HI US","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00516144","2002","19.1618","-155.6695","1521.0","MAUKA RESERVOIR 3.11, HI US","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00516144","2003","19.1618","-155.6695","1521.0","MAUKA RESERVOIR 3.11, HI US","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00516144","2004","19.1618","-155.6695","1521.0","MAUKA RESERVOIR 3.11, HI US","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00516144","2005","19.1618","-155.6695","1521.0","MAUKA RESERVOIR 3.11, HI US","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00516144","2006","19.1618","-155.6695","1521.0","MAUKA RESERVOIR 3.11, HI US","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00516144","2007","19.1618","-155.6695","1521.0","MAUKA RESERVOIR 3.11, HI US","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00516144","2008","19.1618","-155.6695","1521.0","MAUKA RESERVOIR 3.11, HI US","        0","","         0","0","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
