"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"PAM00086285","2016","-26.933","-55.2","248.0","CAPITAN MEZA, PA","         0","S","         0","S","    0.4","S,0612, ","","","     15.66","S"
"PAM00086285","2017","-26.933","-55.2","248.0","CAPITAN MEZA, PA","         0","S","         2","S","   -1.2","S,0718, ","-1.2","S,0718","     16.35","S"
