"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00045818","1957","38.5","-122.11667","156.1","MONTICELLO DAM, CA US","","","","","","","","","","","","","","","","","","","","","","","","","        17"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00045818","1958","38.5","-122.11667","156.1","MONTICELLO DAM, CA US","","","","","        67","0","        37","0","         8","0","        0","","         0","0","","","","","","","","","","","        46"," ","         1"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 101.6"," ,0,0219, ","","","    1581.7","0","","","","","","","","","","","","","","","","","","","    805.9"," ,0","        0"," ,0","","","","","","","",""
"USC00045818","1959","38.5","-122.11667","156.1","MONTICELLO DAM, CA US","    853.0","","     853.0","0","        41","0","        22","0","         7","0","        0","","         0","0","         0","0","         7","0","         0","0","       262","0","        95","0","        34"," ","         1"," ","   -1.1","0,1207,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  81.3"," ,0,0216, ","   43.9","0,0711, ","    1816.2","0","0.0","0,1206","","","-0.6","0,0213","","","","","    1105.0","0","    1105.0","0","","","","","    534.7"," ,0","        0"," ,0","     17.36","0","     25.59","0","      9.13","0","     16096","0"
"USC00045818","1960","38.5","-122.11667","156.1","MONTICELLO DAM, CA US","    835.1","","     835.1","0","        67","0","        39","0","         6","0","        0","","         0","0","         0","0","        14","0","         0","0","       206","0","        94","0","        31"," ","         2"," ","   -4.4","0,0102, ","     0"," ,0,1231,+","     0","T,0,0115,+","  45.7"," ,0,0208, ","   43.9","0,0722,+","","","0.0","0,1209","","","0.0","0,0227","-3.9","0,0103","-4.4","0,0102","    1370.3","3","    1370.3","0","","","","","    568.4"," ,0","        0","T,0","     16.54","0","     24.02","0","      9.07","0","     15881","0"
"USC00045818","1961","38.5","-122.11667","156.1","MONTICELLO DAM, CA US","    815.7","","     815.7","0","        71","0","        28","0","         4","0","        0","","         0","0","         0","0","        19","0","         0","0","       204","0","        94","0","        49"," ","","","   -3.9","0,0103, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  66.0"," ,0,0126, ","   44.4","0,0616, ","","","0.0","0,1117","","","-0.6","0,0122","-2.2","0,0106","","","    1522.2","2","    1522.2","0","","","","","    441.5"," ,0","        0"," ,0","     16.22","0","     23.70","0","      8.74","0","     15824","0"
"USC00045818","1962","38.5","-122.11667","156.1","MONTICELLO DAM, CA US","    654.3","","     654.3","0","        51","0","        30","0","        10","0","        0","","         0","0","         0","0","        21","0","         0","0","       212","0","        84","0","        52"," ","","","   -2.2","0,0122,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 112.3"," ,0,1012, ","   40.6","0,0816, ","","","0.0","0,1225","","","0.0","0,0313","-2.2","0,0122","","","    1595.3","3","    1595.3","0","","","","","    711.1"," ,0","        0"," ,0","     16.07","0","     23.56","0","      8.58","0","     11944","0"
"USC00045818","1963","38.5","-122.11667","156.1","MONTICELLO DAM, CA US","    554.2","","     554.2","0","        79","0","        44","0","        10","0","        0","","         0","0","         0","0","        17","0","         0","0","       184","0","        65","0","        30"," ","","","   -2.8","0,0120,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 102.9"," ,0,0131, ","   38.9","0,0904, ","","","0.0","0,1211","","","0.0","0,0315","-2.2","0,0121","","","    1495.2","2","    1495.2","0","","","","","    767.3"," ,0","        0"," ,0","     15.35","0","     22.15","0","      8.55","0","",""
"USC00045818","1964","38.5","-122.11667","156.1","MONTICELLO DAM, CA US","    643.0","","     643.0","0","        64","0","        36","0","         7","0","        0","","         0","0","         0","0","         7","0","         0","0","       201","0","        70","0","","","","","   -0.6","0,1214,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  66.0"," ,0,1223, ","   40.6","0,0725,+","    1755.6","0","-0.6","0,1117","","","0.0","0,0113","","","","","    1640.1","1","    1640.1","0","      9.81","0","     24.31","0","    614.1"," ,0","        0"," ,0","     15.77","0","     23.23","0","      8.30","0","     17503","0"
"USC00045818","1965","38.5","-122.11667","156.1","MONTICELLO DAM, CA US","    528.7","","     528.7","0","        70","0","        37","0","         8","0","        0","","         0","0","         0","0","        13","0","         0","0","       193","0","        59","0","","","","","   -2.2","0,1215, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  81.0"," ,0,1114, ","   38.9","0,0716, ","","","-2.2","0,1215","-2.2","0,1215","-0.6","0,0109","","","","","    1549.1","1","    1549.1","0","","","","","    671.4"," ,0","        0"," ,0","     15.37","0","     22.47","0","      8.26","0","",""
"USC00045818","1966","38.5","-122.11667","156.1","MONTICELLO DAM, CA US","    720.0","","     720.0","0","        52","0","        26","0","         8","0","        0","","         0","0","         0","0","        22","0","         0","0","       212","0","        81","0","","","","","   -2.8","0,1126,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  57.9"," ,0,1120, ","   42.2","0,0615, ","    1694.8","0","-2.8","0,1126","-2.8","0,1126","0.0","0,0317","-2.2","0,0304","","","    1484.4","4","    1484.4","0","     10.40","0","     24.66","0","    564.6"," ,0","        0"," ,0","     16.26","0","     23.76","0","      8.76","0","     13700","0"
