"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00044025","1950","36.8483","-121.4213","83.8","HOLLISTER 2, CA US","","","","","        48","0","        36","0","         2","0","","","","","","","","","","","","","","","","","","","","","","","  48.0"," ,0,1118, ","","","","","","","","","","","","","","","","","","","","","","","","","    388.0"," ,0","","","","","","","",""
"USC00044025","1980","36.8483","-121.4213","83.8","HOLLISTER 2, CA US","    153.0","","     153.0","0","        48","0","        31","0","         1","0","        0","","         0","0","         0","0","        23","0","         0","0","       188","0","        20","0","         1"," ","   -2.8","0,1212,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  25.4"," ,0,0111, ","   41.7","0,1002, ","-0.6","0,1112","-2.8","0,1208","","","","","","","0.0","0,0212","","","","","","","","","","","    307.1"," ,0","        0"," ,0","     14.49","0","     21.66","0","      7.33","0"
"USC00044025","1981","36.8483","-121.4213","83.8","HOLLISTER 2, CA US","    189.8","","     189.8","0","        57","0","        34","0","         5","0","        0","","         0","0","         0","0","         8","0","         0","0","       200","0","        24","0","","","   -1.7","0,0110, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  36.3"," ,0,0419, ","   38.9","0,0714, ","","","","","","","","","","","0.0","0,0201","","","","","","","    1472.7","7","    1472.7","0","    419.8"," ,0","        0"," ,0","     14.83","0","     22.18","0","      7.49","0"
"USC00044025","1982","36.8483","-121.4213","83.8","HOLLISTER 2, CA US","    113.7","","     113.7","0","        76","0","        52","0","         4","0","        0","","         0","0","         0","0","        32","0","         0","0","       169","0","        10","0","         1"," ","   -4.4","0,0107, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  41.4"," ,0,1119, ","   36.7","0,0806, ","0.0","0,1114","-2.8","0,1225","","","","","","","0.0","0,0407","-2.2","0,0205","-4.4","0,0107","","","    1710.1","1","    1710.1","0","    548.2"," ,0","        0"," ,0","     13.73","0","     20.71","0","      6.76","0"
"USC00044025","1983","36.8483","-121.4213","83.8","HOLLISTER 2, CA US","    239.8","","     239.8","0","        92","0","        62","0","         5","0","        0","","         0","0","         0","0","        18","0","         0","0","       183","0","        27","0","","","   -3.3","0,0101, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  43.9"," ,0,1111, ","   40.6","0,0912,+","0.0","0,1108","","","","","","","","","-1.1","0,0120","-2.2","0,0103","","","","","    1587.0","0","    1587.0","0","    667.4"," ,0","        0"," ,0","     15.04","0","     21.74","0","      8.35","0"
"USC00044025","1984","36.8483","-121.4213","83.8","HOLLISTER 2, CA US","    302.6","","     302.6","0","        41","0","        28","0","         0","0","","","         0","0","         0","0","        16","0","         0","0","       202","0","        40","0","","","   -3.9","0,1225, ","","","     0"," ,0,1231,+","  18.8"," ,0,1128, ","   39.4","0,0909, ","-0.6","0,1126","-2.8","0,1217","","","","","","","-0.6","0,0223","-2.2","0,0114","","","","","    1414.1","1","    1414.1","0","    233.6"," ,0","        0"," ,0","     14.80","0","     22.42","0","      7.19","0"
"USC00044025","1986","36.8483","-121.4213","83.8","HOLLISTER 2, CA US","","","","","        56","0","        30","0","         1","0","        0","","         0","0","         0","0","        10","0","","","","","","","","","   -1.7","0,0210,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  27.2"," ,0,0213, ","","","-0.6","0,1130","","","","","","","","","-1.7","0,0210","","","","","","","","","","","    343.8"," ,0","        0"," ,0","","","","","      8.09","0"
"USC00044025","1987","36.8483","-121.4213","83.8","HOLLISTER 2, CA US","","","","","        50","0","        33","0","         1","0","        0","","         0","0","         0","0","        27","0","","","","","","","","","   -5.0","0,1225,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  54.9"," ,0,0213, ","","","-1.1","0,1126","-2.8","0,1214","-5.0","0,1225","","","","","-1.1","0,0227","-2.8","0,0121","-5.0","0,0117","","","","","","","    295.9"," ,0","        0"," ,0","","","","","      7.90","0"
"USC00044025","1988","36.8483","-121.4213","83.8","HOLLISTER 2, CA US","","","","","        45","0","        24","0","         0","0","        0","","         0","0","         0","0","        21","0","","","","","","","","","   -4.4","0,1229, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  22.4"," ,0,1224, ","","","0.0","0,1120","-3.3","0,1226","-4.4","0,1229","","","","","0.0","0,0312","-2.2","0,0205","","","","","","","","","    207.3"," ,0","        0"," ,0","","","","","      7.00","0"
"USC00044025","1989","36.8483","-121.4213","83.8","HOLLISTER 2, CA US","    133.9","","     133.9","0","        38","0","        21","0","         0","0","        0","","         0","0","         0","0","        54","0","         0","0","       205","0","        22","0","","","   -6.7","0,0207,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  21.8"," ,0,1126, ","   41.1","0,0706, ","-0.6","0,1127","-2.8","0,1211","","","","","","","-0.6","0,0304","-2.2","0,0210","-6.7","0,0207","-6.7","0,0207","","","","","    174.4"," ,0","        0"," ,0","     14.18","0","     22.22","0","      6.13","0"
"USC00044025","1990","36.8483","-121.4213","83.8","HOLLISTER 2, CA US","    144.9","","     144.9","0","        35","0","        22","0","         0","0","        0","","         0","0","         0","0","        61","0","         0","0","       211","0","        22","0","","","  -10.0","0,1222, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  23.6"," ,0,0216, ","   37.8","0,0620, ","0.0","0,1102","-2.8","0,1127","-4.4","0,1202","-10.0","0,1222","-10.0","0,1222","-1.7","0,0313","-2.8","0,0219","-6.1","0,0215","","","    1671.0","0","    1671.0","0","    209.4"," ,0","        0"," ,0","     13.95","0","     21.94","0","      5.96","0"
"USC00044025","1991","36.8483","-121.4213","83.8","HOLLISTER 2, CA US","    175.8","","     175.8","0","        36","0","        26","0","         4","0","        0","","         0","0","         0","0","        33","0","         0","0","       189","0","        21","0","","","   -2.8","0,1216,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  36.8"," ,0,1229, ","   38.3","0,0701, ","-0.6","0,1129","-2.8","0,1216","","","","","","","-1.1","0,0201","-2.8","0,0130","","","","","    1802.8","8","    1802.8","0","    335.1"," ,0","        0"," ,0","     14.32","0","     21.81","0","      6.83","0"
