"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA00116C8P0","1987","50.6","-120.2","640.0","KAMLOOPS PRATT ROAD, BC CA","        76","C","        30","C","         0","C","","","        10","C","","","","","","","","","    80"," ,C,0131, ","  18.1"," ,C,0430, ","","","","","","","","","","","","","","","","","","","","","    232.9"," ,C","      539"," ,C","",""
"CA00116C8P0","1988","50.6","-120.2","640.0","KAMLOOPS PRATT ROAD, BC CA","       107","C","        35","C","         1","C","","","         6","C","","","","","","","","","    80"," ,C,0208, ","  25.8"," ,C,0918, ","","","","","","","","","","","","","","","","","","","","","    332.7"," ,C","      570"," ,C","",""
"CA00116C8P0","1990","50.6","-120.2","640.0","KAMLOOPS PRATT ROAD, BC CA","       110","C","        51","C","         0","C","       81","","        20","C","","","","","","","   260"," ,C,1230, ","   120"," ,C,1124, ","  22.4"," ,C,0723, ","","","","","","","","","","","","","","","","","","","","","    396.5"," ,C","     1110"," ,C","",""
"CA00116C8P0","1991","50.6","-120.2","640.0","KAMLOOPS PRATT ROAD, BC CA","        90","C","        39","C","         1","C","       62","","         9","C","","","","","","","   440"," ,C,0110, ","    90"," ,C,0301, ","  25.6"," ,C,1021, ","","","","","","","","","","","","","","","","","","","","","    309.8"," ,C","      670"," ,C","",""
"CA00116C8P0","1992","50.6","-120.2","640.0","KAMLOOPS PRATT ROAD, BC CA","       118","C","        51","C","         2","C","       53","","        19","C","","","","","","","   480"," ,C,1222, ","   120"," ,C,1220,+","  32.2"," ,C,1106, ","","","","","","","","","","","","","","","","","","","","","    451.4"," ,C","     1260"," ,C","",""
"CA00116C8P0","1993","50.6","-120.2","640.0","KAMLOOPS PRATT ROAD, BC CA","","","","","","","       91","","         6","C","","","","","","","   520"," ,C,0105,+","   120"," ,C,0103, ","","","","","","","","","","","","","","","","","","","","","","","","","      590"," ,C","",""
"CA00116C8P0","1994","50.6","-120.2","640.0","KAMLOOPS PRATT ROAD, BC CA","        93","C","        47","C","         0","C","","","        13","C","","","","","","","","","   120"," ,C,1103, ","  16.0"," ,C,1014, ","","","","","","","","","","","","","","","","","","","","","    378.6"," ,C","     1026"," ,C","",""
"CA00116C8P0","1995","50.6","-120.2","640.0","KAMLOOPS PRATT ROAD, BC CA","","","","","","","       42","","        10","C","","","","","","","   280"," ,C,1231, ","   150"," ,C,1107, ","","","","","","","","","","","","","","","","","","","","","","","    496.0"," ,C","      938"," ,C","",""
"CA00116C8P0","1996","50.6","-120.2","640.0","KAMLOOPS PRATT ROAD, BC CA","       135","C","        61","C","         1","C","      116","","        21","C","","","","","","","   500"," ,C,1128, ","   260"," ,C,1127, ","  26.0"," ,C,1127, ","","","","","","","","","","","","","","","","","","","","","    532.9"," ,C","     1689"," ,C","",""
"CA00116C8P0","1997","50.6","-120.2","640.0","KAMLOOPS PRATT ROAD, BC CA","       110","C","        63","C","         0","C","       79","","        12","C","","","","","","","   490"," ,C,0101, ","   100"," ,C,0123, ","  17.2"," ,C,0803, ","","","","","","","","","","","","","","","","","","","","","    485.2"," ,C","      763"," ,C","",""
"CA00116C8P0","1999","50.6","-120.2","640.0","KAMLOOPS PRATT ROAD, BC CA","        95","C","        47","C","         0","C","","","        12","C","","","","","","","","","   140"," ,C,0302, ","  18.4"," ,C,0624, ","","","","","","","","","","","","","","","","","","","","","    369.6"," ,C","      932"," ,C","",""
"CA00116C8P0","2001","50.6","-120.2","640.0","KAMLOOPS PRATT ROAD, BC CA","","","","","","","      106","","        13","C","","","","","","","   360"," ,C,1214, ","   180"," ,C,1212, ","","","","","","","","","","","","","","","","","","","","","","","","","     1110"," ,C","",""
"CA00116C8P0","2002","50.6","-120.2","640.0","KAMLOOPS PRATT ROAD, BC CA","        82","C","        31","C","         0","C","","","         9","C","","","","","","","","","    90"," ,C,0118, ","  12.6"," ,C,0521, ","","","","","","","","","","","","","","","","","","","","","    255.7"," ,C","      612"," ,C","",""
"CA00116C8P0","2003","50.6","-120.2","640.0","KAMLOOPS PRATT ROAD, BC CA","        81","C","        35","C","         0","C","","","         9","C","","","","","","","","","   250"," ,C,1118, ","  25.0"," ,C,1118, ","","","","","","","","","","","","","","","","","","","","","    279.1"," ,C","      844"," ,C","",""
"CA00116C8P0","2004","50.6","-120.2","640.0","KAMLOOPS PRATT ROAD, BC CA","","","","","","","","","        18","C","","","","","","","","","   210"," ,C,0129, ","","","","","","","","","","","","","","","","","","","","","","","","","     1270"," ,C","",""
"CA00116C8P0","2005","50.6","-120.2","640.0","KAMLOOPS PRATT ROAD, BC CA","       111","C","        51","C","         0","C","       61","","        12","C","","","","","","","   300"," ,C,0108, ","   145"," ,C,1125, ","  19.0"," ,C,0617, ","","","","","","","","","","","","","","","","","","","","","    418.0"," ,C","      946"," ,C","",""
"CA00116C8P0","2006","50.6","-120.2","640.0","KAMLOOPS PRATT ROAD, BC CA","        92","C","        39","C","         0","C","","","        15","C","","","","","","","","","   100"," ,C,1214, ","  25.2"," ,C,0913, ","","","","","","","","","","","","","","","","","","","","","    348.0"," ,C","     1066"," ,C","",""
"CA00116C8P0","2016","50.6","-120.2","640.0","KAMLOOPS PRATT ROAD, BC CA","       141","C","        57","C","         0","C","       61","","        12","C","","","","","","","   230"," ,C,0105, ","   136"," ,C,1223, ","  25.0"," ,C,1008, ","","","","","","","","","","","","","","","","","","","","","    462.1"," ,C","      714"," ,C","",""
"CA00116C8P0","2021","50.6","-120.2","640.0","KAMLOOPS PRATT ROAD, BC CA","        98","C","        44","C","         1","C","","","        16","C","","","","","","","","","   136"," ,C,1217, ","  32.4"," ,C,0816, ","","","","","","","","","","","","","","","","","","","","","    344.8"," ,C","     1120"," ,C","",""
