"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA00701LP0N","2002","46.1833","-72.9167","16.0","LAC SAINT PIERRE, QC CA","","","","","","","","","        78","C","        92","C","         1","C","","","   32.2","C,0703, ","","","","","","","","","","","","","","","","","","","","","","","","","","","     10.56","C","","","","","",""
"CA00701LP0N","2007","46.1833","-72.9167","16.0","LAC SAINT PIERRE, QC CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4314.6","6","    4314.6","C","","","","","","","","","",""
"CA00701LP0N","2010","46.1833","-72.9167","16.0","LAC SAINT PIERRE, QC CA","    295.3","","     295.3","C","         3","C","       115","C","        64","C","        98","C","         2","C","  -18.3","C,0130, ","   32.7","C,0525, ","-0.5","C,1103","-2.5","C,1119","-5.2","C,1121","-7.3","C,1125","-11.5","C,1209","-1.9","C,0328","-10.2","C,0327","-10.2","C,0327","-10.2","C,0327","-10.2","C,0327","","","","","      8.47","C","     11.95","C","      4.99","C","","","",""
"CA00701LP0N","2011","46.1833","-72.9167","16.0","LAC SAINT PIERRE, QC CA","    283.4","","     283.4","C","        17","C","       125","C","        67","C","       100","C","         1","C","  -26.3","C,0124, ","   32.3","C,0721, ","-0.4","C,1118","-5.9","C,1121","-5.9","C,1121","-10.3","C,1217","-10.3","C,1217","-0.6","C,0420","-4.9","C,0415","-4.9","C,0415","-10.4","C,0327","-10.4","C,0327","    4422.7","7","    4422.7","C","      7.55","C","     11.14","C","      3.97","C","","","",""
"CA00701LP0N","2012","46.1833","-72.9167","16.0","LAC SAINT PIERRE, QC CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    3835.6","6","    3835.6","C","","","","","","","","","",""
"CA00701LP0N","2013","46.1833","-72.9167","16.0","LAC SAINT PIERRE, QC CA","    216.0","","     216.0","C","        28","C","       135","C","        67","C","        86","C","         0","C","  -27.7","C,0123, ","   31.7","C,0715, ","-1.2","C,1029","-2.3","C,1104","-5.9","C,1113","-10.8","C,1124","-10.8","C,1124","-2.6","C,0421","-2.6","C,0421","-4.9","C,0411","-7.2","C,0406","-12.9","C,0318","","","","","      6.79","C","     10.56","C","      3.02","C","","","",""
"CA00701LP0N","2015","46.1833","-72.9167","16.0","LAC SAINT PIERRE, QC CA","    245.4","","     245.4","C","        46","C","       120","C","        84","C","       109","C","         0","C","  -30.3","C,0224, ","   30.0","C,0907, ","-0.5","C,1018","-5.1","C,1123","-5.1","C,1123","-8.0","C,1129","-9.7","C,1130","-4.2","C,0408","-4.2","C,0408","-4.4","C,0407","-9.5","C,0406","-9.5","C,0406","","","","","      6.38","C","     10.49","C","      2.26","C","","","",""
"CA00701LP0N","2016","46.1833","-72.9167","16.0","LAC SAINT PIERRE, QC CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4083.1","1","    4083.1","C","","","","","","","","","",""
"CA00701LP0N","2017","46.1833","-72.9167","16.0","LAC SAINT PIERRE, QC CA","    203.0","","     203.0","C","        14","C","       127","C","        70","C","        97","C","         0","C","  -23.7","C,1229,+","   31.7","C,0611, ","-7.1","C,1110","-7.1","C,1110","-7.1","C,1110","-7.1","C,1110","-8.9","C,1127","-1.7","C,0424","-7.1","C,0326","-7.1","C,0326","-7.1","C,0326","-10.9","C,0323","","","","","      7.17","C","     10.70","C","      3.65","C","        22","C","     100.0","C"
"CA00701LP0N","2018","46.1833","-72.9167","16.0","LAC SAINT PIERRE, QC CA","    332.6","","     332.6","C","        18","C","       157","C","        77","C","        99","C","         1","C","  -26.9","C,0115, ","   32.3","C,0702, ","0.0","C,1022","-2.2","C,1027","-4.6","C,1112","-9.2","C,1113","-9.2","C,1113","0.0","C,0519","-7.6","C,0415","-7.6","C,0415","-7.6","C,0415","-9.9","C,0405","    4321.7","7","    4321.7","C","      6.56","C","     10.44","C","      2.68","C","","","",""
