"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00187070","1925","39.433333","-76.8","201.2","PLEASANT HILL, MD US","","","","","","","         1"," ","","","",""
"USC00187070","1926","39.433333","-76.8","201.2","PLEASANT HILL, MD US","","","","","","","         7"," ","","","",""
"USC00187070","1927","39.433333","-76.8","201.2","PLEASANT HILL, MD US","","","","","","","         6"," ","","","",""
"USC00187070","1928","39.433333","-76.8","201.2","PLEASANT HILL, MD US","","","","","","","         3"," ","","","",""
"USC00187070","1929","39.433333","-76.8","201.2","PLEASANT HILL, MD US","","","","","","","         2"," ","","","",""
"USC00187070","1930","39.433333","-76.8","201.2","PLEASANT HILL, MD US","        80","6","        56","6","         5","6","","","  53.3"," ,6,0406,+","    626.8"," ,6"
"USC00187070","1932","39.433333","-76.8","201.2","PLEASANT HILL, MD US","        92","6","        76","6","        16","6","","","  55.9"," ,6,1017,+","   1195.6"," ,6"
"USC00187070","1933","39.433333","-76.8","201.2","PLEASANT HILL, MD US","       118","6","        92","6","        14","6","",""," 125.7"," ,6,0823, ","   1369.7"," ,6"
"USC00187070","1934","39.433333","-76.8","201.2","PLEASANT HILL, MD US","       106","6","        89","6","        19","6","","","  50.8"," ,6,0916,+","   1249.0"," ,6"
"USC00187070","1936","39.433333","-76.8","201.2","PLEASANT HILL, MD US","        92","6","        85","6","         7","6","","","  50.8"," ,6,0103, ","   1013.4"," ,6"
"USC00187070","1940","39.433333","-76.8","201.2","PLEASANT HILL, MD US","       118","6","        78","6","         8","6","","","  63.5"," ,6,0408, ","   1132.7"," ,6"
"USC00187070","1941","39.433333","-76.8","201.2","PLEASANT HILL, MD US","       102","6","        58","6","         4","6","","","  45.7"," ,6,1213, ","    724.2"," ,6"
"USC00187070","1942","39.433333","-76.8","201.2","PLEASANT HILL, MD US","       116","6","        78","6","        16","6","","","  71.1"," ,6,0329, ","   1287.3"," ,6"
"USC00187070","1943","39.433333","-76.8","201.2","PLEASANT HILL, MD US","       119","6","        61","6","         8","6","","","  71.1"," ,6,1109, ","    851.7"," ,6"
