"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES"
"USW00053952","2011","31.48472","-97.31639","180.4","WACO MCGREGOR EXECUTIVE AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        10"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00053952","2012","31.48472","-97.31639","180.4","WACO MCGREGOR EXECUTIVE AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        30"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00053952","2013","31.48472","-97.31639","180.4","WACO MCGREGOR EXECUTIVE AIRPORT, TX US","       4.1","W","   1585.1","","    1585.1","W","        58","W","        37","W","         8","W","        0","","         0","W","         0","W","        48","W","         1","W","       260","W","       126","W","","","","","        26"," ","   -6.0","W,1210,+","     0"," ,W,1231,+","     0"," ,W,1231,+"," 103.9"," ,W,0109, ","   41.1","W,0830,+","-2.1","W,1113","-2.7","W,1129","-6.0","W,1207","","","","","-2.7","W,0326","-2.7","W,0326","-4.9","W,0107","","","","","","","","","    732.8"," ,W","        0"," ,W","     19.11","W","     25.85","W","     12.37","W","       180","W","      17.9","W"
"USW00053952","2014","31.48472","-97.31639","180.4","WACO MCGREGOR EXECUTIVE AIRPORT, TX US","       4.4","W","   1513.6","","    1513.6","W","        53","W","        30","W","        10","W","        0","","         0","W","         0","W","        45","W","         2","W","       266","W","       123","W","","","","","        25"," ","   -8.8","W,0106, ","     0"," ,W,1231,+","     0"," ,W,1231,+","  82.6"," ,W,0512, ","   41.1","W,0808, ","0.0","W,1112","-3.8","W,1114","-4.9","W,1117","","","","","-1.0","W,0415","-2.7","W,0304","-7.7","W,0303","-7.7","W,0303","","","    1346.4","4","    1346.4","W","    631.5"," ,W","        0"," ,W","     19.00","W","     25.62","W","     12.39","W","       180","W","      13.4","W"
"USW00053952","2015","31.48472","-97.31639","180.4","WACO MCGREGOR EXECUTIVE AIRPORT, TX US","       3.9","W","","","","","        83","W","        56","W","        11","W","        0","","","","","","","","","","","","","","        32"," ","         3"," ","        42"," ","","","     0"," ,W,1231,+","","","  88.6"," ,W,1024, ","","","","","","","","","","","","","","","","","","","","","","","    1219.9","9","    1219.9","W","    988.7"," ,W","","","","","","","","","       350","W","      13.4","W"
"USW00053952","2016","31.48472","-97.31639","180.4","WACO MCGREGOR EXECUTIVE AIRPORT, TX US","","","","","","","        88","W","        52","W","         9","W","","","","","","","","","","","","","","","       119"," ","        13"," ","        53"," ","","","","","","","  52.3"," ,W,0817, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    851.8"," ,W","","","","","","","","","","","",""
"USW00053952","2017","31.48472","-97.31639","180.4","WACO MCGREGOR EXECUTIVE AIRPORT, TX US","       4.0","W","   1660.9","","    1660.9","W","        71","W","        49","W","         8","W","        0","","         0","W","         0","W","        20","W","         1","W","       294","W","       116","W","       100"," ","         8"," ","        37"," ","   -9.9","W,0107, ","     0"," ,W,1231,+","     0"," ,W,1231,+","  59.2"," ,W,0411, ","   40.6","W,0728, ","-1.0","W,1123","-5.5","W,1208","-5.5","W,1208","","","","","-1.0","W,0303","-7.7","W,0108","-7.7","W,0108","-7.7","W,0108","-9.9","W,0107","     747.9","9","     747.9","W","    739.4"," ,W","        0"," ,W","     20.54","W","     26.93","W","     14.14","W","       160","W","      13.9","W"
"USW00053952","2018","31.48472","-97.31639","180.4","WACO MCGREGOR EXECUTIVE AIRPORT, TX US","       4.1","W","   1749.4","","    1749.4","W","        78","W","        48","W","        15","W","        0","","","","         0","W","        36","W","         2","W","       240","W","       126","W","       106"," ","        14"," ","        45"," ","  -13.8","W,0117, ","     0"," ,W,1231,+","","","  59.2"," ,W,1015, ","   44.4","W,0723, ","-1.6","W,1113","-3.8","W,1114","","","","","","","-0.5","W,0314","-3.8","W,0212","-4.9","W,0208","-12.7","W,0118","-12.7","W,0118","    1127.4","4","    1127.4","W","    875.5"," ,W","","","     19.64","W","     25.96","W","     13.32","W","       170","W","      14.3","W"
"USW00053952","2019","31.48472","-97.31639","180.4","WACO MCGREGOR EXECUTIVE AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","        92"," ","        18"," ","        37"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00053952","2020","31.48472","-97.31639","180.4","WACO MCGREGOR EXECUTIVE AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","        98"," ","        12"," ","        44"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
