"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00513423","1905","19.0833","-155.6","563.9","KAU, HI US","    472.9","","     472.9","6","       217","6","       121","6","         7","6","         0","6","         0","6","         0","6","       349","6","         0","6","         5"," ","    7.8","6,1224,+","  83.8"," ,6,1122, ","   27.8","6,1010,+","","","","","   1225.7"," ,6","     19.37","6","     24.26","6","     14.48","6"
"USC00513423","1906","19.0833","-155.6","563.9","KAU, HI US","    635.0","","     635.0","6","       211","6","       126","6","         8","6","         0","6","         0","6","         0","6","       359","6","         0","6","         2"," ","    7.8","6,0329, ","  88.9"," ,6,0115, ","   28.3","6,0718, ","      55.2","2","      55.2","6","   1541.3"," ,6","     19.93","6","     25.09","6","     14.77","6"
