"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA001068159","1975","50.8","-126.0","12.0","THOMPSON SOUND, BC CA","      1.7","","       1.7","C","       207","C","       162","C","        34","C","        19","C","         0","C","        99","C","        20","C","        28","C","         0","C","   -6.7","C,0111, ","   333"," ,C,1212, "," 110.0"," ,C,1112, ","   27.2","C,0707, ","0.0","C,1105","-2.2","C,1118","-4.4","C,1129","0.0","C,0429","-3.3","C,0306","-5.6","C,0211","-6.7","C,0111","","","","","   2771.2"," ,C","     1907"," ,C","      7.56","C","     10.68","C","      4.45","C"
"CA001068159","1976","50.8","-126.0","12.0","THOMPSON SOUND, BC CA","","","","","","","","","","","         4","C","","","","","","","","","","","","","    53"," ,C,0225, ","","","","","","","","","","","","","","","","","","","    3911.6","6","    3911.6","C","","","      210"," ,C","","","","","",""
