"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00083083","1987","-36.7396","146.4671","365.0","EDI UPPER, AS","       114","a","        72","a","         6","a","         0","a","         4","a","         0","a","       150","a","        18","a","   -1.1","a,0901,+","  58.2"," ,a,0221, ","   39.2","a,0202, ","-0.5","a,0528","-1.1","a,0901","    940.3"," ,a","     13.91","a","     20.01","a","      7.80","a"
"ASN00083083","1988","-36.7396","146.4671","365.0","EDI UPPER, AS","       118","a","        81","a","        14","a","","","","","","","","","","","","","  63.2"," ,a,0607, ","","","","","","","   1256.9"," ,a","","","","","",""
"ASN00083083","1989","-36.7396","146.4671","365.0","EDI UPPER, AS","       122","a","        89","a","         6","a","","","","","","","","","","","",""," 106.4"," ,a,0321, ","","","","","","","   1146.6"," ,a","","","","","",""
"ASN00083083","1990","-36.7396","146.4671","365.0","EDI UPPER, AS","       124","a","        83","a","        10","a","","","","","","","","","","","","","  67.4"," ,a,0517, ","","","","","","","   1129.2"," ,a","","","","","",""
"ASN00083083","1991","-36.7396","146.4671","365.0","EDI UPPER, AS","       119","a","        74","a","         5","a","","","","","","","","","","","","","  70.6"," ,a,0124, ","","","","","","","    958.8"," ,a","","","","","",""
"ASN00083083","1992","-36.7396","146.4671","365.0","EDI UPPER, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","   1495.8"," ,a","","","","","",""
"ASN00083083","1994","-36.7396","146.4671","365.0","EDI UPPER, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","    700.2"," ,a","","","","","",""
"ASN00083083","1996","-36.7396","146.4671","365.0","EDI UPPER, AS","       147","a","        91","a","        13","a","","","","","","","","","","","","","  60.2"," ,a,0316, ","","","","","","","   1376.0"," ,a","","","","","",""
"ASN00083083","1997","-36.7396","146.4671","365.0","EDI UPPER, AS","        94","a","        46","a","         4","a","","","","","","","","","","","","","  46.6"," ,a,0908, ","","","","","","","    687.2"," ,a","","","","","",""
"ASN00083083","2001","-36.7396","146.4671","365.0","EDI UPPER, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","    900.8"," ,a","","","","","",""
"ASN00083083","2003","-36.7396","146.4671","365.0","EDI UPPER, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","   1140.2"," ,a","","","","","",""
"ASN00083083","2005","-36.7396","146.4671","365.0","EDI UPPER, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","   1178.1"," ,a","","","","","",""
"ASN00083083","2007","-36.7396","146.4671","365.0","EDI UPPER, AS","       103","a","        58","a","         6","a","","","","","","","","","","","","","  47.4"," ,a,1104, ","","","","","","","    907.0"," ,a","","","","","",""
"ASN00083083","2008","-36.7396","146.4671","365.0","EDI UPPER, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","    791.8"," ,a","","","","","",""
"ASN00083083","2009","-36.7396","146.4671","365.0","EDI UPPER, AS","       106","a","        71","a","         7","a","","","","","","","","","","","","","  41.2"," ,a,1122, ","","","","","","","    823.5"," ,a","","","","","",""
"ASN00083083","2010","-36.7396","146.4671","365.0","EDI UPPER, AS","       127","a","        80","a","        21","a","","","","","","","","","","","","","  74.0"," ,a,1209, ","","","","","","","   1606.2"," ,a","","","","","",""
"ASN00083083","2012","-36.7396","146.4671","365.0","EDI UPPER, AS","       120","a","        62","a","        10","a","","","","","","","","","","","","","  93.2"," ,a,0301, ","","","","","","","    991.8"," ,a","","","","","",""
"ASN00083083","2014","-36.7396","146.4671","365.0","EDI UPPER, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","    925.4"," ,a","","","","","",""
"ASN00083083","2015","-36.7396","146.4671","365.0","EDI UPPER, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","    809.2"," ,a","","","","","",""
"ASN00083083","2017","-36.7396","146.4671","365.0","EDI UPPER, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","    879.3"," ,a","","","","","",""
"ASN00083083","2018","-36.7396","146.4671","365.0","EDI UPPER, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","    779.8"," ,a","","","","","",""
"ASN00083083","2019","-36.7396","146.4671","365.0","EDI UPPER, AS","       110","a","        56","a","         6","a","","","","","","","","","","","","","  49.0"," ,a,1202, ","","","","","","","    709.1"," ,a","","","","","",""
"ASN00083083","2023","-36.7396","146.4671","365.0","EDI UPPER, AS","       123","a","        72","a","        13","a","","","","","","","","","","","","","  96.2"," ,a,1004, ","","","","","","","   1121.4"," ,a","","","","","",""
