"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RPM00098328","1980","16.375","120.62","1295.7","BAGUIO, RP","       128","S","        97","S","        24","S","","","","","","","","","","","",""," 405.9"," ,S,1106,+","","","   3288.9"," ,S","","","","","",""
"RPM00098328","1990","16.375","120.62","1295.7","BAGUIO, RP","       144","S","       108","S","        34","S","","","","","","","","","","","",""," 273.1"," ,S,0827, ","","","   3561.6"," ,S","","","","","",""
"RPM00098328","1991","16.375","120.62","1295.7","BAGUIO, RP","       139","S","       108","S","        31","S","","","","","","","","","","","",""," 272.0"," ,S,1027, ","","","   2855.7"," ,S","","","","","",""
"RPM00098328","1992","16.375","120.62","1295.7","BAGUIO, RP","       133","S","       100","S","        33","S","","","","","","","","","","","",""," 396.0"," ,S,0905, ","","","   4044.3"," ,S","","","","","",""
"RPM00098328","1993","16.375","120.62","1295.7","BAGUIO, RP","       129","S","        94","S","        23","S","","","","","","","","","","","",""," 121.9"," ,S,0909, ","","","   2099.2"," ,S","","","","","",""
"RPM00098328","1994","16.375","120.62","1295.7","BAGUIO, RP","       147","S","       106","S","        24","S","","","","","","","","","","","",""," 456.9"," ,S,0819, ","","","   2894.5"," ,S","","","","","",""
"RPM00098328","1995","16.375","120.62","1295.7","BAGUIO, RP","       134","S","        99","S","        22","S","","","","","","","","","","","",""," 500.1"," ,S,1103, ","","","   2481.7"," ,S","","","","","",""
"RPM00098328","1998","16.375","120.62","1295.7","BAGUIO, RP","       143","S","       113","S","        31","S","","","","","","","","","","","",""," 230.9"," ,S,1024, ","","","   2587.2"," ,S","","","","","",""
"RPM00098328","2004","16.375","120.62","1295.7","BAGUIO, RP","       146","S","       106","S","        35","S","","","","","","","","","","","",""," 444.2"," ,S,0630, ","","","   4156.3"," ,S","","","","","",""
"RPM00098328","2012","16.375","120.62","1295.7","BAGUIO, RP","","","","","","","         0","S","         0","S","","","","","","","   10.4","S,0204, ","","","","","","","","","","","     14.67","S"
"RPM00098328","2013","16.375","120.62","1295.7","BAGUIO, RP","","","","","","","         0","S","         0","S","","","","","","","    9.5","S,0118, ","","","","","","","","","","","     15.17","S"
"RPM00098328","2015","16.375","120.62","1295.7","BAGUIO, RP","","","","","","","","","","","         0","S","       300","S","         0","S","","","","","   28.2","S,0822, ","","","","","     23.26","S","",""
"RPM00098328","2017","16.375","120.62","1295.7","BAGUIO, RP","","","","","","","","","","","         0","S","       306","S","         0","S","","","","","   28.4","S,0614, ","","","","","     23.75","S","",""
"RPM00098328","2018","16.375","120.62","1295.7","BAGUIO, RP","","","","","","","","","","","         0","S","       301","S","         0","S","","","","","   27.6","S,1203, ","","","","","     23.47","S","",""
"RPM00098328","2019","16.375","120.62","1295.7","BAGUIO, RP","","","","","","","         0","S","         0","S","         0","S","       302","S","         0","S","    9.0","S,0130, ","","","   28.6","S,0410, ","","","     19.43","S","     23.58","S","     15.27","S"
"RPM00098328","2020","16.375","120.62","1295.7","BAGUIO, RP","","","","","","","","","","","         0","S","       318","S","         0","S","","","","","   27.8","S,0618, ","","","","","     24.21","S","",""
"RPM00098328","2023","16.375","120.62","1295.7","BAGUIO, RP","","","","","","","","","","","         0","S","       303","S","         0","S","","","","","   28.4","S,0322, ","","","","","     23.78","S","",""
