"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00024598","1944","64.167","148.033","845.0","DARPIR, RS","       109","I","        35","I","         0","I","","","","","","","  21.0"," ,I,0823, ","","","","","","","","","","","","","","","","","","","","","    313.1"," ,I","",""
"RSM00024598","1945","64.167","148.033","845.0","DARPIR, RS","       121","I","        26","I","         0","I","","","","","","","  15.4"," ,I,0828, ","","","","","","","","","","","","","","","","","","","","","    235.2"," ,I","",""
"RSM00024598","1946","64.167","148.033","845.0","DARPIR, RS","       113","I","        27","I","         0","I","","","","","","","  15.4"," ,I,0616, ","","","","","","","","","","","","","","","","","","","","","    241.2"," ,I","",""
"RSM00024598","1947","64.167","148.033","845.0","DARPIR, RS","       107","I","        28","I","         0","I","","","","","","","  16.1"," ,I,0818, ","","","","","","","","","","","","","","","","","","","","","    247.1"," ,I","",""
"RSM00024598","1948","64.167","148.033","845.0","DARPIR, RS","        90","I","        17","I","         0","I","","","","","","","  17.4"," ,I,0806, ","","","","","","","","","","","","","","","","","","","","","    204.3"," ,I","",""
"RSM00024598","1949","64.167","148.033","845.0","DARPIR, RS","       100","I","        14","I","         0","I","","","","","","","  21.5"," ,I,0718, ","","","","","","","","","","","","","","","","","","","","","    196.3"," ,I","",""
"RSM00024598","1950","64.167","148.033","845.0","DARPIR, RS","       124","I","        25","I","         0","I","","","","","","","  22.5"," ,I,0805, ","","","","","","","","","","","","","","","","","","","","","    266.8"," ,I","",""
"RSM00024598","1951","64.167","148.033","845.0","DARPIR, RS","        92","I","        22","I","         0","I","","","","","","","  11.2"," ,I,0726, ","","","","","","","","","","","","","","","","","","","","","    190.6"," ,I","",""
"RSM00024598","1954","64.167","148.033","845.0","DARPIR, RS","       107","I","        30","I","         2","I","","","","","","","  37.6"," ,I,0830, ","","","","","","","","","","","","","","","","","","","","","    352.2"," ,I","",""
"RSM00024598","1955","64.167","148.033","845.0","DARPIR, RS","       115","I","        30","I","         0","I","","","","","","","  23.9"," ,I,0706, ","","","","","","","","","","","","","","","","","","","","","    280.4"," ,I","",""
