"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00041233","1971","40.76667","-123.9","128.0","BUTLER VALLEY RANCH, CA US","     55.3","","      55.3","0","       129","0","        95","0","        21","0","        0","","         0","0","         0","0","        68","0","         0","0","       114","0","         7","0","   -6.7","0,0103, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  72.6"," ,0,1110, ","   39.4","0,0916, ","     816.1","0","-1.1","0,1017","-2.8","0,1028","-6.1","0,1029","","","","","0.0","0,0521","-3.9","0,0302","-4.4","0,0107","-6.7","0,0103","    2523.9","9","    2523.9","0","","","     18.17","0","   1607.2"," ,0","        0"," ,0","     11.28","0","     17.69","0","      4.87","0","      7779","0"
"USC00041233","1972","40.76667","-123.9","128.0","BUTLER VALLEY RANCH, CA US","     54.6","","      54.6","0","       124","0","        90","0","        14","0","        0","","         0","0","         0","0","        62","0","         1","0","       139","0","         6","0","  -12.8","0,1209, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 102.1"," ,0,0302, ","   37.2","0,0807, ","","","0.0","0,1025","-6.1","0,1205","-6.1","0,1205","-10.0","0,1208","-10.0","0,1208","-0.6","0,0430","-2.8","0,0418","-5.6","0,0203","-7.8","0,0202","    2421.9","9","    2421.9","0","","","     19.37","0","   1447.2"," ,0","        0"," ,0","     11.82","0","     18.47","0","      5.17","0","",""
"USC00041233","1973","40.76667","-123.9","128.0","BUTLER VALLEY RANCH, CA US","     39.8","","      39.8","0","       142","0","       115","0","        19","0","        0","","         0","0","         0","0","        31","0","         0","0","       145","0","         7","0","   -5.0","0,0105, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  60.7"," ,0,1201, ","   39.4","0,0910, ","","","-0.6","0,1119","","","","","","","","","-0.6","0,0404","-2.2","0,0222","-5.0","0,0105","","","    2400.3","3","    2400.3","0","      8.26","0","     19.10","0","   1718.6"," ,0","        0"," ,0","     12.09","0","     18.81","0","      5.38","0","      7186","0"
"USC00041233","1974","40.76667","-123.9","128.0","BUTLER VALLEY RANCH, CA US","     69.8","","      69.8","0","       110","0","        82","0","        16","0","        0","","         0","0","         0","0","        63","0","         0","0","       150","0","        10","0","   -6.7","0,0108,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  79.8"," ,0,0116, ","   37.8","0,0726, ","","","-1.7","0,1005","-2.8","0,1021","-5.6","0,1224","","","","","0.0","0,0513","-2.8","0,0310","-5.0","0,0111","-6.7","0,0108","    2435.7","7","    2435.7","0","","","","","   1362.8"," ,0","        0"," ,0","     11.83","0","     19.10","0","      4.55","0","",""
