"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00193471","1927","41.61667","-70.53333","21.3","HATCHVILLE, MA US","       121","6","        85","6","        12","6","","","","","","","  90.4"," ,6,0626, ","   1215.2"," ,6","",""
"USC00193471","1928","41.61667","-70.53333","21.3","HATCHVILLE, MA US","","","","","","","","","         1"," ","","","","","","","",""
"USC00193471","1929","41.61667","-70.53333","21.3","HATCHVILLE, MA US","        97","6","        84","6","        10","6","","","","","",""," 123.2"," ,6,0823, ","   1238.9"," ,6","",""
"USC00193471","1930","41.61667","-70.53333","21.3","HATCHVILLE, MA US","       105","6","        66","6","         9","6","","","","","","","  56.6"," ,6,1117, ","    892.0"," ,6","",""
"USC00193471","1931","41.61667","-70.53333","21.3","HATCHVILLE, MA US","       117","6","        77","6","        20","6","","","","","",""," 110.5"," ,6,0609, ","   1417.7"," ,6","",""
"USC00193471","1932","41.61667","-70.53333","21.3","HATCHVILLE, MA US","       118","6","        87","6","         9","6","","","","","","","  75.2"," ,6,0616, ","   1208.0"," ,6","",""
"USC00193471","1933","41.61667","-70.53333","21.3","HATCHVILLE, MA US","       142","6","        97","6","        18","6","","","","","",""," 119.9"," ,6,0917, ","   1630.4"," ,6","",""
"USC00193471","1934","41.61667","-70.53333","21.3","HATCHVILLE, MA US","       126","6","        82","6","         7","6","","","","","","","  57.2"," ,6,1219, ","    949.3"," ,6","",""
"USC00193471","1935","41.61667","-70.53333","21.3","HATCHVILLE, MA US","       110","6","        78","6","        12","6","","","","","","","  92.2"," ,6,0904, ","   1129.8"," ,6","",""
"USC00193471","1936","41.61667","-70.53333","21.3","HATCHVILLE, MA US","       111","6","        80","6","        17","6","","","","","",""," 165.1"," ,6,0918, ","   1387.8"," ,6","",""
"USC00193471","1937","41.61667","-70.53333","21.3","HATCHVILLE, MA US","       115","6","        78","6","        13","6","","","","","","","  69.1"," ,6,0822, ","   1196.9"," ,6","",""
"USC00193471","1938","41.61667","-70.53333","21.3","HATCHVILLE, MA US","       136","6","        99","6","        11","6","","","","","","","  96.3"," ,6,0816, ","   1344.1"," ,6","",""
