"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NLE00113688","2008","54.1167","4.0119","43.0","F16 A, NL","      8.5","","       8.5","E","         0","E","         1","E","         0","E","         5","E","         0","E","    0.0","E,0325, ","   22.0","E,0801,+","","","0.0","E,0325","","","","","","","     10.78","E","     11.99","E","      9.57","E"
"NLE00113688","2010","54.1167","4.0119","43.0","F16 A, NL","      1.0","","       1.0","E","         0","E","        20","E","         0","E","         1","E","         0","E","   -1.9","E,0215, ","   21.1","E,0720, ","-1.2","E,1201","-0.4","E,0216","","","","","","","      9.32","E","     10.53","E","      8.11","E"
"NLE00113688","2011","54.1167","4.0119","43.0","F16 A, NL","      0.3","","       0.3","E","         0","E","         3","E","         0","E","         0","E","         0","E","   -1.5","E,0222, ","   21.0","E,0627, ","","","-1.5","E,0222","","","    3006.2","2","    3006.2","E","     10.58","E","     11.77","E","      9.39","E"
"NLE00113688","2012","54.1167","4.0119","43.0","F16 A, NL","","","","","         0","E","        10","E","","","","","","","   -3.4","E,0207, ","","","","","-3.0","E,0211","-3.0","E,0211","","","","","","","","","      8.93","E"
"NLE00113688","2013","54.1167","4.0119","43.0","F16 A, NL","      7.3","","       7.3","E","         0","E","        19","E","         1","E","         2","E","         0","E","   -4.0","E,0311, ","   22.3","E,0802, ","","","0.0","E,0325","-4.0","E,0311","    3313.7","7","    3313.7","E","      9.59","E","     10.72","E","      8.46","E"
"NLE00113688","2014","54.1167","4.0119","43.0","F16 A, NL","     21.4","","      21.4","E","         0","E","         2","E","         0","E","         6","E","         0","E","   -0.3","E,0130, ","   23.8","E,0719, ","","","-0.3","E,0130","","","    2520.2","2","    2520.2","E","     11.62","E","     12.74","E","     10.50","E"
"NLE00113688","2015","54.1167","4.0119","43.0","F16 A, NL","      1.9","","       1.9","E","         0","E","         0","E","         0","E","         1","E","         0","E","    1.9","E,0205, ","   21.1","E,0702, ","","","","","","","    2731.9","9","    2731.9","E","     10.67","E","     11.83","E","      9.49","E"
"NLE00113688","2017","54.1167","4.0119","43.0","F16 A, NL","      0.1","","       0.1","E","         0","E","         1","E","         0","E","         0","E","         0","E","   -0.5","E,0210, ","   20.4","E,0619, ","","","-0.5","E,0210","","","","","","","     10.80","E","     11.99","E","      9.61","E"
"NLE00113688","2018","54.1167","4.0119","43.0","F16 A, NL","","","","","","","","","","","","","","","","","","","","","","","","","    2888.0","0","    2888.0","E","","","","","",""
"NLE00113688","2019","54.1167","4.0119","43.0","F16 A, NL","     23.4","","      23.4","E","         0","E","         0","E","         0","E","         9","E","         0","E","    1.2","E,0413, ","   24.6","E,0726, ","","","","","","","","","","","     11.12","E","     12.28","E","      9.97","E"
"NLE00113688","2020","54.1167","4.0119","43.0","F16 A, NL","","","","","","","","","","","","","","","","","","","","","","","","","    2609.2","2","    2609.2","E","","","","","",""
