"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00061076","1939","-32.618","151.8877","75.0","RAYMOND TERRACE WALLAROO STAT, AS","        97","a","        64","a","        13","a","","","","","","","","","","","",""," 101.1"," ,a,1026, ","","","","","","","","","   1116.3"," ,a","","","","","",""
"ASN00061076","1940","-32.618","151.8877","75.0","RAYMOND TERRACE WALLAROO STAT, AS","        84","a","        50","a","        10","a","","","","","","","","","","","","","  57.7"," ,a,1221, ","","","","","","","","","    812.4"," ,a","","","","","",""
"ASN00061076","1941","-32.618","151.8877","75.0","RAYMOND TERRACE WALLAROO STAT, AS","        96","a","        56","a","         7","a","","","","","","","","","","","","","  45.2"," ,a,0109, ","","","","","","","","","    785.9"," ,a","","","","","",""
"ASN00061076","1942","-32.618","151.8877","75.0","RAYMOND TERRACE WALLAROO STAT, AS","       100","a","        62","a","        13","a","","","","","","","","","","","","","  89.4"," ,a,1013, ","","","","","","","","","   1052.7"," ,a","","","","","",""
"ASN00061076","1943","-32.618","151.8877","75.0","RAYMOND TERRACE WALLAROO STAT, AS","       126","a","        76","a","        12","a","","","","","","","","","","","","","  71.1"," ,a,0523, ","","","","","","","","","   1165.4"," ,a","","","","","",""
"ASN00061076","1944","-32.618","151.8877","75.0","RAYMOND TERRACE WALLAROO STAT, AS","        95","a","        64","a","         3","a","","","","","","","","","","","","","  46.7"," ,a,0811, ","","","","","","","","","    616.5"," ,a","","","","","",""
"ASN00061076","1945","-32.618","151.8877","75.0","RAYMOND TERRACE WALLAROO STAT, AS","       114","a","        64","a","        13","a","","","","","","","","","","","","","  74.9"," ,a,0612, ","","","","","","","","","    954.3"," ,a","","","","","",""
"ASN00061076","1947","-32.618","151.8877","75.0","RAYMOND TERRACE WALLAROO STAT, AS","       112","a","        78","a","        12","a","","","","","","","","","","","","","  67.1"," ,a,0226, ","","","","","","","","","   1074.9"," ,a","","","","","",""
"ASN00061076","1948","-32.618","151.8877","75.0","RAYMOND TERRACE WALLAROO STAT, AS","        92","a","        64","a","         7","a","","","","","","","","","","","","","  78.0"," ,a,0115, ","","","","","","","","","    875.2"," ,a","","","","","",""
"ASN00061076","1949","-32.618","151.8877","75.0","RAYMOND TERRACE WALLAROO STAT, AS","       117","a","        84","a","        20","a","","","","","","","","","","","",""," 218.9"," ,a,0618, ","","","","","","","","","   1768.5"," ,a","","","","","",""
