"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES"
"USC00243124","1894","45.733333","-107.566667","929.6","FORT CUSTER, MT US","    4134.4","4","    4134.4","6"
"USC00243124","1897","45.733333","-107.566667","929.6","FORT CUSTER, MT US","    4260.6","6","    4260.6","6"
