"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00294366","1954","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","","","","","        35","0","        15","0","         1","0","","","","","","","","","","","","","","","","","","","","","  26.7"," ,0,0723, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    154.8"," ,0","","","","","","","",""
"USC00294366","1955","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","","","","","        34","0","        21","0","         1","0","","","         0","0","","","","","","","","","","","","","","","     0","T,0,1115,+","  30.0"," ,0,0811, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    171.4"," ,0","        0","T,0","","","","","",""
"USC00294366","1956","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","","","","","        20","0","         7","0","         0","0","        0","","         1","0","","","","","","","","","","","","","     0","T,0,0117, ","    64"," ,0,0201, ","   9.9"," ,0,0129, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     65.4"," ,0","       64"," ,0","","","","","",""
"USC00294366","1957","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","","","","","        52","0","        30","0","         1","0","","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","  37.6"," ,0,1013, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    267.8"," ,0","        0"," ,0","","","","","",""
"USC00294366","1958","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","","","","","        43","0","        23","0","         0","0","","","         2","0","","","","","","","","","","","","","","","   203"," ,0,1229, ","  23.9"," ,0,0913, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    211.9"," ,0","      337"," ,0","","","","","",""
"USC00294366","1959","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","","","","","        35","0","        18","0","         1","0","","","","","","","","","","","","","","","","","","","","","  29.5"," ,0,0826, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    244.5"," ,0","","","","","","","",""
"USC00294366","1960","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","","","","","        43","0","        20","0","         2","0","","","","","","","","","","","","","","","","","","","","","  69.9"," ,0,1017, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    269.0"," ,0","","","","","","","",""
"USC00294366","1961","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","","","","","        44","0","        25","0","         0","0","","","","","","","","","","","","","","","","","","","","","  22.4"," ,0,0812, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    177.2"," ,0","","","","","","","",""
"USC00294366","1962","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","","","","","        41","0","        22","0","         0","0","","","","","","","","","","","","","","","","","","","","","  22.1"," ,0,1115, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    218.1"," ,0","","","","","","","",""
"USC00294366","1963","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","","","","","        41","0","        19","0","         1","0","","","","","","","","","","","","","","","","","","","","","  31.8"," ,0,0826, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    197.5"," ,0","","","","","","","",""
"USC00294366","2003","35.3886","-106.5438","1642.3","JEMEZ DAM, NM US","    730.0","","     730.0","0","        36","0","        15","0","         0","0","        0","","         0","0","         0","0","       127","0","         0","0","       205","0","        78","0","  -15.0","0,1201,+","     0"," ,0,1231,+","     0","T,0,1209, ","  19.6"," ,0,1008, ","   40.0","0,0716,+","","","-1.1","0,1014","-5.6","0,1105","-5.6","0,1105","-7.2","0,1117","-8.9","0,1119","0.0","0,0409","-2.2","0,0405","-5.6","0,0330","-6.7","0,0226","-8.9","0,0204","    2296.9","9","    2296.9","0","    117.2"," ,0","        0","T,0","     13.78","0","     22.53","0","      5.04","0"
