"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"SWE00140778","1968","66.76","19.32","285.0","RANDIJAUR, SW","","","","","","","","","    7663.4","4","    7663.4","E","",""
"SWE00140778","1970","66.76","19.32","285.0","RANDIJAUR, SW","","","","","","","","","    7554.3","3","    7554.3","E","",""
"SWE00140778","1979","66.76","19.32","285.0","RANDIJAUR, SW","       155","E","        65","E","         1","E","  29.4"," ,E,0713, ","","","","","    553.6"," ,E"
"SWE00140778","1980","66.76","19.32","285.0","RANDIJAUR, SW","       114","E","        42","E","         0","E","  21.1"," ,E,0806, ","","","","","    339.5"," ,E"
"SWE00140778","1981","66.76","19.32","285.0","RANDIJAUR, SW","       135","E","        55","E","         4","E","  38.2"," ,E,0723, ","","","","","    537.5"," ,E"
"SWE00140778","1982","66.76","19.32","285.0","RANDIJAUR, SW","       120","E","        48","E","         1","E","  27.5"," ,E,0809, ","","","","","    438.6"," ,E"
"SWE00140778","1983","66.76","19.32","285.0","RANDIJAUR, SW","       136","E","        52","E","         1","E","  32.3"," ,E,0719, ","","","","","    518.9"," ,E"
"SWE00140778","1984","66.76","19.32","285.0","RANDIJAUR, SW","       133","E","        59","E","         0","E","  24.7"," ,E,0725, ","","","","","    472.5"," ,E"
"SWE00140778","1985","66.76","19.32","285.0","RANDIJAUR, SW","       154","E","        57","E","         2","E","  29.4"," ,E,0811, ","","","","","    524.5"," ,E"
"SWE00140778","1986","66.76","19.32","285.0","RANDIJAUR, SW","       123","E","        52","E","         0","E","  23.4"," ,E,0725, ","","","","","    422.5"," ,E"
"SWE00140778","1987","66.76","19.32","285.0","RANDIJAUR, SW","       139","E","        52","E","         3","E","  53.1"," ,E,0604, ","","","","","    566.9"," ,E"
"SWE00140778","1988","66.76","19.32","285.0","RANDIJAUR, SW","       143","E","        50","E","         1","E","  39.1"," ,E,0630, ","","","","","    449.0"," ,E"
"SWE00140778","1989","66.76","19.32","285.0","RANDIJAUR, SW","       145","E","        55","E","         0","E","  23.9"," ,E,1013, ","","","","","    494.5"," ,E"
