"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UPM00033391","1960","49.8","23.15","216.0","MOSTISKA, UP","       166","I","        89","I","         1","I","","","","","","","","","","","","","  39.3"," ,I,0530, ","","","","","","","","","","","","","","","","","","","","","","","    778.3"," ,I","","","",""
"UPM00033391","1961","49.8","23.15","216.0","MOSTISKA, UP","       114","I","        49","I","         2","I","","","","","","","","","","","","","  42.3"," ,I,0730, ","","","","","","","","","","","","","","","","","","","","","","","    418.1"," ,I","","","",""
"UPM00033391","1962","49.8","23.15","216.0","MOSTISKA, UP","       145","I","        77","I","         1","I","","","","","","","","","","","","","  35.3"," ,I,0719, ","","","","","","","","","","","","","","","","","","","","","","","    682.1"," ,I","","","",""
"UPM00033391","1963","49.8","23.15","216.0","MOSTISKA, UP","       138","I","        59","I","         0","I","","","","","","","","","","","","","  22.4"," ,I,0910, ","","","","","","","","","","","","","","","","","","","","","","","    534.4"," ,I","","","",""
"UPM00033391","1964","49.8","23.15","216.0","MOSTISKA, UP","       132","I","        62","I","         3","I","","","","","","","","","","","","","  44.2"," ,I,0323, ","","","","","","","","","","","","","","","","","","","","","","","    634.3"," ,I","","","",""
"UPM00033391","1965","49.8","23.15","216.0","MOSTISKA, UP","       155","I","        80","I","         3","I","","","","","","","","","","","","","  41.3"," ,I,0702, ","","","","","","","","","","","","","","","","","","","","","","","    794.4"," ,I","","","",""
"UPM00033391","1967","49.8","23.15","216.0","MOSTISKA, UP","       157","I","        70","I","         3","I","","","","","","","","","","","","","  28.5"," ,I,0522, ","","","","","","","","","","","","","","","","","","","","","","","    658.2"," ,I","","","",""
"UPM00033391","1968","49.8","23.15","216.0","MOSTISKA, UP","       177","I","        78","I","         4","I","","","","","","","","","","","","","  55.7"," ,I,0719, ","","","","","","","","","","","","","","","","","","","","","","","    838.4"," ,I","","","",""
"UPM00033391","1969","49.8","23.15","216.0","MOSTISKA, UP","       170","I","        67","I","         1","I","","","","","","","","","","","","","  28.9"," ,I,0625, ","","","","","","","","","","","","","","","","","","","","","","","    576.8"," ,I","","","",""
"UPM00033391","1970","49.8","23.15","216.0","MOSTISKA, UP","       198","I","        68","I","         2","I","","","","","","","","","","","","","  64.2"," ,I,0710, ","","","","","","","","","","","","","","","","","","","","","","","    725.1"," ,I","","","",""
"UPM00033391","1971","49.8","23.15","216.0","MOSTISKA, UP","       153","I","        51","I","         1","I","","","","","","","","","","","","","  26.1"," ,I,0718, ","","","","","","","","","","","","","","","","","","","","","","","    481.8"," ,I","","","",""
"UPM00033391","1972","49.8","23.15","216.0","MOSTISKA, UP","       156","I","        64","I","         0","I","","","","","","","","","","","","","  22.1"," ,I,0912, ","","","","","","","","","","","","","","","","","","","","","","","    572.7"," ,I","","","",""
"UPM00033391","1974","49.8","23.15","216.0","MOSTISKA, UP","       170","I","        88","I","         4","I","","","","","","","","","","","","","  49.9"," ,I,0612, ","","","","","","","","","","","","","","","","","","","","","","","    858.3"," ,I","","","",""
"UPM00033391","1975","49.8","23.15","216.0","MOSTISKA, UP","       156","I","        71","I","         4","I","","","","","","","","","","","","","  37.6"," ,I,1218, ","","","","","","","","","","","","","","","","","","","","","","","    687.2"," ,I","","","",""
"UPM00033391","1979","49.8","23.15","216.0","MOSTISKA, UP","       158","I","        70","I","         1","I","","","","","","","","","","","","","  25.7"," ,I,0407, ","","","","","","","","","","","","","","","","","","","","","","","    674.1"," ,I","","","",""
"UPM00033391","1980","49.8","23.15","216.0","MOSTISKA, UP","       196","I","        94","I","         3","I","","","","","","","","","","","","","  64.2"," ,I,0601, ","","","","","","","","","","","","","","","","","","","","","","","    935.4"," ,I","","","",""
"UPM00033391","1982","49.8","23.15","216.0","MOSTISKA, UP","       132","I","        67","I","         0","I","","","","","","","","","","","","","  22.4"," ,I,0409, ","","","","","","","","","","","","","","","","","","","","","","","    521.8"," ,I","","","",""
"UPM00033391","1984","49.8","23.15","216.0","MOSTISKA, UP","       143","I","        68","I","         3","I","","","","","","","","","","","","","  38.1"," ,I,0812, ","","","","","","","","","","","","","","","","","","","","","","","    687.9"," ,I","","","",""
"UPM00033391","1985","49.8","23.15","216.0","MOSTISKA, UP","       166","I","        73","I","         1","I","","","","","","","","","","","","","  35.1"," ,I,0607, ","","","","","","","","","","","","","","","","","","","","","","","    721.7"," ,I","","","",""
"UPM00033391","1987","49.8","23.15","216.0","MOSTISKA, UP","       161","I","        79","I","         1","I","","","","","","","","","","","","","  26.9"," ,I,0523, ","","","","","","","","","","","","","","","","","","","","","","","    620.0"," ,I","","","",""
"UPM00033391","1988","49.8","23.15","216.0","MOSTISKA, UP","       168","I","        73","I","         2","I","","","","","","","","","","","","","  43.0"," ,I,0702, ","","","","","","","","","","","","","","","","","","","","","","","    710.8"," ,I","","","",""
"UPM00033391","1989","49.8","23.15","216.0","MOSTISKA, UP","       147","I","        64","I","         3","I","","","","","","","","","","","","","  32.0"," ,I,0901, ","","","","","","","","","","","","","","","","","","","","","","","    586.4"," ,I","","","",""
"UPM00033391","1990","49.8","23.15","216.0","MOSTISKA, UP","       143","I","        70","I","         1","I","","","","","","","","","","","","","  39.5"," ,I,0525, ","","","","","","","","","","","","","","","","","","","","","","","    603.0"," ,I","","","",""
"UPM00033391","2001","49.8","23.15","216.0","MOSTISKA, UP","","","","","","","","","","","        54","u","        88","u","         1","u","","","","","   34.1","u,0818, ","","","","","","","","","","","","","","","","","","","","","","","     12.58","u","",""
"UPM00033391","2003","49.8","23.15","216.0","MOSTISKA, UP","","","","","","","         3","u","       107","u","","","","","","","  -24.1","u,0213, ","","","","","-0.3","u,1018","-2.2","u,1019","-6.2","u,1025","-8.2","u,1224","-9.3","u,1225","-2.3","u,0410","-2.3","u,0410","-4.5","u,0409","-7.8","u,0323","-12.1","u,0228","","","","","      4.12","u"
