"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00256070","1948","41.13333","-100.75","857.1","NORTH PLATTE, NE US","","","","","","","","","","","","","","","","","","","","","","","","","        35"," ","        24"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00256070","1949","41.13333","-100.75","857.1","NORTH PLATTE, NE US","    486.5","","     486.5","0","        96","0","        51","0","         5","0","       67","","        10","0","        20","0","       144","0","        48","0","       159","0","        35","0","        40"," ","        58"," ","  -26.1","0,0121, ","   457"," ,0,0104, ","   267"," ,0,0330, ","  53.6"," ,0,0706, ","   36.7","0,0727, ","-1.7","0,1021","-2.8","0,1024","-4.4","0,1031","-8.9","0,1121","-8.9","0,1121","-1.7","0,0418","-2.8","0,0415","-4.4","0,0404","-11.1","0,0401","-11.1","0,0401","    3774.6","6","    592.4"," ,0","     1172"," ,0","      9.72","0","     16.49","0","      2.96","0"
