"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00063293","1991","-33.74","149.8822","1190.0","OBERON JENOLAN CAVES ROAD, AS","       110","a","        64","a","         2","a","         0","a","        22","a","","","","","","","   -3.5","a,0717, ","  30.8"," ,a,0610, ","","","-3.5","a,0717","-3.5","a,0717","","","-0.5","a,1017","-2.3","a,0913","    610.8"," ,a","","","","","      7.04","a"
"ASN00063293","1992","-33.74","149.8822","1190.0","OBERON JENOLAN CAVES ROAD, AS","       138","a","        83","a","         4","a","","","","","","","","","","","","","  52.8"," ,a,0124, ","","","","","","","","","","","","","    943.0"," ,a","","","","","",""
"ASN00063293","1993","-33.74","149.8822","1190.0","OBERON JENOLAN CAVES ROAD, AS","       117","a","        65","a","         4","a","","","","","","","","","","","","","  47.3"," ,a,1004, ","","","","","","","","","","","","","    827.0"," ,a","","","","","",""
"ASN00063293","1994","-33.74","149.8822","1190.0","OBERON JENOLAN CAVES ROAD, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    496.0"," ,a","","","","","",""
"ASN00063293","1995","-33.74","149.8822","1190.0","OBERON JENOLAN CAVES ROAD, AS","       125","a","        64","a","        11","a","","","","","","","","","","","","","  76.6"," ,a,0925, ","","","","","","","","","","","","","    887.4"," ,a","","","","","",""
"ASN00063293","1996","-33.74","149.8822","1190.0","OBERON JENOLAN CAVES ROAD, AS","       123","a","        74","a","         8","a","         0","a","        47","a","         0","a","        62","a","         0","a","   -6.5","a,0717, ","  39.6"," ,a,1105, ","   31.2","a,0131, ","0.0","a,0409","-3.2","a,0610","-5.2","a,0710","0.0","a,1123","-2.3","a,0923","    889.8"," ,a","     10.37","a","     15.34","a","      5.39","a"
"ASN00063293","1997","-33.74","149.8822","1190.0","OBERON JENOLAN CAVES ROAD, AS","        83","a","        42","a","         3","a","","","","","","","","","","","","","  71.8"," ,a,0212, ","","","","","","","","","","","","","    564.4"," ,a","","","","","",""
"ASN00063293","1998","-33.74","149.8822","1190.0","OBERON JENOLAN CAVES ROAD, AS","       120","a","        60","a","        12","a","","","","","","","","","","","","","  61.2"," ,a,0808, ","","","","","","","","","","","","","   1001.4"," ,a","","","","","",""
"ASN00063293","2000","-33.74","149.8822","1190.0","OBERON JENOLAN CAVES ROAD, AS","       125","a","        79","a","         7","a","","","","","","","","","","","","","  45.8"," ,a,0311, ","","","","","","","","","","","","","    909.8"," ,a","","","","","",""
"ASN00063293","2002","-33.74","149.8822","1190.0","OBERON JENOLAN CAVES ROAD, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    469.0"," ,a","","","","","",""
"ASN00063293","2003","-33.74","149.8822","1190.0","OBERON JENOLAN CAVES ROAD, AS","       113","a","        60","a","         5","a","","","","","","","","","","","","","  51.2"," ,a,0222, ","","","","","","","","","","","","","    765.2"," ,a","","","","","",""
"ASN00063293","2005","-33.74","149.8822","1190.0","OBERON JENOLAN CAVES ROAD, AS","        94","a","        56","a","         6","a","","","","","","","","","","","","","  49.0"," ,a,1108, ","","","","","","","","","","","","","    739.6"," ,a","","","","","",""
"ASN00063293","2007","-33.74","149.8822","1190.0","OBERON JENOLAN CAVES ROAD, AS","       136","a","        65","a","         7","a","","","","","","","","","","","","","  40.0"," ,a,0305, ","","","","","","","","","","","","","    817.0"," ,a","","","","","",""
"ASN00063293","2008","-33.74","149.8822","1190.0","OBERON JENOLAN CAVES ROAD, AS","       107","a","        54","a","         1","a","","","","","","","","","","","","","  46.0"," ,a,1213, ","","","","","","","","","","","","","    586.0"," ,a","","","","","",""
"ASN00063293","2009","-33.74","149.8822","1190.0","OBERON JENOLAN CAVES ROAD, AS","        85","a","        43","a","         3","a","","","","","","","","","","","","","  33.0"," ,a,0204, ","","","","","","","","","","","","","    392.0"," ,a","","","","","",""
"ASN00063293","2011","-33.74","149.8822","1190.0","OBERON JENOLAN CAVES ROAD, AS","       122","a","        59","a","         4","a","","","","","","","","","","","",""," 102.0"," ,a,0213, ","","","","","","","","","","","","","    749.0"," ,a","","","","","",""
