"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00002009","1969","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","","","","","        14","m","         7","m","         1","m","","","","","","","","","","","","","  47.5"," ,m,1109, ","","","","","","","","","","","","","","","","","","","    1209.1","1","    1209.1"," ","     89.9"," ,m","","","","","",""
"MXN00002009","1970","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   1577.7","","    1577.7","m","        10","m","         6","m","         0","m","         0","m","        10","m","         0","m","       315","m","       153","m","   -3.3","m,0105,+","  16.8"," ,m,1002, ","   47.8","m,0625, ","-1.1","m,1218","","","","","","","-1.1","m,0130","-3.3","m,0105","","","","","","","","","     69.1"," ,m","     20.53","m","     30.58","m","     10.47","m"
"MXN00002009","1971","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   1768.7","","    1768.7","m","         7","m","         5","m","         1","m","         0","m","        15","m","         0","m","       300","m","       160","m","   -7.2","m,0108,+","  26.9"," ,m,0929, ","   48.9","m,0927, ","0.0","m,1214","","","","","","","-1.1","m,0304","-4.4","m,0303","-4.4","m,0303","-7.2","m,0108","     837.6","6","     837.6","m","     53.6"," ,m","     20.90","m","     30.68","m","     11.12","m"
"MXN00002009","1972","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   2040.7","","    2040.7","m","         8","m","         7","m","         1","m","         0","m","         5","m","         0","m","       299","m","       174","m","   -4.4","m,0105, "," 119.9"," ,m,1005, ","   50.0","m,0702,+","-2.2","m,1231","-2.2","m,1231","","","","","0.0","m,0203","-3.3","m,0106","-4.4","m,0105","","","     658.9","9","     658.9","m","    150.1"," ,m","     22.08","m","     30.53","m","     13.63","m"
"MXN00002009","1973","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   1824.5","","    1824.5","m","        17","m","        10","m","         0","m","         0","m","         2","m","         0","m","       278","m","       172","m","   -2.2","m,0107, ","  15.0"," ,m,1124, ","   46.7","m,0627, ","","","","","","","","","-1.1","m,0121","-2.2","m,0107","","","","","     848.7","7","     848.7","m","     66.3"," ,m","     21.22","m","     30.25","m","     12.18","m"
"MXN00002009","1974","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   1957.9","","    1957.9","m","        14","m","         9","m","         0","m","         0","m","        10","m","         0","m","       299","m","       171","m","   -2.2","m,1225,+","   9.9"," ,m,0308, ","   46.7","m,0629,+","0.0","m,1211","-2.2","m,1224","","","","","0.0","m,0128","-2.2","m,0103","","","","","     675.8","8","     675.8","m","     57.6"," ,m","     21.67","m","     30.59","m","     12.75","m"
"MXN00002009","1975","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   1716.7","","    1716.7","m","        10","m","         0","m","         0","m","         0","m","         2","m","         0","m","       281","m","       147","m","   -2.2","m,0102, ","   1.8"," ,m,0409, ","   47.8","m,0725, ","","","","","","","","","0.0","m,0104","-2.2","m,0102","","","","","     839.7","7","     839.7","m","      8.0"," ,m","     20.68","m","     29.50","m","     11.86","m"
"MXN00002009","1976","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   1744.0","","    1744.0","m","        17","m","        10","m","         1","m","         0","m","         3","m","         0","m","       309","m","       151","m","   -1.1","m,0103,+","  37.8"," ,m,0909, ","   46.7","m,0706,+","","","","","","","","","0.0","m,0104","","","","","","","     723.9","9","     723.9","m","    110.6"," ,m","     21.34","m","     29.75","m","     12.92","m"
"MXN00002009","1977","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   1869.9","","    1869.9","m","        20","m","         9","m","         0","m","         0","m","         0","m","         0","m","       304","m","       168","m","    0.6","m,0114,+","  15.7"," ,m,0816, ","   45.6","m,0806,+","","","","","","","","","","","","","","","","","     672.8","8","     672.8","m","     66.7"," ,m","     21.69","m","     30.51","m","     12.88","m"
"MXN00002009","1978","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   1737.8","","    1737.8","m","        27","m","        16","m","         0","m","         0","m","         9","m","         0","m","       266","m","       162","m","   -4.4","m,1206, ","  20.1"," ,m,1231, ","   45.6","m,0719, ","-4.4","m,1206","-4.4","m,1206","-4.4","m,1206","","","0.0","m,0125","","","","","","","     564.0","0","     564.0","m","    134.4"," ,m","     20.79","m","     29.21","m","     12.37","m"
"MXN00002009","1979","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   1701.5","","    1701.5","m","        19","m","         7","m","         2","m","         0","m","        11","m","         0","m","       281","m","       167","m","   -1.1","m,0105,+","  30.0"," ,m,0116, ","   46.7","m,0709, ","","","","","","","","","0.0","m,0207","","","","","","","    1082.5","5","    1082.5","m","    113.1"," ,m","     20.32","m","     29.53","m","     11.11","m"
"MXN00002009","1980","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   1657.7","","    1657.7","m","        16","m","         8","m","         0","m","         0","m","         0","m","         0","m","       307","m","       152","m","    0.6","m,0122, ","  13.5"," ,m,0310, ","   47.8","m,0810, ","","","","","","","","","","","","","","","","","     756.1","1","     756.1","m","     57.1"," ,m","     20.97","m","     29.97","m","     11.97","m"
"MXN00002009","1981","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   1932.6","","    1932.6","m","         8","m","         3","m","         0","m","         0","m","         0","m","         0","m","       316","m","       138","m","    0.6","m,0206, ","  13.5"," ,m,0301, ","   47.8","m,0620, ","","","","","","","","","","","","","","","","","     583.6","6","     583.6","m","     36.2"," ,m","     22.23","m","     30.46","m","     14.00","m"
"MXN00002009","1982","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   1710.5","","    1710.5","m","        18","m","         8","m","         0","m","         0","m","         2","m","         0","m","       288","m","       141","m","   -1.1","m,0104, ","  23.9"," ,m,0726, ","   45.0","m,0902,+","","","","","","","","","0.0","m,0105","","","","","","","     562.2","2","     562.2","m","    104.3"," ,m","     21.13","m","     29.24","m","     13.03","m"
"MXN00002009","1983","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     640.3","3","     640.3","m","","","","","","","",""
"MXN00002009","1984","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   1793.1","","    1793.1","m","        17","m","         7","m","         0","m","         0","m","         1","m","         0","m","       300","m","       154","m","    0.0","m,1215, ","  15.0"," ,m,0715, ","   45.0","m,0905,+","0.0","m,1215","","","","","","","","","","","","","","","","","","","     67.7"," ,m","     21.30","m","     29.77","m","     12.83","m"
"MXN00002009","1985","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","   1726.9","","    1726.9","m","        16","m","         9","m","         0","m","         0","m","         4","m","         0","m","       286","m","       157","m","    0.0","m,1213,+","   6.9"," ,m,1210, ","   47.8","m,0824, ","0.0","m,1213","","","","","","","0.0","m,0207","","","","","","","     847.5","5","     847.5","m","     45.6"," ,m","     20.81","m","     29.91","m","     11.72","m"
"MXN00002009","1986","32.2833","-115.0","16.8","COLONIA JUAREZ, MX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     542.3","3","     542.3","m","","","","","","","",""
