"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA00106H130","1984","54.5833","-128.4333","107.0","TERRACE GOSSAN CREEK, BC CA","      3.9","","       3.9","C","        19","C","         4","C","       138","C","        42","C","        27","C","         0","C","  -24.5","C,1231,+","   292"," ,C,1205, ","   31.0","C,0725, ","-1.0","C,0923","-8.0","C,1028","-8.0","C,1028","-8.0","C,1028","-9.0","C,1029","0.0","C,0511","-2.5","C,0429","-5.0","C,0225","-9.0","C,0120","-9.0","C,0120","","","","","     1443"," ,C","      6.03","C","      9.94","C","      2.11","C"
"CA00106H130","1985","54.5833","-128.4333","107.0","TERRACE GOSSAN CREEK, BC CA","     19.2","","      19.2","C","","","         6","C","       140","C","        47","C","        51","C","         3","C","  -25.0","C,1127, ","","","   34.5","C,0729, ","0.0","C,0907","-2.5","C,1007","-8.5","C,1109","-8.5","C,1109","-11.5","C,1110","0.0","C,0515","-3.0","C,0421","-4.5","C,0416","-7.5","C,0212","-15.0","C,0211","    4611.9","9","    4611.9","C","","","      5.66","C","     10.06","C","      1.26","C"
