"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00162399","1887","32.45","-91.5","31.1","DELHI, LA US","        47","6","        46","6","        22","6","","","","","         1"," ","","","  63.5"," ,6,0122,+","","","","","   1107.5"," ,6"
"USC00162399","1888","32.45","-91.5","31.1","DELHI, LA US","        68","6","        67","6","        19","6","        0","","","","","","     0"," ,6,1231,+","  50.8"," ,6,1022,+","","","","","   1155.7"," ,6"
"USC00162399","1889","32.45","-91.5","31.1","DELHI, LA US","","","","","","","","","         2"," ","","","","","","","","","","","",""
"USC00162399","1890","32.45","-91.5","31.1","DELHI, LA US","        76","6","        69","6","        20","6","","","         2"," ","         1"," ","","","  65.5"," ,6,0828, ","","","","","   1388.1"," ,6"
"USC00162399","1892","32.45","-91.5","31.1","DELHI, LA US","        94","6","        74","6","        14","6","","","         4"," ","","","","","  50.8"," ,6,0429,+","","","","","   1258.2"," ,6"
"USC00162399","1893","32.45","-91.5","31.1","DELHI, LA US","        94","6","        75","6","        11","6","","","         2"," ","","","","","  50.8"," ,6,0414, ","","","","","   1132.1"," ,6"
"USC00162399","1894","32.45","-91.5","31.1","DELHI, LA US","       110","6","        89","6","        16","6","","","         3"," ","","","","","  53.3"," ,6,0115, ","","","","","   1386.6"," ,6"
"USC00162399","1925","32.45","-91.5","31.1","DELHI, LA US","","","","","","","","","","","","","","","","","    1064.3","3","    1064.3","6","",""
