"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"AGM00060656","1958","27.7","-8.167","442.9","TINDOUF, AG","","","","","","","","","","","","","","","","","     401.6","6","     401.6","S","","","",""
"AGM00060656","2005","27.7","-8.167","442.9","TINDOUF, AG","        11","S","         5","S","         0","S","","","","","","","  15.0"," ,S,1223, ","","","","","","","     41.1"," ,S","",""
"AGM00060656","2006","27.7","-8.167","442.9","TINDOUF, AG","         7","S","         4","S","         2","S","         0","S","       281","S","       178","S","  48.0"," ,S,0211, ","   46.8","S,0709, ","","","","","     94.8"," ,S","     31.79","S"
"AGM00060656","2007","27.7","-8.167","442.9","TINDOUF, AG","         3","S","         0","S","         0","S","","","","","","","   2.0"," ,S,1104,+","","","","","","","      4.5"," ,S","",""
"AGM00060656","2008","27.7","-8.167","442.9","TINDOUF, AG","        12","S","         4","S","         0","S","         0","S","       290","S","       155","S","  15.0"," ,S,1013, ","   47.3","S,0710,+","","","","","     42.0"," ,S","     31.66","S"
"AGM00060656","2009","27.7","-8.167","442.9","TINDOUF, AG","        13","S","         5","S","         1","S","","","","","","","  32.0"," ,S,0328, ","","","","","","","     69.8"," ,S","",""
"AGM00060656","2010","27.7","-8.167","442.9","TINDOUF, AG","        14","S","         5","S","         1","S","","","","","","","  26.9"," ,S,0920, ","","","","","","","     90.9"," ,S","",""
"AGM00060656","2011","27.7","-8.167","442.9","TINDOUF, AG","        10","S","         4","S","         0","S","","","","","","","  23.1"," ,S,0515, ","","","","","","","     40.8"," ,S","",""
"AGM00060656","2012","27.7","-8.167","442.9","TINDOUF, AG","        10","S","         4","S","         0","S","","","","","","","   7.9"," ,S,0412, ","","","","","","","     26.6"," ,S","",""
"AGM00060656","2013","27.7","-8.167","442.9","TINDOUF, AG","        10","S","         5","S","         0","S","","","","","","","   6.1"," ,S,0305, ","","","","","","","     26.2"," ,S","",""
"AGM00060656","2015","27.7","-8.167","442.9","TINDOUF, AG","        13","S","         7","S","         2","S","","","","","","","  43.9"," ,S,1017, ","","","","","","","    142.2"," ,S","",""
