"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IRM00040718","1951","37.467","49.467","-26.0","ANZALI, IR","","","","","","","         0"," ","        10","S","","","","","","","   -2.8","S,0209, ","","","","","0.0","S,0222","-2.2","S,0210","","","","","     12.50","S"
"IRM00040718","1958","37.467","49.467","-26.0","ANZALI, IR","        93","S","        52","S","         7","S","","","","","         0","S","       169","S","         9","S","","","  59.9"," ,S,1121, ","   32.8","S,0902, ","","","","","    770.2"," ,S","     19.88","S","",""
"IRM00040718","2007","37.467","49.467","-26.0","ANZALI, IR","       115","S","        72","S","        15","S","","","","","","","","","","","",""," 124.7"," ,S,1123, ","","","","","","","   1360.8"," ,S","","","",""
"IRM00040718","2008","37.467","49.467","-26.0","ANZALI, IR","       121","S","        81","S","        19","S","","","","","","","","","","","","","  99.3"," ,S,1216, ","","","","","","","   1603.9"," ,S","","","",""
"IRM00040718","2009","37.467","49.467","-26.0","ANZALI, IR","       118","S","        75","S","        19","S","","","","","         0","S","       155","S","         4","S","",""," 118.4"," ,S,1002, ","   35.0","S,0721, ","","","","","   1443.7"," ,S","     18.81","S","",""
"IRM00040718","2010","37.467","49.467","-26.0","ANZALI, IR","       111","S","        65","S","        19","S","","","","","         0","S","       161","S","        10","S","",""," 102.1"," ,S,0823, ","   33.6","S,0630, ","","","","","   1379.2"," ,S","     20.21","S","",""
"IRM00040718","2011","37.467","49.467","-26.0","ANZALI, IR","       158","S","       109","S","        35","S","","","","","         0","S","       158","S","        19","S","",""," 195.8"," ,S,1027, ","   34.8","S,0803, ","","","","","   2931.4"," ,S","     19.02","S","",""
"IRM00040718","2012","37.467","49.467","-26.0","ANZALI, IR","       128","S","        79","S","        27","S","","","","","         0","S","       189","S","        12","S","","","  96.8"," ,S,0911, ","   34.2","S,0816, ","","","","","   1861.9"," ,S","     20.24","S","",""
"IRM00040718","2013","37.467","49.467","-26.0","ANZALI, IR","       121","S","        82","S","        20","S","","","","","","","","","","","","","  76.2"," ,S,1120, ","","","","","","","   1543.4"," ,S","","","",""
"IRM00040718","2014","37.467","49.467","-26.0","ANZALI, IR","       118","S","        73","S","        20","S","","","","","","","","","","","","","  98.8"," ,S,1020, ","","","","","","","   1482.9"," ,S","","","",""
"IRM00040718","2015","37.467","49.467","-26.0","ANZALI, IR","       104","S","        77","S","        18","S","","","","","         0","S","       157","S","        25","S","","","  99.6"," ,S,1009, ","   34.6","S,0622, ","","","","","   1584.6"," ,S","     20.17","S","",""
"IRM00040718","2016","37.467","49.467","-26.0","ANZALI, IR","       113","S","        80","S","        25","S","","","","","","","","","","","",""," 110.0"," ,S,0907, ","","","","","","","   1734.3"," ,S","","","",""
"IRM00040718","2017","37.467","49.467","-26.0","ANZALI, IR","        92","S","        50","S","        15","S","","","","","         0","S","       164","S","        37","S","",""," 112.3"," ,S,0929, ","   36.8","S,0508, ","","","","","   1171.5"," ,S","     20.41","S","",""
"IRM00040718","2018","37.467","49.467","-26.0","ANZALI, IR","       122","S","        70","S","        18","S","","","","","         0","S","       167","S","        36","S","",""," 164.6"," ,S,0811, ","   35.8","S,1025, ","","","","","   1570.4"," ,S","     20.70","S","",""
"IRM00040718","2019","37.467","49.467","-26.0","ANZALI, IR","       126","S","        81","S","        23","S","","","","","         0","S","       185","S","        33","S","",""," 118.6"," ,S,1119, ","   34.5","S,0805, ","","","","","   1946.2"," ,S","     21.41","S","",""
"IRM00040718","2020","37.467","49.467","-26.0","ANZALI, IR","","","","","","","","","","","         0","S","       190","S","        34","S","","","","","   35.8","S,0616, ","","","","","","","     21.30","S","",""
"IRM00040718","2022","37.467","49.467","-26.0","ANZALI, IR","       110","S","        75","S","        20","S","","","","","         0","S","       182","S","        56","S","","","  69.1"," ,S,1107, ","   35.5","S,0816, ","","","","","   1333.4"," ,S","     22.20","S","",""
"IRM00040718","2023","37.467","49.467","-26.0","ANZALI, IR","       110","S","        74","S","        26","S","","","","","         0","S","       200","S","        27","S","",""," 128.8"," ,S,1012, ","   35.9","S,0710, ","","","","","   2026.8"," ,S","     22.32","S","",""
"IRM00040718","2024","37.467","49.467","-26.0","ANZALI, IR","       133","S","        88","S","        25","S","","","","","","","","","","","",""," 124.7"," ,S,1023, ","","","","","","","   1962.3"," ,S","","","",""
