"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IDM00096595","2004","-0.95","114.9","60.0","MUARATEWE BERINGIN, ID","","","","","","","","","         0","S","       346","S","       227","S","","","   36.2","S,1029, ","","","     32.52","S","",""
"IDM00096595","2005","-0.95","114.9","60.0","MUARATEWE BERINGIN, ID","","","","","         0","S","         0","S","         0","S","       334","S","       197","S","   20.6","S,1222, ","   35.0","S,1009,+","     27.48","S","     32.25","S","     22.70","S"
"IDM00096595","2009","-0.95","114.9","60.0","MUARATEWE BERINGIN, ID","","","","","","","","","         0","S","       350","S","       243","S","","","   36.1","S,0915, ","","","     32.51","S","",""
"IDM00096595","2011","-0.95","114.9","60.0","MUARATEWE BERINGIN, ID","","","","","","","","","         0","S","       354","S","       223","S","","","   35.3","S,1016, ","","","     32.33","S","",""
"IDM00096595","2012","-0.95","114.9","60.0","MUARATEWE BERINGIN, ID","","","","","","","","","         0","S","       358","S","       230","S","","","   35.4","S,1022, ","","","     32.35","S","",""
"IDM00096595","2015","-0.95","114.9","60.0","MUARATEWE BERINGIN, ID","","","","","","","","","         0","S","       336","S","       232","S","","","   36.6","S,0918, ","","","     32.75","S","",""
"IDM00096595","2016","-0.95","114.9","60.0","MUARATEWE BERINGIN, ID","","","","","         0","S","         0","S","","","","","","","   18.9","S,0710, ","","","","","","","     23.91","S"
"IDM00096595","2019","-0.95","114.9","60.0","MUARATEWE BERINGIN, ID","","","","","         0","S","         0","S","","","","","","","   20.3","S,0715, ","","","","","","","     23.70","S"
"IDM00096595","2020","-0.95","114.9","60.0","MUARATEWE BERINGIN, ID","","","","","         0","S","         0","S","","","","","","","   19.8","S,1229, ","","","","","","","     23.87","S"
"IDM00096595","2022","-0.95","114.9","60.0","MUARATEWE BERINGIN, ID","   3182.3","","    3182.3"," ","","","","","         0","S","       355","S","       218","S","","","   35.4","S,0703, ","","","     32.24","S","",""
"IDM00096595","2023","-0.95","114.9","60.0","MUARATEWE BERINGIN, ID","","","","","         0","S","         0","S","","","","","","","   20.3","S,0923, ","","","","","","","     23.84","S"
