"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00515275","1950","20.7895","-156.9485","396.2","LANAI AIRPORT 656, HI US","","","","","","","       107","0","        38","0","        13","0","        0","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  89.2"," ,0,1117, ","","","","","","","    938.0"," ,0","        0"," ,0","","","","","","","","","","","","","",""
"USC00515275","1951","20.7895","-156.9485","396.2","LANAI AIRPORT 656, HI US","","","   1015.1","","    1015.1","0","       124","0","        56","0","        11","0","        0","","         0","0","         0","0","         0","0","         0","0","       363","0","         0","0","","","","","","","   10.0","0,0112, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 204.0"," ,0,0314, ","   29.4","0,1029,+","","","","","   1211.7"," ,0","        0"," ,0","     21.09","0","     26.09","0","     16.10","0","","","","","","","",""
"USC00515275","1952","20.7895","-156.9485","396.2","LANAI AIRPORT 656, HI US","","","    917.7","","     917.7","0","        93","0","        21","0","         1","0","        0","","","","         0","0","         0","0","         0","0","       366","0","         0","0","","","","","","","   11.1","0,0123,+","     0"," ,0,1231,+","",""," 136.4"," ,0,0120, ","   29.4","0,1104, ","      12.9","9","      12.9","0","    353.4"," ,0","","","     20.80","0","     25.39","0","     16.22","0","","","","","","","",""
"USC00515275","1953","20.7895","-156.9485","396.2","LANAI AIRPORT 656, HI US","","","   1040.7","","    1040.7","0","        69","0","        21","0","         1","0","        0","","         0","0","         0","0","         0","0","         0","0","       360","0","         0","0","","","","","","","   10.0","0,1229, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  50.8"," ,0,1227, ","   29.4","0,0808, ","       2.5","5","       2.5","0","    198.9"," ,0","        0"," ,0","     21.26","0","     25.79","0","     16.72","0","","","","","","","",""
"USC00515275","1954","20.7895","-156.9485","396.2","LANAI AIRPORT 656, HI US","","","","","","","        95","0","        35","0","         5","0","        0","","         0","0","","","","","         0","0","       359","0","         0","0","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  93.5"," ,0,1216, ","   31.7","0,0929,+","      16.1","1","      16.1","0","    596.4"," ,0","        0"," ,0","","","     26.04","0","","","","","","","","","",""
"USC00515275","1955","20.7895","-156.9485","396.2","LANAI AIRPORT 656, HI US","","","","","","","        67","0","        27","0","        10","0","        0","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 265.4"," ,0,1110, ","","","","","","","    976.1"," ,0","        0"," ,0","","","","","","","","","","","","","",""
"USC00515275","1956","20.7895","-156.9485","396.2","LANAI AIRPORT 656, HI US","","","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","        0"," ,0","","","","","","","","","","","","","",""
"USC00515275","1980","20.7895","-156.9485","396.2","LANAI AIRPORT 656, HI US","","","   1287.0","","    1287.0","0","        83","0","        50","0","        10","0","        0","","         0","0","         0","0","         0","0","         0","0","       365","0","         0","0","","","","","","","   11.1","0,1122, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 129.5"," ,0,0109, ","   29.4","0,1007,+","       6.5","5","       6.5","0","    866.8"," ,0","        0"," ,0","     21.83","0","     26.32","0","     17.34","0","","","","","","","",""
"USC00515275","1981","20.7895","-156.9485","396.2","LANAI AIRPORT 656, HI US","","","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","       5.3","3","       5.3","0","","","        0"," ,0","","","","","","","","","","","","","",""
"USC00515275","1982","20.7895","-156.9485","396.2","LANAI AIRPORT 656, HI US","","","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","        0"," ,0","","","","","","","","","","","","","",""
"USC00515275","1984","20.7895","-156.9485","396.2","LANAI AIRPORT 656, HI US","","","","","","","","","","","","","","","         0","0","","","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","","","","","","","","","","","        0"," ,0","","","","","","","","","","","","","",""
"USC00515275","1985","20.7895","-156.9485","396.2","LANAI AIRPORT 656, HI US","","","","","","","        29","0","        24","0","         7","0","        0","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  62.7"," ,0,1018, ","","","","","","","    436.5"," ,0","        0"," ,0","","","","","","","","","","","","","",""
"USC00515275","1987","20.7895","-156.9485","396.2","LANAI AIRPORT 656, HI US","","","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","    447.1"," ,0","        0"," ,0","","","","","","","","","","","","","",""
"USC00515275","1988","20.7895","-156.9485","396.2","LANAI AIRPORT 656, HI US","","","","","","","        30","0","        13","0","         3","0","        0","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  51.8"," ,0,1105, ","","","","","","","    311.6"," ,0","        0"," ,0","","","","","","","","","","","","","",""
"USC00515275","1990","20.7895","-156.9485","396.2","LANAI AIRPORT 656, HI US","","","","","","","        40","0","        30","0","         8","0","        0","","         0","0","","","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  50.8"," ,0,1118, ","","","","","","","    481.0"," ,0","        0"," ,0","","","","","","","","","","","","","",""
