"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UPM00033995","1960","44.5","34.3","208.0","NIKITSKIY SAD, UP","        88","I","        54","I","         2","I","","","","","","","","","","","","","  33.3"," ,I,0731, ","","","","","","","","","","","","","    537.3"," ,I","","","","","",""
"UPM00033995","1962","44.5","34.3","208.0","NIKITSKIY SAD, UP","        95","I","        70","I","         4","I","","","","","","","","","","","","","  69.0"," ,I,1217, ","","","","","","","","","","","","","    720.0"," ,I","","","","","",""
"UPM00033995","1963","44.5","34.3","208.0","NIKITSKIY SAD, UP","        99","I","        50","I","         2","I","","","","","","","","","","","","","  41.5"," ,I,0528, ","","","","","","","","","","","","","    517.2"," ,I","","","","","",""
"UPM00033995","1964","44.5","34.3","208.0","NIKITSKIY SAD, UP","        93","I","        38","I","         4","I","","","","","","","","","","","","","  53.5"," ,I,0910, ","","","","","","","","","","","","","    487.3"," ,I","","","","","",""
"UPM00033995","1965","44.5","34.3","208.0","NIKITSKIY SAD, UP","        90","I","        50","I","         6","I","","","","","","","","","","","","","  39.5"," ,I,1010, ","","","","","","","","","","","","","    615.2"," ,I","","","","","",""
"UPM00033995","1968","44.5","34.3","208.0","NIKITSKIY SAD, UP","       100","I","        63","I","         6","I","","","","","","","","","","","","","  54.5"," ,I,0616, ","","","","","","","","","","","","","    742.1"," ,I","","","","","",""
"UPM00033995","1970","44.5","34.3","208.0","NIKITSKIY SAD, UP","       128","I","        68","I","         3","I","","","","","","","","","","","","","  29.0"," ,I,0825, ","","","","","","","","","","","","","    635.7"," ,I","","","","","",""
"UPM00033995","1971","44.5","34.3","208.0","NIKITSKIY SAD, UP","        96","I","        44","I","         3","I","","","","","","","","","","","","","  54.9"," ,I,0908, ","","","","","","","","","","","","","    447.3"," ,I","","","","","",""
"UPM00033995","1973","44.5","34.3","208.0","NIKITSKIY SAD, UP","       111","I","        51","I","         1","I","","","","","","","","","","","","","  33.5"," ,I,1214, ","","","","","","","","","","","","","    490.7"," ,I","","","","","",""
"UPM00033995","1974","44.5","34.3","208.0","NIKITSKIY SAD, UP","        98","I","        48","I","         3","I","","","","","","","","","","","","","  35.6"," ,I,1219, ","","","","","","","","","","","","","    502.4"," ,I","","","","","",""
"UPM00033995","1975","44.5","34.3","208.0","NIKITSKIY SAD, UP","        92","I","        36","I","         2","I","","","","","","","","","","","","","  33.1"," ,I,1007, ","","","","","","","","","","","","","    313.8"," ,I","","","","","",""
"UPM00033995","1977","44.5","34.3","208.0","NIKITSKIY SAD, UP","       111","I","        55","I","         3","I","","","","","","","","","","","","","  40.6"," ,I,1231, ","","","","","","","","","","","","","    524.4"," ,I","","","","","",""
"UPM00033995","1979","44.5","34.3","208.0","NIKITSKIY SAD, UP","       108","I","        54","I","         4","I","","","","","","","","","","","","","  48.1"," ,I,0101, ","","","","","","","","","","","","","    588.0"," ,I","","","","","",""
"UPM00033995","1980","44.5","34.3","208.0","NIKITSKIY SAD, UP","       128","I","        68","I","         7","I","","","","","","","","","","","","","  36.4"," ,I,0328, ","","","","","","","","","","","","","    728.3"," ,I","","","","","",""
"UPM00033995","1982","44.5","34.3","208.0","NIKITSKIY SAD, UP","        89","I","        45","I","         2","I","","","","","","","","","","","","","  58.7"," ,I,0709, ","","","","","","","","","","","","","    451.4"," ,I","","","","","",""
"UPM00033995","1984","44.5","34.3","208.0","NIKITSKIY SAD, UP","       116","I","        51","I","         1","I","","","","","","","","","","","","","  36.8"," ,I,1110, ","","","","","","","","","","","","","    435.1"," ,I","","","","","",""
"UPM00033995","1985","44.5","34.3","208.0","NIKITSKIY SAD, UP","       120","I","        57","I","         1","I","","","","","","","","","","","","","  35.8"," ,I,1016, ","","","","","","","","","","","","","    518.4"," ,I","","","","","",""
"UPM00033995","1986","44.5","34.3","208.0","NIKITSKIY SAD, UP","       108","I","        48","I","         1","I","","","","","","","","","","","","","  32.3"," ,I,0425, ","","","","","","","","","","","","","    470.0"," ,I","","","","","",""
"UPM00033995","1987","44.5","34.3","208.0","NIKITSKIY SAD, UP","       143","I","        76","I","         7","I","","","","","","","","","","","","","  45.6"," ,I,0303, ","","","","","","","","","","","","","    879.5"," ,I","","","","","",""
"UPM00033995","1988","44.5","34.3","208.0","NIKITSKIY SAD, UP","       123","I","        65","I","         4","I","","","","","","","","","","","","","  44.8"," ,I,0904, ","","","","","","","","","","","","","    684.4"," ,I","","","","","",""
"UPM00033995","2003","44.5","34.3","208.0","NIKITSKIY SAD, UP","","","","","","","         0","u","        37","u","         2","u","       138","u","         0","u","   -6.9","u,0220, ","","","   30.5","u,0830, ","-0.3","u,1209","-0.5","u,0329","-3.1","u,0323","-4.9","u,0322","-6.9","u,0220","","","     12.39","u","     15.46","u","      9.31","u"
