"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"RQC00668306","1959","18.3905","-66.0541","28.0","RIO PIEDRAS EXPERIMENTAL STATION, PR US","   2632.6","","    2632.6","0","       209","0","       129","0","        18","0","        0","","         0","0","         0","0","         0","0","         0","0","       363","0","        92","0","   16.7","0,0225,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  71.4"," ,0,1006, ","   35.0","0,0701,+","","","","","","","   1671.8"," ,0","        0"," ,0","     25.60","0","     30.66","0","     20.54","0","",""
"RQC00668306","1960","18.3905","-66.0541","28.0","RIO PIEDRAS EXPERIMENTAL STATION, PR US","","","","","       194","0","       119","0","        18","0","        0","","         0","0","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  64.3"," ,0,0805, ","","","","","       0.0","0","       0.0"," ","   1674.4"," ,0","        0"," ,0","","","","","","","",""
"RQC00668306","1961","18.3905","-66.0541","28.0","RIO PIEDRAS EXPERIMENTAL STATION, PR US","   2548.9","","    2548.9","0","       233","0","       131","0","        15","0","        0","","         0","0","         0","0","         0","0","         0","0","       361","0","        40","0","   16.1","0,0226, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 145.8"," ,0,1112, ","   34.4","0,0110, ","","","","","","","   1949.6"," ,0","        0"," ,0","     25.42","0","     30.21","0","     20.64","0","",""
"RQC00668306","1963","18.3905","-66.0541","28.0","RIO PIEDRAS EXPERIMENTAL STATION, PR US","   2650.0","","    2650.0","0","       210","0","       121","0","        13","0","        0","","         0","0","         0","0","         0","0","         0","0","       364","0","        44","0","   17.2","0,0321,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  78.0"," ,0,0906, ","   34.4","0,1011, ","    1614.5","0","","","","","   1503.1"," ,0","        0"," ,0","     25.61","0","     30.16","0","     21.06","0","     26788","0"
"RQC00668306","1964","18.3905","-66.0541","28.0","RIO PIEDRAS EXPERIMENTAL STATION, PR US","   2593.4","","    2593.4","0","       213","0","       129","0","        11","0","        0","","         0","0","         0","0","         0","0","         0","0","       364","0","        48","0","   15.0","0,0125, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  81.8"," ,0,0702, ","   33.3","0,0610,+","","","       0.0","0","       0.0","0","   1476.2"," ,0","        0"," ,0","     25.46","0","     30.09","0","     20.82","0","     31476","0"
"RQC00668306","1965","18.3905","-66.0541","28.0","RIO PIEDRAS EXPERIMENTAL STATION, PR US","   2425.2","","    2425.2","0","       226","0","       129","0","        18","0","        0","","         0","0","         0","0","         0","0","         0","0","       363","0","        18","0","   15.0","0,0111, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 107.4"," ,0,0517, ","   32.8","0,1005, ","    1780.1","0","       0.0","0","       0.0","0","   1706.6"," ,0","        0"," ,0","     25.03","0","     29.52","0","     20.54","0","     29574","0"
"RQC00668306","1966","18.3905","-66.0541","28.0","RIO PIEDRAS EXPERIMENTAL STATION, PR US","   2594.0","","    2594.0","0","       205","0","       124","0","        18","0","        0","","         0","0","         0","0","         0","0","         0","0","       364","0","        22","0","   17.2","0,1126,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 104.6"," ,0,0420, ","   35.0","0,0813, ","    1905.3","0","       0.0","0","       0.0","0","   1867.2"," ,0","        0"," ,0","     25.45","0","     29.74","0","     21.15","0","     34547","0"
"RQC00668306","1967","18.3905","-66.0541","28.0","RIO PIEDRAS EXPERIMENTAL STATION, PR US","   2510.6","","    2510.6","0","       201","0","       107","0","         5","0","        0","","         0","0","         0","0","         0","0","         0","0","       363","0","        50","0","   15.6","0,1226,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  39.1"," ,0,0629, ","   33.9","0,1004,+","    2032.0","0","       0.0","0","       0.0","0","   1089.1"," ,0","        0"," ,0","     25.24","0","     29.77","0","     20.71","0","     33374","0"
"RQC00668306","1968","18.3905","-66.0541","28.0","RIO PIEDRAS EXPERIMENTAL STATION, PR US","   2510.0","","    2510.0","0","       196","0","       123","0","        20","0","        0","","         0","0","         0","0","         0","0","         0","0","       363","0","        39","0","   14.4","0,0205, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 113.3"," ,0,1214, ","   33.3","0,0926,+","","","       0.0","0","       0.0","0","   1992.2"," ,0","        0"," ,0","     25.25","0","     29.73","0","     20.77","0","     29175","0"
"RQC00668306","1969","18.3905","-66.0541","28.0","RIO PIEDRAS EXPERIMENTAL STATION, PR US","   2756.7","","    2756.7","0","       176","0","       121","0","        21","0","        0","","         0","0","         0","0","         0","0","         0","0","       364","0","        96","0","   15.6","0,0226,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  93.0"," ,0,0301, ","   34.4","0,1004,+","    1806.5","0","       0.0","0","       0.0","0","   2054.4"," ,0","        0"," ,0","     25.89","0","     30.39","0","     21.38","0","     23084","0"
