"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NOE00110860","1957","62.1478","5.2139","75.0","STADLANDET, NO","","","","","       221","E","       187","E","        17","E","       30","","","","","","","","","","","","","","   280"," ,E,1231, ","  88.5"," ,E,1002, ","","","","","","","","","","","","","","","","","","","","","","","","","   2447.7"," ,E","","","","","",""
"NOE00110860","1958","62.1478","5.2139","75.0","STADLANDET, NO","","","","","       184","E","       157","E","        16","E","       62","","","","","","","","","","","","","","   500"," ,E,0226, ","  46.6"," ,E,1107, ","","","","","","","","","","","","","","","","","","","","","","","","","   1839.1"," ,E","","","","","",""
"NOE00110860","1959","62.1478","5.2139","75.0","STADLANDET, NO","","","","","       181","E","       141","E","        11","E","       47","","","","","","","","","","","","","","   800"," ,E,0123,+","  58.2"," ,E,1121, ","","","","","","","","","","","","","","","","","","","","","","","","","   1746.4"," ,E","","","","","",""
"NOE00110860","1960","62.1478","5.2139","75.0","STADLANDET, NO","","","","","       152","E","       116","E","         9","E","       22","","","","","","","","","","","","","","   200"," ,E,0121,+","  64.3"," ,E,1127, ","","","","","","","","","","","","","","","","","","","","","","","","","   1356.8"," ,E","","","","","",""
"NOE00110860","1961","62.1478","5.2139","75.0","STADLANDET, NO","","","","","       207","E","       169","E","        13","E","       53","","","","","","","","","","","","","","   500"," ,E,1230,+","  46.0"," ,E,1016, ","","","","","","","","","","","","","","","","","","","","","","","","","   2007.2"," ,E","","","","","",""
"NOE00110860","1962","62.1478","5.2139","75.0","STADLANDET, NO","","","","","       218","E","       168","E","        16","E","       84","","","","","","","","","","","","","","   500"," ,E,0329, ","  43.0"," ,E,0206, ","","","","","","","","","","","","","","","","","","","","","","","","","   1943.4"," ,E","","","","","",""
"NOE00110860","1963","62.1478","5.2139","75.0","STADLANDET, NO","","","","","       168","E","       130","E","        10","E","       67","","","","","","","","","","","","","","   650"," ,E,0116,+","  44.9"," ,E,1006, ","","","","","","","","","","","","","","","","","","","","","","","","","   1520.4"," ,E","","","","","",""
"NOE00110860","1964","62.1478","5.2139","75.0","STADLANDET, NO","","","","","       219","E","       176","E","        21","E","       19","","","","","","","","","","","","","","   440"," ,E,1217, ","  82.0"," ,E,1216, ","","","","","","","","","","","","","","","","","","","","","","","","","   2249.3"," ,E","","","","","",""
"NOE00110860","1965","62.1478","5.2139","75.0","STADLANDET, NO","","","","","       168","E","       136","E","         4","E","       70","","","","","","","","","","","","","","   300"," ,E,1229, ","  41.5"," ,E,0419, ","","","","","","","","","","","","","","","","","","","","","","","","","   1299.5"," ,E","","","","","",""
"NOE00110860","1966","62.1478","5.2139","75.0","STADLANDET, NO","","","","","       200","E","       162","E","        16","E","       72","","","","","","","","","","","","","","   400"," ,E,0127,+","  91.4"," ,E,0907, ","","","","","","","","","","","","","","","","","","","","","","","","","   2102.0"," ,E","","","","","",""
"NOE00110860","1967","62.1478","5.2139","75.0","STADLANDET, NO","","","","","       231","E","       192","E","        21","E","       39","","","","","","","","","","","","","","   220"," ,E,1219, ","  52.4"," ,E,0726, ","","","","","","","","","","","","","","","","","","","","","","","","","   2584.7"," ,E","","","","","",""
"NOE00110860","1968","62.1478","5.2139","75.0","STADLANDET, NO","","","","","       176","E","       144","E","        11","E","       88","","","","","","","","","","","","","","   330"," ,E,0111, ","  67.0"," ,E,1025, ","","","","","","","","","","","","","","","","","","","","","","","","","   1608.7"," ,E","","","","","",""
"NOE00110860","1969","62.1478","5.2139","75.0","STADLANDET, NO","","","","","       195","E","       157","E","        18","E","       92","","","","","","","","","","","","","","   550"," ,E,0215, ","  68.4"," ,E,0924, ","","","","","","","","","","","","","","","","","","","","","","","","","   2208.5"," ,E","","","","","",""
"NOE00110860","1970","62.1478","5.2139","75.0","STADLANDET, NO","","","","","       192","E","       150","E","        15","E","       80","","","","","","","","","","","","","","   300"," ,E,0106, ","  53.6"," ,E,0316, ","","","","","","","","","","","","","","","","","","","","","","","","","   1827.3"," ,E","","","","","",""
"NOE00110860","1971","62.1478","5.2139","75.0","STADLANDET, NO","","","","","       207","E","       175","E","        18","E","       28","","","","","","","","","","","","","","   300"," ,E,1121,+","  88.6"," ,E,1127, ","","","","","","","","","","","","","","","","","","","","","","","","","   2451.1"," ,E","","","","","",""
"NOE00110860","1972","62.1478","5.2139","75.0","STADLANDET, NO","","","","","       161","E","       139","E","        14","E","       12","","","","","","","","","","","","","","   160"," ,E,1118, ","  90.0"," ,E,1004, ","","","","","","","","","","","","","","","","","","","","","","","","","   1880.3"," ,E","","","","","",""
"NOE00110860","1973","62.1478","5.2139","75.0","STADLANDET, NO","","","","","       244","E","       222","E","        27","E","       70","","","","","","","","","","","","","","   500"," ,E,1129, ","  78.6"," ,E,0801, ","","","","","","","","","","","","","","","","","","","","","","","","","   3094.6"," ,E","","","","","",""
"NOE00110860","1974","62.1478","5.2139","75.0","STADLANDET, NO","","","","","       186","E","       157","E","        16","E","       14","","","","","","","","","","","","","","   250"," ,E,1218, ","  59.1"," ,E,1217, ","","","","","","","","","","","","","","","","","","","","","","","","","   1972.8"," ,E","","","","","",""
"NOE00110860","1975","62.1478","5.2139","75.0","STADLANDET, NO","","","","","       213","E","       191","E","        24","E","       38","","","","","","","","","","","","","","   300"," ,E,0402, ","  86.2"," ,E,0915, ","","","","","","","","","","","","","","","","","","","","","","","","","   2784.3"," ,E","","","","","",""
