"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SAM00041136","1986","17.467","47.121","720.2","SHARURAH, SA","","","","","","","","","         0","S","       335","S","       245","S","","","   44.6","S,0728, ","","","","","","","","","     35.48","S","",""
"SAM00041136","1993","17.467","47.121","720.2","SHARURAH, SA","","","","","         0","S","         2","S","","","","","","","   -1.0","S,1221, ","","","0.0","S,1220","","","","","","","","","     17.28","S"
"SAM00041136","1996","17.467","47.121","720.2","SHARURAH, SA","","","","","","","","","         0","S","       341","S","       239","S","","","   45.0","S,0805,+","","","","","","","","","     36.14","S","",""
"SAM00041136","1999","17.467","47.121","720.2","SHARURAH, SA","","","","","","","","","         0","S","       347","S","       266","S","","","   45.0","S,0813,+","","","","","","","","","     36.69","S","",""
"SAM00041136","2000","17.467","47.121","720.2","SHARURAH, SA","","","","","","","","","         0","S","       352","S","       263","S","","","   45.0","S,0802,+","","","","","","","","","     36.53","S","",""
"SAM00041136","2001","17.467","47.121","720.2","SHARURAH, SA","","","","","         0","S","         0","S","         0","S","       340","S","       248","S","    2.0","S,0112,+","   45.0","S,0819,+","","","","","","","     28.06","S","     36.46","S","     19.65","S"
"SAM00041136","2002","17.467","47.121","720.2","SHARURAH, SA","","","","","         0","S","         0","S","         0","S","       340","S","       245","S","    7.0","S,0210,+","   46.0","S,0724,+","","","","","","","     28.15","S","     36.45","S","     19.86","S"
"SAM00041136","2004","17.467","47.121","720.2","SHARURAH, SA","","","","","","","","","         0","S","       338","S","       245","S","","","   44.8","S,0712, ","","","","","","","","","     36.20","S","",""
"SAM00041136","2005","17.467","47.121","720.2","SHARURAH, SA","","","","","","","","","         0","S","       336","S","       247","S","","","   45.0","S,0724, ","","","","","","","","","     35.85","S","",""
"SAM00041136","2006","17.467","47.121","720.2","SHARURAH, SA","","","","","","","","","         0","S","       336","S","       273","S","","","   44.8","S,0718, ","","","","","","","","","     36.52","S","",""
"SAM00041136","2007","17.467","47.121","720.2","SHARURAH, SA","","","","","         0","S","         0","S","         0","S","       342","S","       255","S","    1.0","S,0106, ","   45.2","S,0801, ","","","","","","","     28.12","S","     36.38","S","     19.87","S"
"SAM00041136","2008","17.467","47.121","720.2","SHARURAH, SA","","","","","         0","S","         0","S","         0","S","       341","S","       247","S","    1.0","S,1221, ","   45.8","S,0724, ","","","","","","","     27.43","S","     35.90","S","     18.95","S"
"SAM00041136","2009","17.467","47.121","720.2","SHARURAH, SA","   3553.3","","    3553.3","S","         0","S","         0","S","         0","S","       352","S","       285","S","    3.5","S,0104, ","   45.0","S,0811,+","","","     103.4","4","     103.4","S","     28.61","S","     36.90","S","     20.31","S"
"SAM00041136","2010","17.467","47.121","720.2","SHARURAH, SA","","","","","         0","S","         0","S","         0","S","       355","S","       257","S","    3.0","S,0112,+","   45.5","S,0803,+","","","","","","","     28.57","S","     36.78","S","     20.35","S"
"SAM00041136","2011","17.467","47.121","720.2","SHARURAH, SA","","","","","","","","","         0","S","       347","S","       262","S","","","   45.8","S,0611, ","","","","","","","","","     36.53","S","",""
"SAM00041136","2012","17.467","47.121","720.2","SHARURAH, SA","   3580.7","","    3580.7","S","         0","S","         0","S","         0","S","       356","S","       280","S","    7.0","S,0123, ","   45.2","S,0717, ","","","","","","","     28.68","S","     36.81","S","     20.56","S"
"SAM00041136","2013","17.467","47.121","720.2","SHARURAH, SA","","","","","         0","S","         0","S","         0","S","       346","S","       245","S","    3.0","S,0118, ","   44.0","S,0713, ","","","      23.4","4","      23.4","S","     27.68","S","     35.52","S","     19.83","S"
"SAM00041136","2014","17.467","47.121","720.2","SHARURAH, SA","   3446.0","","    3446.0","S","         0","S","         0","S","         0","S","       353","S","       262","S","    5.5","S,1229, ","   45.0","S,0719, ","","","","","","","     28.19","S","     36.30","S","     20.08","S"
"SAM00041136","2015","17.467","47.121","720.2","SHARURAH, SA","","","","","         0","S","         0","S","         0","S","       333","S","       252","S","    3.0","S,0122, ","   46.0","S,0717, ","","","","","","","     28.56","S","     36.56","S","     20.57","S"
"SAM00041136","2016","17.467","47.121","720.2","SHARURAH, SA","","","","","         0","S","         0","S","         0","S","       349","S","       248","S","    6.5","S,0206,+","   45.0","S,0816,+","","","","","","","     28.45","S","     36.33","S","     20.57","S"
"SAM00041136","2017","17.467","47.121","720.2","SHARURAH, SA","","","","","         0"," ","         0","S","","","","","","","    1.0","S,1212, ","","","","","","","","","","","","","     20.32","S"
"SAM00041136","2018","17.467","47.121","720.2","SHARURAH, SA","","","","","         0","S","         0","S","","","","","","","    1.0","S,0117,+","","","","","","","","","","","","","     20.37","S"
"SAM00041136","2020","17.467","47.121","720.2","SHARURAH, SA","","","","","         0","S","         0","S","","","","","","","    6.0","S,0117,+","","","","","","","","","","","","","     20.76","S"
