"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00455663","1929","48.86667","-121.66667","1266.1","MOUNT BAKER LODGE, WA US","","","","","","","         4","6","       170","6","        59","6","        32","6","         0","6","","","","","  -20.6","6,0127, ","","","   29.4","6,0730, ","0.0","6,0925","-2.8","6,1028","-6.1","6,1111","-6.7","6,1120","","","0.0","6,0620","-3.9","6,0508","-4.4","6,0503","-11.7","6,0407","-11.7","6,0407","","","","","","","      4.39","6","      8.81","6","     -0.04","6"
"USC00455663","1931","48.86667","-121.66667","1266.1","MOUNT BAKER LODGE, WA US","     19.5","","      19.5","6","","","         0","6","       175","6","        61","6","        35","6","         0","6","","","","","  -12.8","6,1121, ","","","   29.4","6,0720, ","-0.6","6,0929","-2.2","6,1023","-5.6","6,1110","-6.7","6,1115","-9.4","6,1116","0.0","6,0630","-2.2","6,0509","-7.8","6,0420","-7.8","6,0420","-8.9","6,0305","","","","","","","      4.85","6","      8.70","6","      1.00","6"
"USC00455663","1933","48.86667","-121.66667","1266.1","MOUNT BAKER LODGE, WA US","     37.0","","      37.0","6","","","         1","6","       193","6","        78","6","        22","6","         0","6","","","","","  -23.9","6,0209, ","","","   30.0","6,0826, ","0.0","6,0907","-2.8","6,1015","-4.4","6,1020","-6.7","6,1202","-8.9","6,1204","-2.8","6,0610","-2.8","6,0610","-4.4","6,0609","-7.2","6,0324","-9.4","6,0323","    5452.4","4","    5452.4","6","","","      3.46","6","      7.24","6","     -0.32","6"
"USC00455663","1934","48.86667","-121.66667","1266.1","MOUNT BAKER LODGE, WA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4284.3","3","    4284.3"," ","","","","","","","",""
"USC00455663","1936","48.86667","-121.66667","1266.1","MOUNT BAKER LODGE, WA US","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00455663","1938","48.86667","-121.66667","1266.1","MOUNT BAKER LODGE, WA US","     41.9","","      41.9","6","","","         0","6","       185","6","        49","6","        45","6","         2","6","","","","","  -12.8","6,1226, ","","","   32.8","6,0714, ","-6.1","6,0814","-6.1","6,0814","-6.1","6,0814","-7.8","6,1105","-8.9","6,1109","0.0","6,0612","-5.6","6,0610","-5.6","6,0610","-10.0","6,0331","-10.0","6,0331","","","","","","","      5.71","6","     11.14","6","      0.29","6"
"USC00455663","1940","48.86667","-121.66667","1266.1","MOUNT BAKER LODGE, WA US","     13.2","","      13.2","6","","","         0","6","       168","6","        26","6","        33","6","         0","6","","","","","  -15.0","6,1110, ","","","   28.3","6,0820,+","-0.6","6,1025","-3.3","6,1103","-4.4","6,1104","-7.2","6,1109","-15.0","6,1110","-1.1","6,0527","-3.3","6,0430","-6.1","6,0312","-6.7","6,0311","-10.6","6,0113","","","","","","","      5.71","6","      9.53","6","      1.88","6"
"USC00455663","1941","48.86667","-121.66667","1266.1","MOUNT BAKER LODGE, WA US","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00455663","1948","48.86667","-121.66667","1266.1","MOUNT BAKER LODGE, WA US","","","","","","","","","","","","","","","","","        13"," ","         5"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00455663","1949","48.86667","-121.66667","1266.1","MOUNT BAKER LODGE, WA US","      3.3","","       3.3","0","        97","0","         1","0","       187","0","        74","0","        20","0","         0","0","        12"," ","         1"," ","  -17.8","0,0109, ","   457"," ,0,0221,+","   26.7","0,0928, ","0.0","0,0917","-2.2","0,1007","-7.8","0,1018","-7.8","0,1018","-8.9","0,1203","0.0","0,0630","-4.4","0,0505","-4.4","0,0505","-7.8","0,0504","-11.1","0,0329","    5656.3","3","    5656.3","0","    15235"," ,0","      3.33","0","      7.15","0","     -0.50","0"
"USC00455663","1950","48.86667","-121.66667","1266.1","MOUNT BAKER LODGE, WA US","","","","","","","","","","","","","","","","","        12"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00455663","1951","48.86667","-121.66667","1266.1","MOUNT BAKER LODGE, WA US","","","","","","","","","","","","","","","","","         8"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
