"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00002044","1976","28.7333","-113.75","444.7","SAN BORJA, MX","   1040.2","","    1040.2","m","         9","m","         9","m","         2","m","         0","m","         0","m","         0","m","       308","m","        69","m","    2.8","m,0305,+","  35.3"," ,m,0208, ","   40.0","m,0815, ","","","","","","","","","","","","","     523.0","0","     523.0","m","    160.5"," ,m","     19.93","m","     27.54","m","     12.33","m"
"MXN00002044","1977","28.7333","-113.75","444.7","SAN BORJA, MX","   1166.8","","    1166.8","m","         9","m","         7","m","         1","m","         0","m","         0","m","         0","m","       297","m","       102","m","    1.7","m,0327, ","  27.9"," ,m,1007, ","   40.6","m,0618,+","","","","","","","","","","","","","     501.5","5","     501.5","m","     87.2"," ,m","     20.19","m","     27.82","m","     12.56","m"
"MXN00002044","1978","28.7333","-113.75","444.7","SAN BORJA, MX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     416.8","8","     416.8","m","","","","","","","",""
"MXN00002044","1980","28.7333","-113.75","444.7","SAN BORJA, MX","   1270.1","","    1270.1","m","         6","m","         6","m","         1","m","         0","m","         0","m","         0","m","       314","m","       115","m","    3.9","m,1208, ","  29.0"," ,m,0109, ","   42.8","m,0917,+","","","","","","","","","","","","","","","","","     82.8"," ,m","     20.58","m","     28.33","m","     12.84","m"
"MXN00002044","1982","28.7333","-113.75","444.7","SAN BORJA, MX","   1123.4","","    1123.4","m","         7","m","         5","m","         1","m","         0","m","         0","m","         0","m","       293","m","        99","m","    3.9","m,1231,+","  61.0"," ,m,1208, ","   46.7","m,0815, ","","","","","","","","","","","","","     362.6","6","     362.6","m","    100.9"," ,m","     20.10","m","     28.19","m","     12.00","m"
"MXN00002044","1983","28.7333","-113.75","444.7","SAN BORJA, MX","   1033.3","","    1033.3","m","        25","m","        21","m","         4","m","         0","m","         0","m","         0","m","       270","m","        87","m","    2.8","m,1226,+","  79.8"," ,m,1003, ","   42.8","m,0718, ","","","","","","","","","","","","","     655.4","4","     655.4","m","    342.5"," ,m","     19.23","m","     26.93","m","     11.54","m"
"MXN00002044","1984","28.7333","-113.75","444.7","SAN BORJA, MX","   1153.0","","    1153.0","m","        10","m","        10","m","         0","m","         0","m","         5","m","         0","m","       299","m","       118","m","   -3.3","m,1231,+","  21.8"," ,m,1212, ","   40.6","m,0528, ","-2.2","m,1218","-2.2","m,1218","","","","","","","","","     554.9","9","     554.9","m","    139.1"," ,m","     19.81","m","     28.55","m","     11.06","m"
"MXN00002044","1985","28.7333","-113.75","444.7","SAN BORJA, MX","    908.7","","     908.7","m","        11","m","        10","m","         1","m","         0","m","         2","m","         0","m","       295","m","        92","m","   -5.0","m,1128, ","  26.9"," ,m,1124, ","   45.6","m,0828,+","-2.2","m,1127","-2.2","m,1127","-5.0","m,1128","","","","","","","     832.1","1","     832.1","m","    142.0"," ,m","     18.86","m","     27.72","m","     10.00","m"
"MXN00002044","1994","28.7333","-113.75","444.7","SAN BORJA, MX","   1090.8","","    1090.8","m","        15","m","        14","m","         2","m","         0","m","         0","m","         0","m","       306","m","       111","m","    1.7","m,0107,+","  45.0"," ,m,1205, ","   43.9","m,0804, ","","","","","","","","","","","","","","","","","    199.7"," ,m","     20.05","m","     29.13","m","     10.97","m"
"MXN00002044","1997","28.7333","-113.75","444.7","SAN BORJA, MX","   1104.5","","    1104.5","m","         5","m","         5","m","         3","m","         0","m","         3","m","         0","m","       275","m","       118","m","   -2.2","m,0106, ","  49.8"," ,m,0924, ","   41.7","m,0911,+","","","","","","","-1.1","m,0108","-2.2","m,0106","","","     877.6","6","     877.6","m","    135.9"," ,m","     19.56","m","     27.99","m","     11.12","m"
