"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA008201925","1965","45.1167","-64.7833","206.0","GARLAND, NS CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4681.6","6","    4681.6"," ","","","","","",""
"CA008201925","1966","45.1167","-64.7833","206.0","GARLAND, NS CA","         8","C","       181","C","        66","C","        69","C","         0","C","  -27.2","C,0223, ","   28.9","C,0802, ","0.0","C,0922","-2.2","C,1028","-5.6","C,1106","-7.8","C,1117","-11.1","C,1203","-0.6","C,0519","-3.9","C,0518","-5.6","C,0509","-7.8","C,0428","-10.0","C,0330","","","","","      5.51","C","     10.34","C","      0.68","C"
"CA008201925","1967","45.1167","-64.7833","206.0","GARLAND, NS CA","        16","C","       187","C","        86","C","        80","C","         0","C","  -25.6","C,0213, ","   27.8","C,0625, ","0.0","C,0908","-3.3","C,1008","-6.1","C,1107","-7.8","C,1111","-8.9","C,1203","-0.6","C,0515","-2.2","C,0512","-8.3","C,0418","-8.3","C,0418","-11.7","C,0409","","","","","      4.80","C","      9.49","C","      0.11","C"
