"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00028214","1940","33.559","-111.53658","433.4","STEWART MOUNTAIN DAM, AZ US","","","","","        46","6","        31","6","         3","6","","","","","","","","","","","","","","","","","","","","","","","","","  51.3"," ,6,1230, ","","","","","","","","","","","","","","","","","","","","","","","","","    385.1"," ,6","","","","","","","","","",""
"USC00028214","1944","33.559","-111.53658","433.4","STEWART MOUNTAIN DAM, AZ US","","","","","        34","6","        28","6","         1","6","","","","","","","","","","","","","","","","","","","","","","","","","  27.9"," ,6,0225, ","","","","","","","","","","","","","","","","","","","","","","","","","    268.7"," ,6","","","","","","","","","",""
"USC00028214","1945","33.559","-111.53658","433.4","STEWART MOUNTAIN DAM, AZ US","","","","","        44","6","        25","6","         0","6","","","","","","","","","","","","","","","","","","","","","","","","","  24.4"," ,6,0807, ","","","","","","","","","","","","","","","","","","","","","","","","","    225.6"," ,6","","","","","","","","","",""
"USC00028214","1946","33.559","-111.53658","433.4","STEWART MOUNTAIN DAM, AZ US","","","","","        31","6","        24","6","         4","6","","","","","","","","","","","","","","","","","","","","","","","","","  57.2"," ,6,0918, ","","","","","","","","","","","","","","","","","","","","","","","","","    311.2"," ,6","","","","","","","","","",""
"USC00028214","1948","33.559","-111.53658","433.4","STEWART MOUNTAIN DAM, AZ US","","","","","        30","0","        16","0","         1","0","","","","","","","","","","","","","","","","","","","","","","","","","  25.4"," ,0,0807, ","","","","","","","","","","","","","","","","","","","","","","","","","    161.7"," ,0","","","","","","","","","",""
"USC00028214","1950","33.559","-111.53658","433.4","STEWART MOUNTAIN DAM, AZ US","","","","","        24","0","        17","0","         2","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  26.4"," ,0,0130, ","","","","","","","","","","","","","","","","","","","","","","","","","    184.9"," ,0","        0"," ,0","","","","","","","",""
"USC00028214","1951","33.559","-111.53658","433.4","STEWART MOUNTAIN DAM, AZ US","","","","","        42","0","        36","0","         5","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0","T,0,0303, "," 109.2"," ,0,0828, ","","","","","","","","","","","","","","","","","","","","","","","","","    504.2"," ,0","        0","T,0","","","","","","","",""
"USC00028214","1953","33.559","-111.53658","433.4","STEWART MOUNTAIN DAM, AZ US","","","","","        23","0","        15","0","         0","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  20.8"," ,0,0714, ","","","","","","","","","","","","","","","","","","","","","","","","","    143.7"," ,0","        0"," ,0","","","","","","","",""
"USC00028214","1954","33.559","-111.53658","433.4","STEWART MOUNTAIN DAM, AZ US","","","","","        32","0","        25","0","         3","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  38.6"," ,0,0323, ","","","","","","","","","","","","","","","","","","","","","","","","","    338.2"," ,0","        0"," ,0","","","","","","","",""
"USC00028214","1955","33.559","-111.53658","433.4","STEWART MOUNTAIN DAM, AZ US","","","","","        33","0","        27","0","         3","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  43.7"," ,0,0723, ","","","","","","","","","","","","","","","","","","","","","","","","","    372.4"," ,0","        0"," ,0","","","","","","","",""
"USC00028214","1956","33.559","-111.53658","433.4","STEWART MOUNTAIN DAM, AZ US","","","","","        19","0","        13","0","         0","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  15.0"," ,0,0129, ","","","","","","","","","","","","","","","","","","","","","","","","","     99.6"," ,0","        0"," ,0","","","","","","","",""
"USC00028214","1957","33.559","-111.53658","433.4","STEWART MOUNTAIN DAM, AZ US","","","","","        49","0","        37","0","         2","0","        0","","         0","0","","","","","","","","","","","","","        18"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  31.0"," ,0,1018, ","","","","","","","","","","","","","","","","","","","","","","","","","    378.1"," ,0","        0"," ,0","","","","","","","",""
"USC00028214","1958","33.559","-111.53658","433.4","STEWART MOUNTAIN DAM, AZ US","","","","","        39","0","        24","0","         1","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  27.7"," ,0,0301, ","","","","","","","","","","","","","","","","","","","","","","","","","    223.3"," ,0","        0"," ,0","","","","","","","",""
"USC00028214","1959","33.559","-111.53658","433.4","STEWART MOUNTAIN DAM, AZ US","","","","","        31","0","        19","0","         3","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  49.5"," ,0,1225, ","","","","","","","","","","","","","","","","","","","","","","","","","    364.4"," ,0","        0"," ,0","","","","","","","",""
