"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00363503","1888","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","","","","","","","","","","","","","","","","","         3"," ","","","","","","","","","","","","","","","","","","","",""
"USC00363503","1889","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","","","","","","","","","","","","","","","","","        40"," ","","","","","","","","","","","","","","","","","","","",""
"USC00363503","1890","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","","","","","","","","","","","","","","","","","        52"," ","","","","","","","","","","","","","","","","","","","",""
"USC00363503","1891","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","       139","6","        93","6","         9","6","","","","","","","","","","","        55"," ","","","","","","","  52.1"," ,6,0708, ","","","","","","","   1160.1"," ,6","","","",""
"USC00363503","1892","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","       150","6","        92","6","         5","6","","","","","","","","","","","        52"," ","","","","","","","  35.6"," ,6,0526, ","","","","","","","    910.9"," ,6","","","",""
"USC00363503","1893","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","       124","6","        84","6","         4","6","","","","","","","","","","","        25"," ","","","","","","","  40.6"," ,6,0521, ","","","","","","","    832.2"," ,6","","","",""
"USC00363503","1894","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","       140","6","        96","6","         1","6","","","","","","","","","","","        31"," ","","","","","","","  25.4"," ,6,0919, ","","","","","","","    897.9"," ,6","","","",""
"USC00363503","1895","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","       129","6","        84","6","         1","6","","","","","","","","","","","        26"," ","","","","","","","  48.3"," ,6,0627, ","","","","","","","    888.7"," ,6","","","",""
"USC00363503","1896","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","       159","6","       103","6","         5","6","","","","","","","","","","","         7"," ","","","","","","","  39.6"," ,6,0716, ","","","","","","","   1158.6"," ,6","","","",""
"USC00363503","1897","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","       144","6","       111","6","         8","6","","","","","","","","","","","         1"," ","","","","","","","  39.4"," ,6,0502, ","","","","","","","   1029.8"," ,6","","","",""
"USC00363503","1898","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","       160","6","       117","6","        12","6","","","","","        20","6","       177","6","        37","6","         1"," ","","","","","","","  35.6"," ,6,0808, ","   38.9","6,0703, ","","","","","   1238.5"," ,6","","","     18.52","6"
"USC00363503","1899","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","       144","6","        95","6","        13","6","","","","","        33","6","       185","6","        24","6","","","","","","","","","  72.4"," ,6,0911, ","   36.7","6,0725, ","    2971.7","7","    2971.7","6","   1267.7"," ,6","","","     17.86","6"
"USC00363503","1900","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","       141","6","        86","6","        11","6","","","","","","","","","","","","","","","","","","","  51.3"," ,6,0723, ","","","","","","","   1131.0"," ,6","","","",""
"USC00363503","1901","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","","","","","","","","","","","","","","","","","        26"," ","","","","","","","","","","","","","","","","","","","",""
"USC00363503","1902","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","       141","6","        96","6","         8","6","","","","","","","","","","","        37"," ","","","","","","","  50.8"," ,6,0710, ","","","","","","","   1061.8"," ,6","","","",""
"USC00363503","1903","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","       127","6","        98","6","         6","6","","","","","","","","","","","","","","","","","","","  47.2"," ,6,0216, ","","","","","","","   1070.6"," ,6","","","",""
"USC00363503","1904","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","       135","6","        89","6","         5","6","","","","","","","","","","","","","","","","","","","  36.6"," ,6,0722, ","","","","","","","    866.0"," ,6","","","",""
"USC00363503","1905","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","       142","6","        92","6","        10","6","","","","","","","","","","","","","","","","","","","  63.0"," ,6,1203, ","","","","","","","   1154.9"," ,6","","","",""
"USC00363503","1906","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","       150","6","       102","6","         2","6","","","","","","","","","","","","","","","","","","","  31.0"," ,6,0614, ","","","","","","","    929.4"," ,6","","","",""
"USC00363503","1907","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","       155","6","       101","6","        11","6","","","","","","","","","","","","","","","","","","","  53.3"," ,6,0723, ","","","","","","","   1291.5"," ,6","","","",""
"USC00363503","1908","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","       130","6","        87","6","         4","6","","","","","","","","","","","","","","","","","","","  45.2"," ,6,0922, ","","","","","","","    927.4"," ,6","","","",""
"USC00363503","1909","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","       163","6","        96","6","         4","6","","","","","","","","","","","","","","","","","","","  35.6"," ,6,0606, ","","","","","","","    876.6"," ,6","","","",""
"USC00363503","1910","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","       136","6","        87","6","         4","6","","","","","","","","","","","","","","","","","","","  59.4"," ,6,0619, ","","","","","","","    922.1"," ,6","","","",""
"USC00363503","1911","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","       153","6","       118","6","         7","6","","","         7","6","","","","","","","","","","","","","    51"," ,6,0403,+","  45.7"," ,6,0916, ","","","","","","","   1132.6"," ,6","      365"," ,6","",""
"USC00363503","1912","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","       147","6","       110","6","         7","6","","","         8","6","","","","","","","","","","","","","   152"," ,6,1224, ","  50.8"," ,6,0725, ","","","","","","","   1184.8"," ,6","      522"," ,6","",""
"USC00363503","1913","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","       138","6","       108","6","        13","6","","","         7","6","","","","","","","","","","","","","   356"," ,6,1110, ","  40.6"," ,6,0108, ","","","","","","","   1198.3"," ,6","      687"," ,6","",""
"USC00363503","1914","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","       116","6","        92","6","         8","6","","","        21","6","","","","","","","","","","","","","   203"," ,6,1214, ","  44.2"," ,6,0812, ","","","","","","","    904.7"," ,6","     1242"," ,6","",""
"USC00363503","1915","39.78333","-79.91667","240.2","GREENSBORO LOCK 7, PA US","       149","6","       102","6","         9","6","","","         6","6","","","","","","","        25"," ","","","","","    38"," ,6,1226, ","  50.8"," ,6,1019, ","","","","","","","   1001.6"," ,6","      251"," ,6","",""
