"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00093217","1960","36.68333","-121.76667","43.0","FRITZSCHE ARMY AIR FIELD, CA US","","","","","","","","","","","","","","","","","","","","","","","","","       154"," ","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093217","1961","36.68333","-121.76667","43.0","FRITZSCHE ARMY AIR FIELD, CA US","     36.5","","      36.5","X","        37","X","        24","X","         0","X","        0","","         0","X","         0","X","        13","X","         0","X","        56","X","         4","X","       174"," ","         3"," ","   -2.8","X,0101, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  14.5"," ,X,0126, ","   39.4","X,1014, ","-0.6","X,1117","","","0.0","X,0227","-2.8","X,0101","","","    2156.2","2","    2156.2","X","    183.4"," ,X","        0"," ,X","     12.98","X","     17.85","X","      8.11","X","","","",""
"USW00093217","1962","36.68333","-121.76667","43.0","FRITZSCHE ARMY AIR FIELD, CA US","","","","","","","","","","","        2","","","","","","","","","","","","","","        92"," ","         3"," ","","","    25"," ,X,0122,+","","","","","","","","","","","","","","","","","    2163.3","3","    2163.3"," ","","","","","","","","","","","       225","X","      22.6","X"
"USW00093217","1963","36.68333","-121.76667","43.0","FRITZSCHE ARMY AIR FIELD, CA US","      1.5","","       1.5","X","        56","X","        35","X","         3","X","        0","","         0","X","         0","X","        14","X","         0","X","        45","X","         0","X","       178"," ","         2"," ","   -5.0","X,0113,+","     0"," ,X,1231,+","     0"," ,X,1231,+","  46.5"," ,X,0327, ","   27.8","X,0924,+","0.0","X,1211","","","-3.3","X,0122","-3.3","X,0122","-5.0","X,0113","","","","","    430.5"," ,X","        0"," ,X","     12.68","X","     17.28","X","      8.08","X","       293","X","      17.0","X"
"USW00093217","1964","36.68333","-121.76667","43.0","FRITZSCHE ARMY AIR FIELD, CA US","     10.0","","      10.0","X","        62","X","        36","X","         0","X","        0","","         0","X","         0","X","        25","X","         0","X","        30","X","         1","X","       178"," ","         4"," ","   -2.8","X,0111, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  23.4"," ,X,0322, ","   32.8","X,1020, ","-0.6","X,1116","-2.2","X,1118","-1.7","X,0308","-2.2","X,0227","","","    2292.7","7","    2292.7","X","    307.0"," ,X","        0"," ,X","     11.72","X","     16.29","X","      7.15","X","       310","X","      21.6","X"
"USW00093217","1965","36.68333","-121.76667","43.0","FRITZSCHE ARMY AIR FIELD, CA US","","","","","","","","","","","        0","","","","","","","","","","","","","","        35"," ","","","","","     0"," ,X,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093217","1966","36.68333","-121.76667","43.0","FRITZSCHE ARMY AIR FIELD, CA US","","","","","","","","","","","        0","","","","","","","","","","","","","","       144"," ","         1"," ","","","     0"," ,X,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","       200","X","      21.6","X"
"USW00093217","1967","36.68333","-121.76667","43.0","FRITZSCHE ARMY AIR FIELD, CA US","     14.7","","      14.7","X","        64","X","        39","X","         0","X","        0","","         0","X","         0","X","        16","X","         0","X","        48","X","         2","X","       202"," ","         3"," ","   -3.3","X,1215,+","     0"," ,X,1231,+","     0","T,X,1130, ","  22.6"," ,X,0130, ","   33.3","X,1016, ","-1.7","X,1211","-3.3","X,1214","0.0","X,0305","","","","","    2229.4","4","    2229.4","X","    403.4"," ,X","        0","T,X","     12.27","X","     16.93","X","      7.62","X","       270","X","      19.5","X"
"USW00093217","1968","36.68333","-121.76667","43.0","FRITZSCHE ARMY AIR FIELD, CA US","      5.2","","       5.2","0","        52","0","        34","0","         0","0","        0","","         0","0","         0","0","        16","0","         0","0","        54","0","         0","0","       136"," ","         1"," ","   -3.3","0,1221,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  22.6"," ,0,0401,+","   31.7","0,1024, ","0.0","0,1202","-3.3","0,1221","-1.1","X,0111","-3.3","X,0105","","","    2127.4","4","    2127.4","0","    317.5"," ,0","        0"," ,0","     12.44","0","     17.09","0","      7.79","0","        90","X","      20.6","X"
"USW00093217","1969","36.68333","-121.76667","43.0","FRITZSCHE ARMY AIR FIELD, CA US","      0.9","","       0.9","0","        69","0","        38","0","         5","0","        0","","         0","0","         0","0","         5","0","         0","0","        41","0","         0","0","       107"," ","","","   -1.1","0,1230,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  49.0"," ,0,0211, ","   28.9","0,1101, ","-1.1","0,1229","","","0.0","0,0129","","","","","    2185.8","8","    2185.8","0","    580.0"," ,0","        0"," ,0","     12.42","0","     16.73","0","      8.11","0","       180","X","      25.7","X"
