"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087645","2000","-37.237","-59.228","175.0","TANDIL, AR","         0","S","        50","S","   -6.2","S,0726, ","-0.8","S,0506","-3.2","S,0601","-6.2","S,0726","","","","","-0.7","S,1029","-2.6","S,0925","-4.5","S,0810","","","      6.61","S"
"ARM00087645","2001","-37.237","-59.228","175.0","TANDIL, AR","         0","S","        43","S","   -7.4","S,0724, ","-3.0","S,0429","-3.0","S,0429","-4.5","S,0619","-7.4","S,0724","","","-1.2","S,0917","-2.5","S,0910","","","","","      7.83","S"
"ARM00087645","2002","-37.237","-59.228","175.0","TANDIL, AR","         0","S","        45","S","   -6.3","S,0710, ","-0.7","S,0414","-3.8","S,0611","-5.2","S,0615","","","","","0.0","S,0926","-2.8","S,0802","","","","","      7.55","S"
"ARM00087645","2003","-37.237","-59.228","175.0","TANDIL, AR","         0","S","        57","S","   -7.8","S,0722, ","-0.7","S,0507","-2.4","S,0603","-4.7","S,0706","-7.4","S,0712","","","-1.2","S,1031","-2.2","S,0920","-7.1","S,0914","-7.1","S,0914","      6.66","S"
"ARM00087645","2004","-37.237","-59.228","175.0","TANDIL, AR","         0","S","        50","S","   -9.0","S,0718, ","-1.6","S,0420","-5.0","S,0514","-5.0","S,0514","-9.0","S,0718","-9.0","S,0718","-0.3","S,1001","-4.6","S,0920","-4.6","S,0920","","","      7.10","S"
"ARM00087645","2007","-37.237","-59.228","175.0","TANDIL, AR","         0","S","        76","S","   -8.4","S,0730,+","-1.0","S,0425","-2.2","S,0509","-4.8","S,0530","-7.1","S,0618","","","-2.8","S,1115","-2.8","S,1115","-5.0","S,0830","-7.4","S,0820","      5.98","S"
"ARM00087645","2008","-37.237","-59.228","175.0","TANDIL, AR","         0","S","        54","S","   -7.6","S,0818, ","-1.6","S,0413","-2.5","S,0415","-6.2","S,0601","","","","","-3.0","S,1008","-3.0","S,1008","-6.0","S,0905","-7.6","S,0818","      7.39","S"
"ARM00087645","2009","-37.237","-59.228","175.0","TANDIL, AR","         0","S","        68","S","   -7.2","S,0624, ","-1.2","S,0420","-3.4","S,0515","-4.6","S,0622","-7.2","S,0624","","","-1.0","S,1110","-3.2","S,1014","-4.8","S,0910","","","      6.72","S"
"ARM00087645","2010","-37.237","-59.228","175.0","TANDIL, AR","         0","S","        57","S","   -5.9","S,0723, ","-0.4","S,0406","-4.6","S,0424","-4.6","S,0424","","","","","-1.4","S,1023","-2.2","S,0830","-5.8","S,0815","","","      7.00","S"
"ARM00087645","2011","-37.237","-59.228","175.0","TANDIL, AR","         0","S","        49","S","   -7.5","S,0702, ","-1.6","S,0415","-2.4","S,0509","-7.5","S,0702","-7.5","S,0702","","","0.0","S,1017","-2.8","S,0914","-4.8","S,0823","","","      6.95","S"
"ARM00087645","2012","-37.237","-59.228","175.0","TANDIL, AR","         0","S","        55","S","  -10.6","S,0730, ","-4.0","S,0424","-4.0","S,0424","-4.6","S,0607","-7.0","S,0609","-9.5","S,0703","-1.0","S,1011","-4.3","S,0926","","","","","      7.05","S"
"ARM00087645","2013","-37.237","-59.228","175.0","TANDIL, AR","         0","S","        69","S","   -8.5","S,0826, ","-2.0","S,0513","-3.0","S,0515","-4.6","S,0608","-7.0","S,0623","","","-1.4","S,0925","-5.0","S,0924","-5.0","S,0924","-8.5","S,0826","      6.09","S"
"ARM00087645","2014","-37.237","-59.228","175.0","TANDIL, AR","         0","S","        37","S","   -5.1","S,0727, ","-0.4","S,0418","-2.5","S,0606","-4.6","S,0701","","","","","-0.4","S,1002","-2.3","S,0828","","","","","      7.83","S"
"ARM00087645","2015","-37.237","-59.228","175.0","TANDIL, AR","         0","S","        51","S","   -6.8","S,0715,+","-2.0","S,0507","-2.3","S,0508","-5.1","S,0612","-6.8","S,0619","","","-1.2","S,1104","-2.3","S,1017","-5.3","S,0917","","","      7.10","S"
"ARM00087645","2016","-37.237","-59.228","175.0","TANDIL, AR","         0","S","        51","S","   -6.3","S,0620, ","-1.3","S,0422","-2.9","S,0605","-6.3","S,0620","","","","","-1.0","S,1122","-3.5","S,0925","","","","","      6.83","S"
"ARM00087645","2017","-37.237","-59.228","175.0","TANDIL, AR","         0","S","        26","S","   -6.0","S,0620,+","-0.4","S,0510","-2.6","S,0531","-6.0","S,0612","","","","","-0.5","S,1007","-2.5","S,0821","","","","","      8.11","S"
"ARM00087645","2018","-37.237","-59.228","175.0","TANDIL, AR","         0","S","        46","S","   -6.5","S,0821, ","-1.8","S,0523","-2.5","S,0606","-4.5","S,0616","","","","","-0.3","S,1116","-2.5","S,1002","-6.5","S,0821","","","      7.23","S"
"ARM00087645","2019","-37.237","-59.228","175.0","TANDIL, AR","         0","S","        49","S","   -8.0","S,0814, ","-0.5","S,0514","-2.8","S,0626","-7.8","S,0706","-7.8","S,0706","","","-0.7","S,1031","-3.0","S,1003","-4.8","S,0922","-8.0","S,0814","      6.38","S"
"ARM00087645","2020","-37.237","-59.228","175.0","TANDIL, AR","         0","S","        60","S","   -7.0","S,0817, ","-0.1","S,0508","-3.3","S,0514","-5.5","S,0614","","","","","-1.5","S,1010","-2.7","S,0921","-4.6","S,0920","-6.8","S,0830","      6.47","S"
"ARM00087645","2022","-37.237","-59.228","175.0","TANDIL, AR","         0","S","        84","S","   -8.6","S,0703, ","-0.7","S,0429","-2.6","S,0502","-4.4","S,0531","-7.5","S,0626","","","-4.0","S,1101","-4.0","S,1101","-4.8","S,1014","","","      5.48","S"
"ARM00087645","2023","-37.237","-59.228","175.0","TANDIL, AR","         0","S","        54","S","   -7.2","S,0718, ","-0.5","S,0502","-2.5","S,0503","-6.0","S,0618","-7.2","S,0718","","","0.0","S,1101","-2.5","S,1012","-4.5","S,0827","","","      6.78","S"
