"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CBRI","1996","37.9442","-122.1178","442.0","BRIONES CALIFORNIA, CA US","    578.5","","     578.5","U","         0","U","         0","U","         0","U","       157","U","        45","U","    0.6","U,0226,+","   39.4","U,0729, ","","","","","","","","","    1407.6","6","    1407.6","U","     15.72","U","     20.82","U","     10.62","U"
"USR0000CBRI","1997","37.9442","-122.1178","442.0","BRIONES CALIFORNIA, CA US","    389.8","","     389.8","U","         0","U","         3","U","         0","U","       193","U","        25","U","   -2.8","U,0114,+","   40.0","U,0805, ","","","","","0.0","U,0115","-2.8","U,0114","    1343.7","7","    1343.7","U","     15.59","U","     21.01","U","     10.17","U"
"USR0000CBRI","1999","37.9442","-122.1178","442.0","BRIONES CALIFORNIA, CA US","    382.9","","     382.9","U","         0","U","         1","U","         0","U","       146","U","        31","U","   -1.1","U,0106, ","   40.0","U,0825,+","","","","","-1.1","U,0106","","","    1985.6","6","    1985.6","U","     14.34","U","     19.77","U","      8.92","U"
"USR0000CBRI","2000","37.9442","-122.1178","442.0","BRIONES CALIFORNIA, CA US","    398.8","","     398.8","U","         0","U","         0","U","         0","U","       143","U","        35","U","    2.2","U,0102, ","   40.6","U,0614, ","","","","","","","","","    1610.1","1","    1610.1","U","     14.53","U","     19.66","U","      9.40","U"
"USR0000CBRI","2001","37.9442","-122.1178","442.0","BRIONES CALIFORNIA, CA US","    505.9","","     505.9","U","         0","U","         0","U","         0","U","       172","U","        46","U","    0.6","U,0212, ","   41.1","U,0703, ","","","","","","","","","    1748.7","7","    1748.7","U","     15.15","U","     20.84","U","      9.46","U"
"USR0000CBRI","2002","37.9442","-122.1178","442.0","BRIONES CALIFORNIA, CA US","    443.8","","     443.8","U","         0","U","         2","U","         0","U","       163","U","        40","U","   -1.1","U,0129, ","   40.6","U,0710, ","","","","","-1.1","U,0129","","","    1744.2","2","    1744.2","U","     14.87","U","     20.73","U","      9.01","U"
"USR0000CBRI","2003","37.9442","-122.1178","442.0","BRIONES CALIFORNIA, CA US","    530.5","","     530.5","U","         0","U","         0","U","         0","U","       158","U","        41","U","    0.6","U,1227, ","   40.0","U,0717, ","","","","","","","","","    1675.1","1","    1675.1","U","     15.13","U","     20.68","U","      9.58","U"
"USR0000CBRI","2004","37.9442","-122.1178","442.0","BRIONES CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","    1541.7","7","    1541.7"," ","","","","","",""
"USR0000CBRI","2006","37.9442","-122.1178","442.0","BRIONES CALIFORNIA, CA US","    519.9","","     519.9","U","         0","U","         2","U","         0","U","       157","U","        45","U","    0.0","U,0311,+","   43.9","U,0722, ","","","","","0.0","U,0311","","","","","","","     15.01","U","     20.80","U","      9.22","U"
"USR0000CBRI","2007","37.9442","-122.1178","442.0","BRIONES CALIFORNIA, CA US","    357.0","","     357.0","U","         0","U","         7","U","         0","U","       182","U","        28","U","   -1.7","U,0114, ","   40.0","U,0705, ","","","","","0.0","U,0117","","","    1583.3","3","    1583.3","U","     14.94","U","     21.01","U","      8.87","U"
"USR0000CBRI","2008","37.9442","-122.1178","442.0","BRIONES CALIFORNIA, CA US","    511.5","","     511.5","U","         0","U","         1","U","         0","U","       176","U","        46","U","   -0.6","U,1217, ","   41.7","U,0708, ","-0.6","U,1217","","","","","","","    1696.5","5","    1696.5","U","     15.15","U","     21.12","U","      9.17","U"
