"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00296191","1910","31.8","-106.85","1253.9","NORIA, NM US","","","","","        22","6","        14","6","         0","6","         0","6","","","","","","","","","","","","","","","     0"," ,6,1231,+","  20.3"," ,6,1215, ","","","","","","","","","","","","","","","","","","","","","    105.0"," ,6","        0"," ,6","","","","","",""
"USC00296191","1911","31.8","-106.85","1253.9","NORIA, NM US","","","","","        41","6","        28","6","         1","6","         1","6","","","","","","","","","","","","","","","    51"," ,6,1215, ","  27.9"," ,6,0711, ","","","","","","","","","","","","","","","","","","","","","    272.1"," ,6","       51"," ,6","","","","","",""
"USC00296191","1912","31.8","-106.85","1253.9","NORIA, NM US","","","","","        31","6","        27","6","         3","6","         2","6","","","","","","","","","","","","","","","    51"," ,6,0407, ","  26.7"," ,6,0407, ","","","","","","","","","","","","","","","","","","","","","    248.4"," ,6","       76"," ,6","","","","","",""
"USC00296191","1913","31.8","-106.85","1253.9","NORIA, NM US","   1391.9","","    1391.9","6","","","","","","","","","         2","6","        63","6","         1","6","       233","6","       119","6","","","  -21.1","6,0108, ","","","","","   43.3","6,0712, ","-3.3","6,1027","-3.3","6,1027","-3.3","6,0327","-3.3","6,0327","-5.6","6,0317","-6.7","6,0315","-11.1","6,0112","    1759.9","9","    1759.9","6","","","","","     17.48","6","     24.91","6","     10.06","6"
"USC00296191","1914","31.8","-106.85","1253.9","NORIA, NM US","","","","","        50","6","        37","6","         4","6","         1","6","","","","","","","","","","","","","","","    25"," ,6,0320, "," 104.1"," ,6,1224, ","","","","","","","","","","","","","","","","","","","","","    473.4"," ,6","       25"," ,6","","","","","",""
"USC00296191","1915","31.8","-106.85","1253.9","NORIA, NM US","","","","","        36","6","        29","6","         2","6","         3","6","","","","","","","","","","","","","","","   178"," ,6,0123, ","  39.4"," ,6,0130, ","","","","","","","","","","","","","","","","","","","","","    304.4"," ,6","      395"," ,6","","","","","",""
"USC00296191","1916","31.8","-106.85","1253.9","NORIA, NM US","","","","","        19","6","        17","6","         1","6","         0","6","","","","","","","","","","","","","","","     0"," ,6,1231,+","  35.6"," ,6,0717, ","","","","","","","","","","","","","","","","","","","","","    215.0"," ,6","        0"," ,6","","","","","",""
"USC00296191","1917","31.8","-106.85","1253.9","NORIA, NM US","","","","","        33","6","        11","6","         0","6","         0","6","","","","","","","","","","","","","","","     3"," ,6,0114, ","  19.3"," ,6,0818, ","","","","","","","","","","","","","","","","","","","","","    120.9"," ,6","        3"," ,6","","","","","",""
"USC00296191","1918","31.8","-106.85","1253.9","NORIA, NM US","","","","","        48","6","        29","6","         0","6","         8","6","","","","","","","","","","","         1"," ","","","   102"," ,6,0120, ","  17.8"," ,6,0718, ","","","","","","","","","","","","","","","","","    1266.7","7","    1266.7","6","    241.1"," ,6","      313"," ,6","","","","","",""
"USC00296191","1919","31.8","-106.85","1253.9","NORIA, NM US","","","","","","","","","","","         1","6","","","","","","","","","","","","","","","    25"," ,6,1129, ","","","","","","","","","","","","","","","","","","","","","","","","","       25"," ,6","","","","","",""
