"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00097008","1908","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       208","a","       175","a","        20","a","","","","","","","","","","","","","  67.3"," ,a,0507, ","","","","","","","","","","","","","","","   2421.1"," ,a","","","","","",""
"ASN00097008","1909","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       221","a","       185","a","        25","a","","","","","","","","","","","","","  57.7"," ,a,0403, ","","","","","","","","","","","","","","","   2522.5"," ,a","","","","","",""
"ASN00097008","1910","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       211","a","       170","a","        25","a","","","","","","","","","","","","","  74.7"," ,a,0527, ","","","","","","","","","","","","","","","   2619.4"," ,a","","","","","",""
"ASN00097008","1911","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       215","a","       190","a","        14","a","","","","","","","","","","","","","  54.6"," ,a,1113, ","","","","","","","","","","","","","","","   2414.8"," ,a","","","","","",""
"ASN00097008","1912","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       197","a","       161","a","        18","a","","","","","","","","","","","",""," 118.1"," ,a,0907, ","","","","","","","","","","","","","","","   2379.4"," ,a","","","","","",""
"ASN00097008","1913","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       217","a","       191","a","        26","a","","","","","","","","","","","",""," 122.2"," ,a,1114, ","","","","","","","","","","","","","","","   2747.3"," ,a","","","","","",""
"ASN00097008","1914","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       192","a","       168","a","        17","a","","","","","","","","","","","","","  79.8"," ,a,0412, ","","","","","","","","","","","","","","","   2208.6"," ,a","","","","","",""
"ASN00097008","1915","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       223","a","       199","a","        33","a","","","","","","","","","","","","","  68.3"," ,a,0412, ","","","","","","","","","","","","","","","   3123.1"," ,a","","","","","",""
"ASN00097008","1916","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       176","a","       158","a","        22","a","","","","","","","","","","","",""," 113.8"," ,a,0427, ","","","","","","","","","","","","","","","   2436.2"," ,a","","","","","",""
"ASN00097008","1918","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       175","a","       159","a","        26","a","","","","","","","","","","","","","  48.3"," ,a,0706, ","","","","","","","","","","","","","","","   2289.1"," ,a","","","","","",""
"ASN00097008","1919","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       169","a","       162","a","        21","a","","","","","","","","","","","","","  79.2"," ,a,0721, ","","","","","","","","","","","","","","","   2137.1"," ,a","","","","","",""
"ASN00097008","1920","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       165","a","       159","a","        24","a","","","","","","","","","","","","","  76.7"," ,a,1107, ","","","","","","","","","","","","","","","   2349.1"," ,a","","","","","",""
"ASN00097008","1921","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       175","a","       170","a","        20","a","","","","","","","","","","","","","  54.6"," ,a,1124, ","","","","","","","","","","","","","","","   2530.1"," ,a","","","","","",""
"ASN00097008","1922","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       171","a","       161","a","        22","a","","","","","","","","","","","","","  51.6"," ,a,0628,+","","","","","","","","","","","","","","","   2272.4"," ,a","","","","","",""
"ASN00097008","1923","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       219","a","       193","a","        40","a","","","","","","","","","","","","","  63.5"," ,a,0130, ","","","","","","","","","","","","","","","   3116.1"," ,a","","","","","",""
"ASN00097008","1924","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       250","a","       185","a","        42","a","","","","","","","","","","","","","  79.5"," ,a,1126, ","","","","","","","","","","","","","","","   3038.8"," ,a","","","","","",""
"ASN00097008","1925","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       191","a","       162","a","        24","a","","","","","","","","","","","","","  69.6"," ,a,1203, ","","","","","","","","","","","","","","","   2317.3"," ,a","","","","","",""
"ASN00097008","1926","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       216","a","       185","a","        27","a","","","","","","","","","","","","","  50.8"," ,a,1208, ","","","","","","","","","","","","","","","   2637.7"," ,a","","","","","",""
"ASN00097008","1927","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       213","a","       172","a","        19","a","","","","","","","","","","","","","  53.1"," ,a,0514, ","","","","","","","","","","","","","","","   2300.0"," ,a","","","","","",""
"ASN00097008","1928","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       208","a","       176","a","        33","a","","","","","","","","","","","","","  68.8"," ,a,0101, ","","","","","","","","","","","","","","","   2841.4"," ,a","","","","","",""
"ASN00097008","1929","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       230","a","       190","a","        25","a","","","","","","","","","","","","","  52.8"," ,a,0407, ","","","","","","","","","","","","","","","   2664.9"," ,a","","","","","",""
"ASN00097008","1930","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       242","a","       164","a","        16","a","","","","","","","","","","","","","  45.7"," ,a,1226, ","","","","","","","","","","","","","","","   2263.3"," ,a","","","","","",""
"ASN00097008","1931","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       271","a","       215","a","        29","a","","","","","","","","","","","","","  53.8"," ,a,0811, ","","","","","","","","","","","","","","","   2940.6"," ,a","","","","","",""
"ASN00097008","1932","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       244","a","       159","a","        25","a","","","","","","","","","","","","","  56.1"," ,a,1224, ","","","","","","","","","","","","","","","   2335.6"," ,a","","","","","",""
"ASN00097008","1933","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       234","a","       175","a","        21","a","","","","","","","","","","","","","  57.4"," ,a,0502, ","","","","","","","","","","","","","","","   2434.3"," ,a","","","","","",""
"ASN00097008","1934","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       209","a","       138","a","        16","a","","","","","","","","","","","","","  57.2"," ,a,0922, ","","","","","","","","","","","","","","","   1826.9"," ,a","","","","","",""
"ASN00097008","1935","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       237","a","       174","a","        28","a","","","","","","","","","","","","","  80.0"," ,a,0518, ","","","","","","","","","","","","","","","   2633.5"," ,a","","","","","",""
"ASN00097008","1936","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       223","a","       167","a","        20","a","","","","","","","","","","","","","  64.3"," ,a,0420, ","","","","","","","","","","","","","","","   2448.7"," ,a","","","","","",""
"ASN00097008","1937","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       214","a","       148","a","        26","a","","","","","","","","","","","",""," 122.4"," ,a,0501, ","","","","","","","","","","","","","","","   2328.8"," ,a","","","","","",""
"ASN00097008","1938","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       240","a","       174","a","        25","a","","","","","","","","","","","","","  54.4"," ,a,0128, ","","","","","","","","","","","","","","","   2447.9"," ,a","","","","","",""
"ASN00097008","1939","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       248","a","       176","a","        26","a","","","","","","","","","","","","","  67.6"," ,a,0917, ","","","","","","","","","","","","","","","   2711.2"," ,a","","","","","",""
"ASN00097008","1940","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       252","a","       179","a","        25","a","","","","","","","","","","","","","  61.5"," ,a,0606, ","","","","","","","","","","","","","","","   2478.9"," ,a","","","","","",""
"ASN00097008","1941","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       246","a","       181","a","        26","a","","","","","","","","","","","","","  81.8"," ,a,0511, ","","","","","","","","","","","","","","","   2539.7"," ,a","","","","","",""
"ASN00097008","1942","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       240","a","       172","a","        19","a","","","","","","","","","","","","","  58.7"," ,a,0120, ","","","","","","","","","","","","","","","   2442.0"," ,a","","","","","",""
"ASN00097008","1943","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   2392.6"," ,a","","","","","",""
"ASN00097008","1944","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       257","a","       190","a","        30","a","","","","","","","","","","","","","  50.3"," ,a,0908, ","","","","","","","","","","","","","","","   2741.2"," ,a","","","","","",""
"ASN00097008","1945","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       239","a","       180","a","        30","a","","","","","","","","","","","",""," 125.7"," ,a,0305, ","","","","","","","","","","","","","","","   2869.2"," ,a","","","","","",""
"ASN00097008","1946","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       255","a","       187","a","        34","a","","","","","","","","","","","","","  42.9"," ,a,0505, ","","","","","","","","","","","","","","","   2968.3"," ,a","","","","","",""
"ASN00097008","1947","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       242","a","       185","a","        29","a","","","","","","","","","","","","","  75.7"," ,a,0616, ","","","","","","","","","","","","","","","   2967.9"," ,a","","","","","",""
"ASN00097008","1948","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       268","a","       193","a","        39","a","","","","","","","","","","","",""," 113.3"," ,a,0629, ","","","","","","","","","","","","","","","   3292.9"," ,a","","","","","",""
"ASN00097008","1949","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       256","a","       162","a","        18","a","","","","","","","","","","","","","  54.4"," ,a,1211, ","","","","","","","","","","","","","","","   2254.4"," ,a","","","","","",""
"ASN00097008","1950","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       202","a","       138","a","        11","a","","","","","","","","","","","","","  49.3"," ,a,1220, ","","","","","","","","","","","","","","","   1752.3"," ,a","","","","","",""
"ASN00097008","1951","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       219","a","       158","a","        23","a","","","","","","","","","","","","","  58.9"," ,a,0725, ","","","","","","","","","","","","","","","   2373.7"," ,a","","","","","",""
"ASN00097008","1952","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       255","a","       179","a","        25","a","","","","","","","","","","","","","  56.9"," ,a,0401, ","","","","","","","","","","","","","","","   2828.2"," ,a","","","","","",""
"ASN00097008","1953","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       257","a","       183","a","        33","a","","","","","","","","","","","","","  67.3"," ,a,0420, ","","","","","","","","","","","","","","","   2951.1"," ,a","","","","","",""
"ASN00097008","1954","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       244","a","       183","a","        17","a","","","","","","","","","","","","","  80.5"," ,a,0430, ","","","","","","","","","","","","","","","   2348.4"," ,a","","","","","",""
"ASN00097008","1955","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       230","a","       159","a","        21","a","","","","","","","","","","","","","  52.3"," ,a,0613, ","","","","","","","","","","","","","","","   2414.5"," ,a","","","","","",""
"ASN00097008","1956","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       235","a","       179","a","        30","a","","","","","","","","","","","","","  58.4"," ,a,0418, ","","","","","","","","","","","","","","","   2828.5"," ,a","","","","","",""
"ASN00097008","1957","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       250","a","       187","a","        21","a","","","","","","","","","","","","","  47.5"," ,a,0425, ","","","","","","","","","","","","","","","   2513.7"," ,a","","","","","",""
"ASN00097008","1958","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       250","a","       176","a","        26","a","","","","","","","","","","","","","  66.5"," ,a,0331, ","","","","","","","","","","","","","","","   2825.8"," ,a","","","","","",""
"ASN00097008","1959","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       211","a","       150","a","        19","a","","","","","","","","","","","","","  55.4"," ,a,0611, ","","","","","","","","","","","","","","","   2154.1"," ,a","","","","","",""
"ASN00097008","1960","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       228","a","       155","a","        23","a","","","","","","","","","","","","","  51.3"," ,a,0612, ","","","","","","","","","","","","","","","   2277.2"," ,a","","","","","",""
"ASN00097008","1961","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       205","a","       145","a","        18","a","","","","","","","","","","","","","  59.4"," ,a,0615, ","","","","","","","","","","","","","","","   1939.9"," ,a","","","","","",""
"ASN00097008","1962","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       226","a","       181","a","        24","a","","","","","","","","","","","","","  72.1"," ,a,0617, ","","","","","","","","","","","","","","","   2634.4"," ,a","","","","","",""
"ASN00097008","1963","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       202","a","       130","a","        15","a","","","","","","","","","","","","","  49.5"," ,a,0301, ","","","","","","","","","","","","","","","   1760.6"," ,a","","","","","",""
"ASN00097008","1964","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       250","a","       191","a","        31","a","","","","","","","","","","","","","  56.6"," ,a,0808, ","","","","","","","","","","","","","","","   2948.7"," ,a","","","","","",""
"ASN00097008","1965","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       246","a","       174","a","        25","a","","","","","","","","","","","","","  49.3"," ,a,0314, ","","","","","","","","","","","","","","","   2467.0"," ,a","","","","","",""
"ASN00097008","1966","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       245","a","       161","a","        19","a","","","","","","","","","","","","","  56.6"," ,a,0323, ","","","","","","","","","","","","","","","   2141.2"," ,a","","","","","",""
"ASN00097008","1967","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       239","a","       142","a","        16","a","","","","","","","","","","","","","  45.2"," ,a,0113, ","","","","","","","","","","","","","","","   1910.8"," ,a","","","","","",""
"ASN00097008","1968","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       281","a","       211","a","        31","a","","","","","","","","","","","","","  56.4"," ,a,1210, ","","","","","","","","","","","","","","","   3260.1"," ,a","","","","","",""
"ASN00097008","1969","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       267","a","       175","a","        24","a","","","","","","","","","","","","","  63.0"," ,a,0803, ","","","","","","","","","","","","","","","   2529.5"," ,a","","","","","",""
"ASN00097008","1970","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       252","a","       185","a","        32","a","","","","","","","","","","","","","  65.0"," ,a,0917, ","","","","","","","","","","","","","","","   2771.8"," ,a","","","","","",""
"ASN00097008","1971","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       257","a","       177","a","        29","a","","","","","","","","","","","","","  62.0"," ,a,0421, ","","","","","","","","","","","","","","","   2678.5"," ,a","","","","","",""
"ASN00097008","1972","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       242","a","       159","a","        23","a","","","","","","","","","","","","","  58.2"," ,a,0410, ","","","","","","","","","","","","","","","   2281.8"," ,a","","","","","",""
"ASN00097008","1973","-42.0661","145.5681","191.0","QUEENSTOWN COPPER MINE, AS","       268","a","       189","a","        36","a","","","","","","","","","","","","","  48.8"," ,a,0516, ","","","","","","","","","","","","","","","   2828.0"," ,a","","","","","",""
