"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN008010200","1901","34.083","74.833","1587.0","SRINAGAR, IN","        95","I","        58","I","         7","I","","","","","","","","","","","","","  38.1"," ,I,0517, ","","","","","","","","","","","","","","","","","","","    619.9"," ,I","","","",""
"IN008010200","1902","34.083","74.833","1587.0","SRINAGAR, IN","        78","I","        53","I","         2","I","","","","","","","","","","","","","  32.3"," ,I,0515, ","","","","","","","","","","","","","","","","","","","    569.6"," ,I","","","",""
"IN008010200","1903","34.083","74.833","1587.0","SRINAGAR, IN","       114","I","        69","I","         8","I","","","","","","","","","","","","","  45.7"," ,I,0723, ","","","","","","","","","","","","","","","","","","","    851.7"," ,I","","","",""
"IN008010200","1904","34.083","74.833","1587.0","SRINAGAR, IN","       123","I","        70","I","         6","I","","","","","","","","","","","","","  64.5"," ,I,1214, ","","","","","","","","","","","","","","","","","","","    831.1"," ,I","","","",""
"IN008010200","1905","34.083","74.833","1587.0","SRINAGAR, IN","       131","I","        72","I","         3","I","","","","","","","","","","","","","  57.4"," ,I,0912, ","","","","","","","","","","","","","","","","","","","    672.5"," ,I","","","",""
"IN008010200","1906","34.083","74.833","1587.0","SRINAGAR, IN","       111","I","        56","I","         7","I","","","","","","","","","","","","","  66.3"," ,I,0222, ","","","","","","","","","","","","","","","","","","","    668.1"," ,I","","","",""
"IN008010200","1907","34.083","74.833","1587.0","SRINAGAR, IN","       113","I","        64","I","         5","I","","","","","","","","","","","","","  65.8"," ,I,0608, ","","","","","","","","","","","","","","","","","","","    733.9"," ,I","","","",""
"IN008010200","1908","34.083","74.833","1587.0","SRINAGAR, IN","       118","I","        66","I","         9","I","","","","","","","","","","","","","  63.2"," ,I,0413, ","","","","","","","","","","","","","","","","","","","    867.0"," ,I","","","",""
"IN008010200","1909","34.083","74.833","1587.0","SRINAGAR, IN","       115","I","        62","I","         9","I","","","","","","","","","","","","","  52.3"," ,I,0902, ","","","","","","","","","","","","","","","","","","","    799.7"," ,I","","","",""
"IN008010200","1910","34.083","74.833","1587.0","SRINAGAR, IN","       105","I","        47","I","         5","I","","","","","","","","","","","","","  67.3"," ,I,0116, ","","","","","","","","","","","","","","","","","","","    577.7"," ,I","","","",""
"IN008010200","1911","34.083","74.833","1587.0","SRINAGAR, IN","       119","I","        73","I","         2","I","","","","","","","","","","","","","  47.8"," ,I,0401, ","","","","","","","","","","","","","","","","","","","    701.4"," ,I","","","",""
"IN008010200","1912","34.083","74.833","1587.0","SRINAGAR, IN","       105","I","        47","I","         2","I","","","","","","","","","","","","","  39.9"," ,I,0122, ","","","","","","","","","","","","","","","","","","","    518.7"," ,I","","","",""
"IN008010200","1913","34.083","74.833","1587.0","SRINAGAR, IN","       112","I","        57","I","         2","I","","","","","","","","","","","","","  33.0"," ,I,0121, ","","","","","","","","","","","","","","","","","","","    469.3"," ,I","","","",""
"IN008010200","1914","34.083","74.833","1587.0","SRINAGAR, IN","       110","I","        68","I","         5","I","","","","","","","","","","","","","  53.6"," ,I,0215, ","","","","","","","","","","","","","","","","","","","    784.2"," ,I","","","",""
"IN008010200","1915","34.083","74.833","1587.0","SRINAGAR, IN","        75","I","        41","I","         5","I","","","","","","","","","","","","","  48.0"," ,I,0414, ","","","","","","","","","","","","","","","","","","","    523.0"," ,I","","","",""
"IN008010200","1916","34.083","74.833","1587.0","SRINAGAR, IN","        96","I","        53","I","         0","I","","","","","","","","","","","","","  25.1"," ,I,0801, ","","","","","","","","","","","","","","","","","","","    448.6"," ,I","","","",""
"IN008010200","1917","34.083","74.833","1587.0","SRINAGAR, IN","       112","I","        65","I","         4","I","","","","","","","","","","","","","  59.9"," ,I,1027, ","","","","","","","","","","","","","","","","","","","    658.7"," ,I","","","",""
"IN008010200","1918","34.083","74.833","1587.0","SRINAGAR, IN","        95","I","        50","I","         4","I","","","","","","","","","","","","","  31.8"," ,I,1213, ","","","","","","","","","","","","","","","","","","","    628.7"," ,I","","","",""
"IN008010200","1919","34.083","74.833","1587.0","SRINAGAR, IN","       102","I","        49","I","         3","I","","","","","","","","","","","","","  46.0"," ,I,0217, ","","","","","","","","","","","","","","","","","","","    568.1"," ,I","","","",""
"IN008010200","1920","34.083","74.833","1587.0","SRINAGAR, IN","       110","I","        58","I","         4","I","","","","","","","","","","","","","  70.1"," ,I,0315, ","","","","","","","","","","","","","","","","","","","    614.9"," ,I","","","",""
"IN008010200","1921","34.083","74.833","1587.0","SRINAGAR, IN","       102","I","        49","I","         6","I","","","","","","","","","","","","","  47.0"," ,I,0114, ","","","","","","","","","","","","","","","","","","","    701.0"," ,I","","","",""
"IN008010200","1922","34.083","74.833","1587.0","SRINAGAR, IN","        95","I","        51","I","         0","I","","","","","","","","","","","","","  24.9"," ,I,0414, ","","","","","","","","","","","","","","","","","","","    448.1"," ,I","","","",""
"IN008010200","1923","34.083","74.833","1587.0","SRINAGAR, IN","        96","I","        52","I","         9","I","","","","","","","","","","","","","  66.8"," ,I,0308, ","","","","","","","","","","","","","","","","","","","    771.0"," ,I","","","",""
"IN008010200","1924","34.083","74.833","1587.0","SRINAGAR, IN","        99","I","        63","I","         7","I","","","","","","","","","","","","","  40.4"," ,I,0204, ","","","","","","","","","","","","","","","","","","","    711.0"," ,I","","","",""
